time,v(N001),v(N002),v(N004)
0.008528,5.0,5.0,0.702803114
0.008628,5.0,5.0,0.702803114
0.008728,5.0,5.0,0.702803114
0.008828,5.0,5.0,0.702803114
0.008928,5.0,5.0,0.702803114
0.009028,5.0,5.0,0.702803114
0.009128,5.0,5.0,0.702803114
0.009228,5.0,5.0,0.702803114
0.009328,5.0,5.0,0.702803114
0.009428,5.0,5.0,0.702803114
0.009528,5.0,5.0,0.702803114
0.009628,5.0,5.0,0.702803114
0.009728,5.0,5.0,0.702803114
0.009828,5.0,5.0,0.702803114
0.009928,5.0,5.0,0.702803114
0.010028,5.0,5.0,0.702803114
0.010128,5.0,5.0,0.702803114
0.010228,5.0,5.0,0.702803114
0.010328,5.0,5.0,0.702803114
0.010428,5.0,5.0,0.702803114
0.010528,5.0,5.0,0.702803114
0.010628,5.0,5.0,0.702803114
0.010728,5.0,5.0,0.702803114
0.010828,5.0,5.0,0.702803114
0.010928,5.0,5.0,0.702803114
0.011028,5.0,5.0,0.702803114
0.011128,5.0,5.0,0.702803114
0.011228,5.0,5.0,0.702803114
0.011328,5.0,5.0,0.702803114
0.011428,5.0,5.0,0.702803114
0.011528,5.0,5.0,0.702803114
0.011628,5.0,5.0,0.702803114
0.011728,5.0,5.0,0.702803114
0.011828,5.0,5.0,0.702803114
0.011928,5.0,5.0,0.702803114
0.012028,5.0,5.0,0.702803114
0.012128,5.0,5.0,0.702803114
0.012228,5.0,5.0,0.702803114
0.012328,5.0,5.0,0.702803114
0.012428,5.0,5.0,0.702803114
0.012528,5.0,5.0,0.702803114
0.012628,5.0,5.0,0.702803114
0.012728,5.0,5.0,0.702803114
0.012828,5.0,5.0,0.702803114
0.012928,5.0,5.0,0.702803114
0.013028,5.0,5.0,0.702803114
0.013128,5.0,5.0,0.702803114
0.013228,5.0,5.0,0.702803114
0.013328,5.0,5.0,0.702803114
0.013428,5.0,5.0,0.702803114
0.013528,5.0,5.0,0.702803114
0.013628,5.0,5.0,0.702803114
0.013728,5.0,5.0,0.702803114
0.013828,5.0,5.0,0.702803114
0.013928,5.0,5.0,0.702803114
0.014028,5.0,5.0,0.702803114
0.014128,5.0,5.0,0.702803114
0.014228,5.0,5.0,0.702803114
0.014328,5.0,5.0,0.702803114
0.014428,5.0,5.0,0.702803114
0.014528,5.0,5.0,0.702803114
0.014628,5.0,5.0,0.702803114
0.014728,5.0,5.0,0.702803114
0.014828,5.0,5.0,0.702803114
0.014928,5.0,5.0,0.702803114
0.015028,5.0,5.0,0.702803114
0.015128,5.0,5.0,0.702803114
0.015228,5.0,5.0,0.702803114
0.015328,5.0,5.0,0.702803114
0.015428,5.0,5.0,0.702803114
0.015528,5.0,5.0,0.702803114
0.015628,5.0,5.0,0.702803114
0.015728,5.0,5.0,0.702803114
0.015828,5.0,5.0,0.702803114
0.015928,5.0,5.0,0.702803114
0.016028,5.0,5.0,0.702803114
0.016128,5.0,5.0,0.702803114
0.016228,5.0,5.0,0.702803114
0.016328,5.0,5.0,0.702803114
0.016428,5.0,5.0,0.702803114
0.016528,5.0,5.0,0.702803114
0.016628,5.0,5.0,0.702803114
0.016728,5.0,5.0,0.702803114
0.016828,5.0,5.0,0.702803114
0.016928,5.0,5.0,0.702803114
0.017028,5.0,5.0,0.702803114
0.017128,5.0,5.0,0.702803114
0.017228,5.0,5.0,0.702803114
0.017328,5.0,5.0,0.702803114
0.017428,5.0,5.0,0.702803114
0.017528,5.0,5.0,0.702803114
0.017628,5.0,5.0,0.702803114
0.017728,5.0,5.0,0.702803114
0.017828,5.0,5.0,0.702803114
0.017928,5.0,5.0,0.702803114
0.018028,5.0,5.0,0.702803114
0.018128,5.0,5.0,0.702803114
0.018228,5.0,5.0,0.702803114
0.018328,5.0,5.0,0.702803114
0.018428,5.0,5.0,0.702803114
0.018528,5.0,5.0,0.702803114
0.018628,5.0,5.0,0.702803114
0.018728,5.0,5.0,0.702803114
0.018828,5.0,5.0,0.702803114
0.018928,5.0,5.0,0.702803114
0.019028,5.0,5.0,0.702803114
0.019128,5.0,5.0,0.702803114
0.019228,5.0,5.0,0.702803114
0.019328,5.0,5.0,0.702803114
0.019428,5.0,5.0,0.702803114
0.019528,5.0,5.0,0.702803114
0.019628,5.0,5.0,0.702803114
0.019728,5.0,5.0,0.702803114
0.019828,5.0,5.0,0.702803114
0.019928,5.0,5.0,0.702803114
0.020028,5.0,5.0,0.702803114
0.020128,5.0,5.0,0.702803114
0.020228,5.0,5.0,0.702803114
0.020328,5.0,5.0,0.702803114
0.020428,5.0,5.0,0.702803114
0.020528,5.0,5.0,0.702803114
0.020628,5.0,5.0,0.702803114
0.020728,5.0,5.0,0.702803114
0.020828,5.0,5.0,0.702803114
0.020928,5.0,5.0,0.702803114
0.021028,5.0,5.0,0.702803114
0.021128,5.0,5.0,0.702803114
0.021228,5.0,5.0,0.702803114
0.021328,5.0,5.0,0.702803114
0.021428,5.0,5.0,0.702803114
0.021528,5.0,5.0,0.702803114
0.021628,5.0,5.0,0.702803114
0.021728,5.0,5.0,0.702803114
0.021828,5.0,5.0,0.702803114
0.021928,5.0,5.0,0.702803114
0.022028,5.0,5.0,0.702803114
0.022128,5.0,5.0,0.702803114
0.022228,5.0,5.0,0.702803114
0.022328,5.0,5.0,0.702803114
0.022428,5.0,5.0,0.702803114
0.022528,5.0,5.0,0.702803114
0.022628,5.0,5.0,0.702803114
0.022728,5.0,5.0,0.702803114
0.022828,5.0,5.0,0.702803114
0.022928,5.0,5.0,0.702803114
0.023028,5.0,5.0,0.702803114
0.023128,5.0,5.0,0.702803114
0.023228,5.0,5.0,0.702803114
0.023328,5.0,5.0,0.702803114
0.023428,5.0,5.0,0.702803114
0.023528,5.0,5.0,0.702803114
0.023628,5.0,5.0,0.702803114
0.023728,5.0,5.0,0.702803114
0.023828,5.0,5.0,0.702803114
0.023928,5.0,5.0,0.702803114
0.024028,5.0,5.0,0.702803114
0.024128,5.0,5.0,0.702803114
0.024228,5.0,5.0,0.702803114
0.024328,5.0,5.0,0.702803114
0.024428,5.0,5.0,0.702803114
0.024528,5.0,5.0,0.702803114
0.024628,5.0,5.0,0.702803114
0.024728,5.0,5.0,0.702803114
0.024828,5.0,5.0,0.702803114
0.024928,5.0,5.0,0.702803114
0.025028,5.0,5.0,0.702803114
0.025128,5.0,5.0,0.702803114
0.025228,5.0,5.0,0.702803114
0.025328,5.0,5.0,0.702803114
0.025428,5.0,5.0,0.702803114
0.025528,5.0,5.0,0.702803114
0.025628,5.0,5.0,0.702803114
0.025728,5.0,5.0,0.702803114
0.025828,5.0,5.0,0.702803114
0.025928,5.0,5.0,0.702803114
0.026028,5.0,5.0,0.702803114
0.026128,5.0,5.0,0.702803114
0.026228,5.0,5.0,0.702803114
0.026328,5.0,5.0,0.702803114
0.026428,5.0,5.0,0.702803114
0.026528,5.0,5.0,0.702803114
0.026628,5.0,5.0,0.702803114
0.026728,5.0,5.0,0.702803114
0.026828,5.0,5.0,0.702803114
0.026928,5.0,5.0,0.702803114
0.027028,5.0,5.0,0.702803114
0.027128,5.0,5.0,0.702803114
0.027228,5.0,5.0,0.702803114
0.027328,5.0,5.0,0.702803114
0.027428,5.0,5.0,0.702803114
0.027528,5.0,5.0,0.702803114
0.027628,5.0,5.0,0.702803114
0.027728,5.0,5.0,0.702803114
0.027828,5.0,5.0,0.702803114
0.027928,5.0,5.0,0.702803114
