 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 6.08511689e-05  6.08511689e-05  5.35161389e-01  3.09372194e-01  9.00000000e+00  6.69423139e-02  6.98752886e-08  6.98752884e-08  9.68907947e-20 
 6.09787437e-05  6.09787437e-05  5.35101660e-01  3.09818063e-01  9.00000000e+00  6.69421252e-02 -6.96587890e-08 -6.96587889e-08 -9.65905185e-20 
 6.10333342e-05  6.10333342e-05  5.35076104e-01  3.10008841e-01  9.00000000e+00  6.69417130e-02  7.00109175e-08  7.00109173e-08  9.70788611e-20 
 6.11048369e-05  6.11048369e-05  5.35042633e-01  3.10258709e-01  9.00000000e+00  6.69417089e-02 -6.98256232e-08 -6.98256230e-08 -9.68218545e-20 
 6.11698125e-05  6.11698125e-05  5.35012219e-01  3.10485755e-01  9.00000000e+00  6.69412629e-02  7.01616950e-08  7.01616949e-08  9.72879331e-20 
 6.12717658e-05  6.12717658e-05  5.34964500e-01  3.10841990e-01  9.00000000e+00  6.69411579e-02 -6.99543941e-08 -6.99543939e-08 -9.70004113e-20 
 6.14756724e-05  6.14756724e-05  5.34869077e-01  3.11554371e-01  9.00000000e+00  6.69402540e-02  7.02365977e-08  7.02365975e-08  9.73917950e-20 
 6.18834855e-05  6.18834855e-05  5.34678290e-01  3.12978782e-01  9.00000000e+00  6.69391403e-02 -6.99917609e-08 -6.99917607e-08 -9.70522249e-20 
 6.26991117e-05  6.26991117e-05  5.34296947e-01  3.15826192e-01  9.00000000e+00  6.69362211e-02  7.02552589e-08  7.02552587e-08  9.74176711e-20 
 6.43265052e-05  6.43265052e-05  5.33536987e-01  3.21501932e-01  9.00000000e+00  6.69310952e-02 -7.00010939e-08 -7.00010937e-08 -9.70651662e-20 
 6.72527592e-05  6.72527592e-05  5.32173571e-01  3.31688847e-01  9.00000000e+00  6.69212533e-02  7.02601063e-08  7.02601061e-08  9.74243926e-20 
 7.03136758e-05  7.03136758e-05  5.30751646e-01  3.42318809e-01  9.00000000e+00  6.69114612e-02 -7.00044818e-08 -7.00044816e-08 -9.70698640e-20 
 7.42434423e-05  7.42434423e-05  5.28932429e-01  3.55927677e-01  9.00000000e+00  6.68984064e-02  7.02630516e-08  7.02630514e-08  9.74284766e-20 
 7.92434423e-05  7.92434423e-05  5.26628005e-01  3.73180582e-01  9.00000000e+00  6.68823936e-02 -7.00067848e-08 -7.00067846e-08 -9.70730574e-20 
 8.42434423e-05  8.42434423e-05  5.24334996e-01  3.90364152e-01  9.00000000e+00  6.68659991e-02  7.02650784e-08  7.02650782e-08  9.74312870e-20 
 8.92434423e-05  8.92434423e-05  5.22053342e-01  4.07478747e-01  9.00000000e+00  6.68501468e-02 -7.00088114e-08 -7.00088113e-08 -9.70758676e-20 
 9.42434423e-05  9.42434423e-05  5.19782988e-01  4.24524735e-01  9.00000000e+00  6.68339121e-02  7.02671049e-08  7.02671047e-08  9.74340970e-20 
 9.92434423e-05  9.92434423e-05  5.17523876e-01  4.41502488e-01  9.00000000e+00  6.68182188e-02 -7.00108378e-08 -7.00108376e-08 -9.70786773e-20 
