time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
0.00581450877,2.94790313,5.6360783,9.0,0.0839565495,4.39834176e-05,4.39834175e-05,6.1002933e-17
0.00581950877,2.93361896,5.63685464,9.0,0.0838776241,-4.39781673e-05,-4.39781672e-05,-6.09667391e-17
0.00582450877,2.91940552,5.63762927,9.0,0.0837552586,4.39729496e-05,4.39729495e-05,6.09884109e-17
0.00582950877,2.90526248,5.6384022,9.0,0.0836773265,-4.39677004e-05,-4.39677003e-05,-6.09522324e-17
0.00583450877,2.89118948,5.63917343,9.0,0.0835559623,4.39625012e-05,4.39625011e-05,6.09739161e-17
0.00583950877,2.87718617,5.63994296,9.0,0.083479013,-4.39569318e-05,-4.39569317e-05,-6.09373074e-17
0.00584450877,2.86325221,5.64071079,9.0,0.0833586389,4.39520382e-05,4.39520381e-05,6.0959401e-17
0.00584950877,2.84938726,5.64147692,9.0,0.0832826631,-4.39464701e-05,-4.394647e-05,-6.09228078e-17
0.00585450877,2.83559097,5.64224137,9.0,0.0831632698,4.39415777e-05,4.39415776e-05,6.09448894e-17
0.00585591215,2.83576617,5.64245563,9.0,5.83788261,8.50994635,0.708253249,0.0078016931
0.00585615372,2.83651044,5.64249251,9.0,5.9961439,8.53038269,0.70832069,0.007822062
0.00585632946,2.83705222,5.64251933,9.0,5.84343865,8.51027742,0.708254455,0.0078020568
0.00585656375,2.83777391,5.64255508,9.0,5.99193092,8.53005606,0.708337808,0.00782724057
0.0058567878,2.83846441,5.64258927,9.0,5.84825598,8.51056088,0.70825528,0.0078023056
0.00585702564,2.83919688,5.64262556,9.0,5.98867084,8.52977999,0.708318704,0.00782146128
0.00585729896,2.84003896,5.64266725,9.0,5.85255326,8.51080793,0.708256096,0.00780255183
0.00585759597,2.84095347,5.64271256,9.0,5.98648854,8.52956384,0.708317991,0.00782124585
0.00585794198,2.84201912,5.64276533,9.0,5.85621222,8.51099913,0.708256728,0.0078027424
0.00585835517,2.843291,5.64282834,9.0,5.98543409,8.52940435,0.708317466,0.00782108689
0.00585886475,2.84485965,5.64290603,9.0,5.85943886,8.51113029,0.708257161,0.00780287313
0.00585953173,2.8469118,5.64300769,9.0,5.98583563,8.52930214,0.708317129,0.00782098502
0.00586039594,2.8495702,5.64313937,9.0,5.86286442,8.5112087,0.70825742,0.00780295128
0.00586150906,2.85299211,5.6433089,9.0,5.98805403,8.5292421,0.708316931,0.00782092517
0.00586301053,2.85760534,5.64353744,9.0,5.86750371,8.51125449,0.708257571,0.00780299692
0.00586525405,2.86449153,5.64387865,9.0,5.99336387,8.52920983,0.708316824,0.007820893
