time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.004628,5.0,0.0231612076,1.49624653,0.859099015,3.45425671,0.360630354
0.004728,5.0,0.0170071909,1.49484107,0.857507074,3.44427526,0.349572834
0.004828,5.0,0.0107860545,1.49353131,0.855983531,3.43274328,0.337000592
0.004928,5.0,0.00452235051,1.4923226,0.854535133,3.41969855,0.322955932
0.005028,5.0,-0.00175920113,1.49121986,0.853168344,3.40519056,0.307492715
0.005128,5.0,-0.00803381001,1.49022757,0.851889321,3.38927013,0.290665979
0.005228,5.0,-0.0142767131,1.48934974,0.850703881,3.37199998,0.272542486
0.005328,5.0,-0.0204632726,1.48858994,0.849617476,3.35344423,0.25319017
0.005428,5.0,-0.0265690728,1.48795124,0.84863516,3.3336788,0.232688564
0.005528,5.0,-0.0325700171,1.48743623,0.847761565,3.31278072,0.211118046
0.005628,5.0,-0.0384424223,1.48704701,0.847000876,3.29083839,0.188570125
0.005728,5.0,-0.0441631129,1.48678522,0.846356804,3.26794067,0.165136491
0.005828,5.0,-0.0497095119,1.48665197,0.845832563,3.24418708,0.140919181
0.005928,5.0,-0.0550597301,1.48664768,0.8454312,3.21953467,0.115877686
0.006028,5.0,-0.0601926528,1.4867726,0.845154761,3.19442483,0.0904552131
0.006128,5.0,-0.0650880225,1.48702661,0.845004451,3.16875458,0.0645501117
0.006228,5.0,-0.0697265196,1.48740878,0.844981413,3.14264723,0.0382869496
0.006328,5.0,-0.0740898379,1.48791773,0.845086193,3.11622021,0.0117840584
0.006428,5.0,-0.0781607575,1.48855161,0.845318752,3.08959525,-0.0148362734
0.006528,5.0,-0.0819232123,1.48930808,0.845678471,3.06288918,-0.0414570538
0.006628,5.0,-0.0853623536,1.49018434,0.846164159,3.03622315,-0.0679573018
0.006728,5.0,-0.0884646086,1.49117713,0.846774063,3.00971282,-0.0942219016
0.006828,5.0,-0.0912177343,1.49228275,0.847505878,2.98347738,-0.120132565
0.006928,5.0,-0.0936108653,1.49349724,0.848356439,2.95776082,-0.145446736
0.007028,5.0,-0.0956345569,1.49481587,0.849322533,2.93235278,-0.170376254
0.007128,5.0,-0.0972808227,1.49623343,0.850400687,2.90758278,-0.194593268
0.007228,5.0,-0.0985431655,1.4977446,0.851586432,2.88354766,-0.21800324
0.007328,5.0,-0.0994166034,1.49934368,0.852874882,2.86034017,-0.240516007
0.007428,5.0,-0.0998976894,1.50102457,0.854260738,2.83805781,-0.262036925
0.007528,5.0,-0.0999845249,1.50278084,0.855738303,2.81678967,-0.282480034
0.007628,5.0,-0.0996767671,1.50460572,0.857301499,2.79662635,-0.301758147
0.007728,5.0,-0.0989756307,1.50649218,0.858943899,2.77764793,-0.31979482
0.007828,5.0,-0.0978838826,1.50843292,0.860658749,2.75993466,-0.336513683
0.007928,5.0,-0.0964058316,1.51042041,0.862439002,2.74355531,-0.351850055
0.008028,5.0,-0.0945473108,1.51244686,0.864277441,2.72854048,-0.365777571
0.008128,5.0,-0.092315655,1.51450448,0.866166397,2.7150767,-0.378114247
0.008228,5.0,-0.0897196715,1.51658526,0.868098069,2.70306256,-0.388966142
0.008328,5.0,-0.0867696054,1.51868095,0.870064714,2.69260926,-0.398226725
0.008428,5.0,-0.0834770994,1.52078335,0.872058299,2.68375632,-0.405861356
0.008528,5.0,-0.0798551473,1.5228842,0.874070712,2.67653121,-0.411847503
0.008628,5.0,-0.0759180435,1.52497524,0.87609379,2.67096116,-0.416162993
0.008728,5.0,-0.0716813258,1.52704821,0.87811935,2.66706045,-0.418798618
0.008828,5.0,-0.0671617147,1.52909494,0.880139227,2.66484254,-0.419745998
0.008928,5.0,-0.062377047,1.53110731,0.882145305,2.6643078,-0.419009895
0.009028,5.0,-0.0573462056,1.53307735,0.884129549,2.66545574,-0.41659589
0.009128,5.0,-0.0520890449,1.53499724,0.88608404,2.66827281,-0.412522579
0.009228,5.0,-0.0466263125,1.53685934,0.888001009,2.6727448,-0.406809177
0.009328,5.0,-0.0409795674,1.53865624,0.889872862,2.67884468,-0.39948764
0.009428,5.0,-0.0351710946,1.54038076,0.891692218,2.68654501,-0.390590219
0.009528,5.0,-0.0292238177,1.54202601,0.893451932,2.69580591,-0.380161514
0.009628,5.0,-0.0231612076,1.54358542,0.895145126,2.70658747,-0.368246001
0.009728,5.0,-0.0170071909,1.54505272,0.896765214,2.71883779,-0.35490001
0.009828,5.0,-0.0107860545,1.54642203,0.89830593,2.73250541,-0.340179237
0.009928,5.0,-0.00452235051,1.54768784,0.899761347,2.74752744,-0.324150646
0.010028,5.0,0.00175920113,1.54884506,0.901125901,2.763842,-0.306879979
0.010128,5.0,0.00803381001,1.54988899,0.902394413,2.7813764,-0.288443572
0.010228,5.0,0.0142767131,1.55081544,0.903562104,2.8000596,-0.268915888
0.010328,5.0,0.0204632726,1.55162062,0.904624613,2.81981046,-0.248381243
0.010428,5.0,0.0265690728,1.55230128,0.905578013,2.84055019,-0.226921363
0.010528,5.0,0.0325700171,1.55285462,0.906418821,2.86219065,-0.204627038
0.010628,5.0,0.0384424223,1.55327838,0.907144011,2.88464681,-0.181585713
0.010728,5.0,0.0441631129,1.55357081,0.907751019,2.9078251,-0.157893058
0.010828,5.0,0.0497095119,1.55373067,0.908237754,2.93163581,-0.133640627
0.010928,5.0,0.0550597301,1.55375711,0.908602882,2.955866,-0.109042732
0.011028,5.0,0.0601926528,1.55365006,0.90884516,2.98069592,-0.0839204518
0.011128,5.0,0.0650880225,1.55341011,0.908963593,3.00584836,-0.0585521392
0.011228,5.0,0.0697265196,1.55303811,0.908958076,3.0312391,-0.0330226523
0.011328,5.0,0.0740898379,1.55253549,0.908828938,3.05677339,-0.00742707033
0.011428,5.0,0.0781607575,1.55190421,0.908576958,3.0823594,0.0181426983
0.011528,5.0,0.0819232123,1.55114677,0.908203368,3.10789947,0.043589241
0.011628,5.0,0.0853623536,1.55026618,0.907709847,3.13330148,0.0688209278
0.011728,5.0,0.0884646086,1.54926595,0.907098515,3.15846916,0.0937423022
0.011828,5.0,0.0912177343,1.54815009,0.906371923,3.18331286,0.118264774
0.011928,5.0,0.0936108653,1.54692327,0.905532705,3.20787717,0.142434089
0.012028,5.0,0.0956345569,1.5455903,0.904584369,3.23174694,0.165836785
0.012128,5.0,0.0972808227,1.54415628,0.903531084,3.25504939,0.188602203
0.012228,5.0,0.0985431655,1.54262707,0.902376893,3.27769295,0.210640848
0.012328,5.0,0.0994166034,1.54100884,0.901126235,3.29958907,0.231866508
0.012428,5.0,0.0998976894,1.53930815,0.899783906,3.32066059,0.252204587
0.012528,5.0,0.0999845249,1.53753185,0.89835503,3.34082922,0.271579604
0.012628,5.0,0.0996767671,1.53568709,0.896845037,3.36002647,0.289926089
0.012728,5.0,0.0989756307,1.53378132,0.895259639,3.37818205,0.307176968
0.012828,5.0,0.0978838826,1.5318222,0.893604807,3.39523511,0.323274791
0.012928,5.0,0.0964058316,1.52981761,0.891886755,3.41112288,0.338160393
0.013028,5.0,0.0945473108,1.52777552,0.890112055,3.42573334,0.35172557
0.013128,5.0,0.092315655,1.52570427,0.888287144,3.43920693,0.364114547
0.013228,5.0,0.0897196715,1.52361222,0.886418709,3.45127474,0.375062396
0.013328,5.0,0.0867696054,1.52150761,0.884513916,3.46197862,0.384615246
0.013428,5.0,0.0834770994,1.51939886,0.882579857,3.47127925,0.392738068
0.013528,5.0,0.0798551473,1.5172944,0.880623741,3.47913594,0.399394564
0.013628,5.0,0.0759180435,1.51520261,0.878652881,3.48551846,0.404558973
0.013728,5.0,0.0716813258,1.51313179,0.876674665,3.49039481,0.408203857
0.013828,5.0,0.0671617147,1.51109015,0.874696537,3.4937434,0.410312276
0.013928,5.0,0.062377047,1.50908576,0.872725971,3.49554108,0.410865746
0.014028,5.0,0.0573462056,1.5071265,0.870770457,3.49577534,0.409856486
0.014128,5.0,0.0520890449,1.50522006,0.868837469,3.49443242,0.407275486
0.014228,5.0,0.0466263125,1.50337391,0.866934446,3.4915096,0.403124785
0.014328,5.0,0.0409795674,1.50159524,0.865068768,3.48700336,0.397405619
0.014428,5.0,0.0351710946,1.49989094,0.863247728,3.4809217,0.390130725
0.014528,5.0,0.0292238177,1.49826762,0.861478506,3.47327234,0.381312518
0.014628,5.0,0.0231612076,1.49673152,0.859768145,3.46407505,0.370975396
0.014728,5.0,0.0170071909,1.49528854,0.858123518,3.45334981,0.359143914
0.014828,5.0,0.0107860545,1.49394419,0.8565513,3.44112913,0.345855054
0.014928,5.0,0.00452235051,1.49270359,0.855057941,3.42744617,0.331146333
0.015028,5.0,-0.00175920113,1.49157144,0.853649631,3.41234696,0.31506801
0.015128,5.0,-0.00803381001,1.49055202,0.852332274,3.39587842,0.297671077
0.015228,5.0,-0.0142767131,1.48964916,0.851111452,3.37810048,0.279019364
0.015328,5.0,-0.0204632726,1.48886625,0.849992398,3.35907393,0.259177363
0.015428,5.0,-0.0265690728,1.48820622,0.848979966,3.33887242,0.238222214
0.015528,5.0,-0.0325700171,1.48767151,0.848078601,3.3175701,0.216231334
0.015628,5.0,-0.0384424223,1.4872641,0.847292313,3.29525353,0.193294273
0.015728,5.0,-0.0441631129,1.4869855,0.846624651,3.27200909,0.169500144
0.015828,5.0,-0.0497095119,1.48683673,0.84607868,3.24793476,0.144949371
0.015928,5.0,-0.0550597301,1.48681809,0.845657316,3.22298155,0.119595333
0.016028,5.0,-0.0601926528,1.48692975,0.845362471,3.1975989,0.0938892209
0.016128,5.0,-0.0650880225,1.48717151,0.845195218,3.17167578,0.0677212454
0.016228,5.0,-0.0697265196,1.48754237,0.845156589,3.1453347,0.0412151074
0.016328,5.0,-0.0740898379,1.48804088,0.845247029,3.11869146,0.0144874726
0.016428,5.0,-0.0781607575,1.4886651,0.845466403,3.09186705,-0.0123401998
0.016528,5.0,-0.0819232123,1.48941266,0.845814001,3.06497672,-0.0391525072
0.016628,5.0,-0.0853623536,1.49028069,0.846288551,3.03814097,-0.065829192
0.016728,5.0,-0.0884646086,1.49126588,0.846888222,3.01147403,-0.0922566133
0.016828,5.0,-0.0912177343,1.49236448,0.847610638,2.98509451,-0.118317082
0.016928,5.0,-0.0936108653,1.49357249,0.848452564,2.95924658,-0.143767906
0.017028,5.0,-0.0956345569,1.49488516,0.849410727,2.9337157,-0.168825159
0.017128,5.0,-0.0972808227,1.4962972,0.850481603,2.90883278,-0.19315962
0.017228,5.0,-0.0985431655,1.49780329,0.85166067,2.88469418,-0.216677253
0.017328,5.0,-0.0994166034,1.49939768,0.852942991,2.86139146,-0.239289122
0.017428,5.0,-0.0998976894,1.50107425,0.854323223,2.83902183,-0.260900889
0.017528,5.0,-0.0999845249,1.50282652,0.855795629,2.81767334,-0.281427662
0.017628,5.0,-0.0996767671,1.50464773,0.857354092,2.79743644,-0.300782431
0.017728,5.0,-0.0989756307,1.50653081,0.85899215,2.77839026,-0.318889714
0.017828,5.0,-0.0978838826,1.50846843,0.860703016,2.76061499,-0.335673225
0.017928,5.0,-0.0964058316,1.51045305,0.862479616,2.74417853,-0.351069163
0.018028,5.0,-0.0945473108,1.51247687,0.864314705,2.72911121,-0.365051448
0.018128,5.0,-0.092315655,1.51453205,0.866200587,2.71559973,-0.37743795
0.018228,5.0,-0.0897196715,1.51661059,0.86812944,2.70354159,-0.388335818
0.018328,5.0,-0.0867696054,1.51870422,0.870093499,2.69304776,-0.397638779
0.018428,5.0,-0.0834770994,1.52080473,0.872084714,2.68415786,-0.405312094
0.018528,5.0,-0.0798551473,1.52290384,0.874094953,2.67689866,-0.411333946
0.018628,5.0,-0.0759180435,1.52499327,0.876116036,2.67129755,-0.415682002
0.018728,5.0,-0.0716813258,1.52706478,0.878139767,2.66736815,-0.418347721
0.018828,5.0,-0.0671617147,1.52911015,0.880157967,2.66512415,-0.419322521
0.018928,5.0,-0.062377047,1.53112127,0.882162507,2.66456529,-0.418611791
0.019028,5.0,-0.0573462056,1.53309017,0.88414534,2.6656913,-0.416220874
0.019128,5.0,-0.0520890449,1.53500901,0.886098537,2.66848808,-0.412168964
0.019228,5.0,-0.0466263125,1.53687015,0.888014319,2.67294167,-0.406475006
0.019328,5.0,-0.0409795674,1.53866615,0.889885084,2.67902447,-0.399171527
0.019428,5.0,-0.0351710946,1.54038986,0.891703441,2.68670936,-0.390290485
0.019528,5.0,-0.0292238177,1.54203437,0.89346224,2.6959559,-0.379877026
0.019628,5.0,-0.0231612076,1.54359308,0.895154593,2.7067245,-0.367975315
0.019728,5.0,-0.0170071909,1.54505976,0.896773912,2.71896273,-0.354642207
0.019828,5.0,-0.0107860545,1.54642849,0.89831392,2.73261948,-0.33993307
0.019928,5.0,-0.00452235051,1.54769377,0.899768688,2.74763134,-0.323915375
0.020028,5.0,0.00175920113,1.54885049,0.901132647,2.76393679,-0.306654521
0.020128,5.0,0.00803381001,1.54989399,0.902400613,2.78146263,-0.28822734
0.020228,5.0,0.0142767131,1.55082002,0.903567803,2.80013819,-0.26870794
0.020328,5.0,0.0204632726,1.55162482,0.904629852,2.81988185,-0.248181116
0.020428,5.0,0.0265690728,1.55230513,0.90558283,2.84061517,-0.226728234
0.020528,5.0,0.0325700171,1.55285816,0.90642325,2.86224957,-0.204440551
0.020628,5.0,0.0384424223,1.55328163,0.907148084,2.88470036,-0.181405142
0.020728,5.0,0.0441631129,1.55357379,0.907754765,2.90787355,-0.157718138
0.020828,5.0,0.0497095119,1.55373341,0.908241201,2.93167977,-0.133470716
0.020928,5.0,0.0550597301,1.55375962,0.908606053,2.95590569,-0.1088776
0.021028,5.0,0.0601926528,1.55365237,0.908848078,2.98073184,-0.0837595844
0.021128,5.0,0.0650880225,1.55341223,0.908966279,3.00588064,-0.0583953957
0.021228,5.0,0.0697265196,1.55304006,0.908960548,3.03126823,-0.032869519
0.021328,5.0,0.0740898379,1.55253727,0.908831214,3.05679946,-0.00727746524
0.021428,5.0,0.0781607575,1.55190585,0.908579054,3.08238284,0.0182892351
0.021528,5.0,0.0819232123,1.55114827,0.908205298,3.10792033,0.0437327464
0.021628,5.0,0.0853623536,1.55026756,0.907711624,3.13332015,0.0689618185
0.021728,5.0,0.0884646086,1.54926722,0.907100152,3.15848564,0.0938805783
0.021828,5.0,0.0912177343,1.54815125,0.906373432,3.18332752,0.118400816
