time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
1.64728,0.0,9.0,1.16481634,7.47253762,5.63245022e-08,8.99984187,8.99992094,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671045e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118177e-12,9.66056194e-12,9.66118177e-12,-9.00985245e-12,9.00831622e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.01413942e-09
1.64828,0.0,9.0,1.16481634,7.47253762,5.63245025e-08,8.99984188,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671049e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118187e-12,9.65962894e-12,9.66118187e-12,-9.00985244e-12,9.00962332e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413933e-09
1.64928,0.0,9.0,1.16481634,7.47253762,5.63245027e-08,8.99984188,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.0767105e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118192e-12,9.65944226e-12,9.66118192e-12,-9.00985244e-12,9.00942892e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413942e-09
1.65028,0.0,9.0,1.16481634,7.47253762,5.63245027e-08,8.99984188,8.99992095,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.0767105e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118192e-12,9.6592113e-12,9.66118192e-12,-9.00985244e-12,9.00948252e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413933e-09
1.65128,0.0,9.0,1.16481634,7.47253762,5.63245031e-08,8.99984189,8.99992096,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671054e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118204e-12,9.65845417e-12,9.66118204e-12,-9.00985245e-12,9.00832949e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.0141394e-09
1.65228,0.0,9.0,1.16481634,7.47253762,5.63245031e-08,8.99984189,8.99992096,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671054e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118205e-12,9.65833378e-12,9.66118205e-12,-9.00985245e-12,9.00807711e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.01413923e-09
1.65328,0.0,9.0,1.16481634,7.47253762,5.63245026e-08,8.99984188,8.99992095,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671049e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118188e-12,9.65976159e-12,9.66118188e-12,-9.00985245e-12,9.00825086e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.01413922e-09
1.65428,0.0,9.0,1.16481634,7.47253762,5.63245032e-08,8.99984189,8.99992096,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671055e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118207e-12,9.65799951e-12,9.66118207e-12,-9.00985244e-12,9.00876927e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413927e-09
1.65528,0.0,9.0,1.16481634,7.47253762,5.6324503e-08,8.99984189,8.99992095,8.99985245,8.99999991,8.99992619,7.39560011,1.16481032,0.82792439,0.141229878,8.07671053e-08,7.40674936,8.99999986,-6.0063039e-09,-9.66118201e-12,9.65888885e-12,9.66118201e-12,-9.00985245e-12,9.00838567e-12,9.00985245e-12,0.00725437023,6.57942708e-05,6.0141394e-09
1.65628,0.0,9.0,1.16481634,7.47253762,5.63245022e-08,8.99984187,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671045e-08,7.40674936,8.99999986,-6.00630392e-09,-9.66118177e-12,9.66039468e-12,9.66118177e-12,-9.00985244e-12,9.00892966e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01413931e-09
