time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.04825,1.89832817,5.0,6.36505993,1.89832699,2.50000003,-1.37505984e-12
0.04875,1.91379784,5.0,6.37747201,1.91379649,2.50000004,-1.38747192e-12
0.04925,1.92919037,5.0,6.38980245,1.9291892,2.50000003,-1.39980236e-12
0.04975,1.94450612,5.0,6.40205092,1.94450477,2.50000004,-1.41205083e-12
0.05025,1.95974548,5.0,6.41421851,1.95974432,2.50000003,-1.42421842e-12
0.050625,1.9711251,5.0,6.42329091,1.97112375,2.50000004,-1.43329083e-12
0.051,1.98246212,5.0,6.43231843,1.98246095,2.50000003,-1.44231835e-12
0.0510259274,1.98321065,4.87036311,6.43280747,1.98311152,2.43518433,-1.5724443e-12
0.0510777821,1.98464013,4.61108932,6.43390845,1.98453877,2.3055475,-1.8328191e-12
0.0511814917,1.98709374,4.09254175,6.43568804,1.98699115,2.04627374,-2.35314627e-12
0.0513200314,1.98952894,3.39984289,6.41961398,1.98939593,1.69992516,-3.02977109e-12
0.0514765106,1.99110841,2.61744698,2.00935055,1.97335151,1.35360173,0.000162356101
0.0515959967,1.99142727,2.02001639,1.37179988,1.88796395,1.22715652,0.000765807779
0.051707052,1.99078506,1.46474023,0.852764736,1.43513992,0.80063138,0.000188625968
0.051849657,1.988444,0.751714946,0.426061033,1.02359482,0.402874071,2.93805195e-09
0.0519248285,1.9865822,0.375857473,0.243060837,0.84539972,0.219876535,1.82014572e-12
0.052,1.98430666,0.0,0.0600530577,0.666260353,0.0369052934,-6.90720851e-14
0.0520150343,1.98381028,0.0,0.0600690213,0.666003653,0.0368985856,-6.9088654e-14
0.0520451029,1.98281782,0.0,0.0600464283,0.665953932,0.036872189,-6.90652043e-14
0.0521052401,1.98083465,0.0,0.0599897028,0.66586408,0.036819176,-6.90063245e-14
0.0522104106,1.97737199,0.0,0.0599005843,0.665700586,0.0367267994,-6.89138118e-14
0.0524207517,1.97046797,0.0,0.0597121646,0.665381309,0.0365424265,-6.87181775e-14
0.0528414339,1.95674468,0.0,0.0593483496,0.66473827,0.0361761793,-6.83402823e-14
0.0533414339,1.94057985,0.0,0.0589121314,0.663982093,0.0357447373,-6.78869186e-14
0.0538414339,1.92457211,0.0,0.0584874093,0.663224507,0.0353177329,-6.74452228e-14
0.0543414339,1.9087199,0.0,0.0580596895,0.662475444,0.0348948447,-6.70001253e-14
0.0548414339,1.89302169,0.0,0.0576435157,0.661725294,0.0344762992,-6.6566765e-14
0.0553414339,1.87747598,0.0,0.0572241053,0.660983672,0.0340617845,-6.61297523e-14
0.0558414339,1.86208125,0.0,0.0568163175,0.66024076,0.0336515338,-6.57045741e-14
0.0563414339,1.84683603,0.0,0.056405052,0.659506377,0.0332452304,-6.52754901e-14
0.0568414339,1.83173885,0.0,0.0560054912,0.658770499,0.0328431139,-6.48583443e-14
0.0573414339,1.81678825,0.0,0.0556022091,0.658043157,0.0324448626,-6.44370359e-14
0.0578414339,1.80198279,0.0,0.0552107197,0.657314113,0.0320507229,-6.40277764e-14
0.0583414339,1.78732104,0.0,0.0548152626,0.656593613,0.0316603679,-6.36140939e-14
0.0588414339,1.77280159,0.0,0.0544316922,0.655871204,0.0312740507,-6.32125778e-14
0.0593414339,1.75842304,0.0,0.0540439046,0.655157352,0.0308914391,-6.28063745e-14
0.0598414339,1.744184,0.0,0.053668104,0.654441381,0.0305127932,-6.24124621e-14
0.0603414339,1.7300831,0.0,0.0532878335,0.653733984,0.0301377752,-6.20135946e-14
0.0608414339,1.71611899,0.0,0.0529196564,0.653024255,0.0297666524,-6.16271494e-14
0.0613414339,1.70229031,0.0,0.0525467534,0.652323121,0.0293990812,-6.12354769e-14
0.0618414339,1.68859573,0.0,0.0521860566,0.651619442,0.0290353362,-6.08563658e-14
0.0623414339,1.67503395,0.0,0.0518203744,0.650924381,0.0286750678,-6.04717507e-14
0.0628414339,1.66160364,0.0,0.0514670179,0.650226558,0.0283185581,-6.00998434e-14
0.0633414339,1.64830351,0.0,0.0511084124,0.649537383,0.0279654515,-5.97221506e-14
0.0638414339,1.63513229,0.0,0.0507622588,0.648845226,0.0276160377,-5.93573198e-14
0.0643414339,1.6220887,0.0,0.0504105888,0.648161749,0.0272699546,-5.89864173e-14
0.0648414339,1.60917149,0.0,0.0500715039,0.647475068,0.0269274998,-5.86285388e-14
0.0653414339,1.59637942,0.0,0.0497266308,0.646797105,0.0265883047,-5.82642968e-14
0.0658414339,1.58371124,0.0,0.049394483,0.646115712,0.0262526749,-5.79132492e-14
0.0663414339,1.57116576,0.0,0.0490562707,0.645443077,0.025920235,-5.7555541e-14
0.0668414339,1.55874174,0.0,0.0487309312,0.644766786,0.0255912988,-5.72112055e-14
0.0673414339,1.54643801,0.0,0.0483992464,0.644099297,0.025265484,-5.68599066e-14
0.0678414339,1.53425337,0.0,0.0480805893,0.64342792,0.0249431126,-5.65221674e-14
