 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 2.80176111e-04  2.80176111e-04  4.42851174e-01  1.60627683e-01  9.00000000e+00  6.62916317e-02  6.55020355e-08  6.55020353e-08  9.08267322e-20 
 2.85176111e-04  2.85176111e-04  4.40973044e-01  1.62435629e-01  9.00000000e+00  6.62786422e-02 -6.52461919e-08 -6.52461917e-08 -9.04719094e-20 
 2.90176111e-04  2.90176111e-04  4.39104215e-01  1.64242832e-01  9.00000000e+00  6.62652213e-02  6.55049108e-08  6.55049106e-08  9.08307192e-20 
 2.95176111e-04  2.95176111e-04  4.37244641e-01  1.66049291e-01  9.00000000e+00  6.62523627e-02 -6.52490669e-08 -6.52490668e-08 -9.04758960e-20 
 3.00176111e-04  3.00176111e-04  4.35394277e-01  1.67855007e-01  9.00000000e+00  6.62390719e-02  6.55077856e-08  6.55077854e-08  9.08347054e-20 
 3.05176111e-04  3.05176111e-04  4.33553077e-01  1.69659981e-01  9.00000000e+00  6.62263429e-02 -6.52519414e-08 -6.52519413e-08 -9.04798819e-20 
 3.10176111e-04  3.10176111e-04  4.31720995e-01  1.71464213e-01  9.00000000e+00  6.62131810e-02  6.55106598e-08  6.55106597e-08  9.08386909e-20 
 3.15176111e-04  3.15176111e-04  4.29897986e-01  1.73267703e-01  9.00000000e+00  6.62005802e-02 -6.52548154e-08 -6.52548153e-08 -9.04838670e-20 
 3.20176111e-04  3.20176111e-04  4.28084006e-01  1.75070452e-01  9.00000000e+00  6.61875460e-02  6.55135336e-08  6.55135334e-08  9.08426757e-20 
 3.25176111e-04  3.25176111e-04  4.26279010e-01  1.76872461e-01  9.00000000e+00  6.61750722e-02 -6.52576889e-08 -6.52576887e-08 -9.04878514e-20 
 3.30176111e-04  3.30176111e-04  4.24482953e-01  1.78673729e-01  9.00000000e+00  6.61621643e-02  6.55164068e-08  6.55164066e-08  9.08466598e-20 
 3.35176111e-04  3.35176111e-04  4.22695790e-01  1.80474257e-01  9.00000000e+00  6.61498162e-02 -6.52605618e-08 -6.52605617e-08 -9.04918351e-20 
 3.40176111e-04  3.40176111e-04  4.20917479e-01  1.82274046e-01  9.00000000e+00  6.61370335e-02  6.55192794e-08  6.55192793e-08  9.08506431e-20 
 3.45176111e-04  3.45176111e-04  4.19147974e-01  1.84073097e-01  9.00000000e+00  6.61248099e-02 -6.52634342e-08 -6.52634341e-08 -9.04958181e-20 
 3.50176111e-04  3.50176111e-04  4.17387233e-01  1.85871409e-01  9.00000000e+00  6.61121511e-02  6.55221516e-08  6.55221514e-08  9.08546256e-20 
 3.55176111e-04  3.55176111e-04  4.15635212e-01  1.87668982e-01  9.00000000e+00  6.61000507e-02 -6.52663061e-08 -6.52663060e-08 -9.04998003e-20 
 3.60176111e-04  3.60176111e-04  4.13891868e-01  1.89465819e-01  9.00000000e+00  6.60875146e-02  6.55250232e-08  6.55250230e-08  9.08586075e-20 
 3.65176111e-04  3.65176111e-04  4.12157158e-01  1.91261918e-01  9.00000000e+00  6.60755363e-02 -6.52691774e-08 -6.52691773e-08 -9.05037817e-20 
 3.70176111e-04  3.70176111e-04  4.10431038e-01  1.93057280e-01  9.00000000e+00  6.60631216e-02  6.55278942e-08  6.55278941e-08  9.08625886e-20 
 3.75176111e-04  3.75176111e-04  4.08713468e-01  1.94851907e-01  9.00000000e+00  6.60512641e-02 -6.52720483e-08 -6.52720481e-08 -9.05077625e-20 
 3.80176111e-04  3.80176111e-04  4.07004403e-01  1.96645797e-01  9.00000000e+00  6.60389696e-02  6.55307648e-08  6.55307646e-08  9.08665689e-20 
 3.85176111e-04  3.85176111e-04  4.05303803e-01  1.98438953e-01  9.00000000e+00  6.60272318e-02 -6.52749185e-08 -6.52749184e-08 -9.05117424e-20 
 3.90176111e-04  3.90176111e-04  4.03611625e-01  2.00231373e-01  9.00000000e+00  6.60150564e-02  6.55336348e-08  6.55336346e-08  9.08705486e-20 
 3.95176111e-04  3.95176111e-04  4.01927827e-01  2.02023059e-01  9.00000000e+00  6.60034370e-02 -6.52777883e-08 -6.52777881e-08 -9.05157217e-20 
 4.00176111e-04  4.00176111e-04  4.00252368e-01  2.03814011e-01  9.00000000e+00  6.59913795e-02  6.55365043e-08  6.55365041e-08  9.08745275e-20 
 4.05176111e-04  4.05176111e-04  3.98585207e-01  2.05604230e-01  9.00000000e+00  6.59798774e-02 -6.52806575e-08 -6.52806573e-08 -9.05197002e-20 
 4.10176111e-04  4.10176111e-04  3.96926302e-01  2.07393715e-01  9.00000000e+00  6.59679366e-02  6.55393732e-08  6.55393731e-08  9.08785056e-20 
 4.15176111e-04  4.15176111e-04  3.95275613e-01  2.09182468e-01  9.00000000e+00  6.59565507e-02 -6.52835262e-08 -6.52835260e-08 -9.05236780e-20 
 4.20176111e-04  4.20176111e-04  3.93633099e-01  2.10970489e-01  9.00000000e+00  6.59447254e-02  6.55422416e-08  6.55422415e-08  9.08824831e-20 
 4.25176111e-04  4.25176111e-04  3.91998720e-01  2.12757777e-01  9.00000000e+00  6.59334545e-02 -6.52863943e-08 -6.52863942e-08 -9.05276551e-20 
 4.30176111e-04  4.30176111e-04  3.90372435e-01  2.14544335e-01  9.00000000e+00  6.59217437e-02  6.55451095e-08  6.55451094e-08  9.08864598e-20 
 4.35176111e-04  4.35176111e-04  3.88754204e-01  2.16330161e-01  9.00000000e+00  6.59105865e-02 -6.52892620e-08 -6.52892618e-08 -9.05316314e-20 
 4.40176111e-04  4.40176111e-04  3.87143987e-01  2.18115258e-01  9.00000000e+00  6.58989890e-02  6.55479769e-08  6.55479767e-08  9.08904357e-20 
 4.45176111e-04  4.45176111e-04  3.85541744e-01  2.19899624e-01  9.00000000e+00  6.58879446e-02 -6.52921291e-08 -6.52921289e-08 -9.05356070e-20 
 4.50176111e-04  4.50176111e-04  3.83947437e-01  2.21683260e-01  9.00000000e+00  6.58764592e-02  6.55508437e-08  6.55508436e-08  9.08944109e-20 
 4.55176111e-04  4.55176111e-04  3.82361026e-01  2.23466168e-01  9.00000000e+00  6.58655264e-02 -6.52949956e-08 -6.52949955e-08 -9.05395818e-20 
 4.60176111e-04  4.60176111e-04  3.80782471e-01  2.25248346e-01  9.00000000e+00  6.58541521e-02  6.55537100e-08  6.55537099e-08  9.08983854e-20 
 4.65176111e-04  4.65176111e-04  3.79211734e-01  2.27029797e-01  9.00000000e+00  6.58433298e-02 -6.52978617e-08 -6.52978615e-08 -9.05435559e-20 
 4.70176111e-04  4.70176111e-04  3.77648776e-01  2.28810520e-01  9.00000000e+00  6.58320655e-02  6.55565758e-08  6.55565757e-08  9.09023592e-20 
 4.75176111e-04  4.75176111e-04  3.76093558e-01  2.30590515e-01  9.00000000e+00  6.58213525e-02 -6.53007272e-08 -6.53007270e-08 -9.05475293e-20 
 4.80176111e-04  4.80176111e-04  3.74546043e-01  2.32369784e-01  9.00000000e+00  6.58101971e-02  6.55594411e-08  6.55594409e-08  9.09063322e-20 
 4.85176111e-04  4.85176111e-04  3.73006191e-01  2.34148325e-01  9.00000000e+00  6.57995925e-02 -6.53035922e-08 -6.53035920e-08 -9.05515020e-20 
 4.90176111e-04  4.90176111e-04  3.71473966e-01  2.35926141e-01  9.00000000e+00  6.57885449e-02  6.55623058e-08  6.55623056e-08  9.09103045e-20 
 4.95176111e-04  4.95176111e-04  3.69949329e-01  2.37703232e-01  9.00000000e+00  6.57780475e-02 -6.53064566e-08 -6.53064565e-08 -9.05554739e-20 
 5.00176111e-04  5.00176111e-04  3.68432242e-01  2.39479597e-01  9.00000000e+00  6.57671066e-02  6.55651700e-08  6.55651698e-08  9.09142760e-20 
 5.05176111e-04  5.05176111e-04  3.66922670e-01  2.41255237e-01  9.00000000e+00  6.57567155e-02 -6.53093206e-08 -6.53093204e-08 -9.05594451e-20 
 5.10176111e-04  5.10176111e-04  3.65420573e-01  2.43030153e-01  9.00000000e+00  6.57458803e-02  6.55680336e-08  6.55680335e-08  9.09182469e-20 
 5.15176111e-04  5.15176111e-04  3.63925915e-01  2.44804345e-01  9.00000000e+00  6.57355942e-02 -6.53121840e-08 -6.53121838e-08 -9.05634155e-20 
 5.20176111e-04  5.20176111e-04  3.62438659e-01  2.46577814e-01  9.00000000e+00  6.57248637e-02  6.55708968e-08  6.55708966e-08  9.09222170e-20 
 5.25176111e-04  5.25176111e-04  3.60958769e-01  2.48350560e-01  9.00000000e+00  6.57146817e-02 -6.53150468e-08 -6.53150467e-08 -9.05673853e-20 
 5.30176111e-04  5.30176111e-04  3.59486209e-01  2.50122583e-01  9.00000000e+00  6.57040548e-02  6.55737594e-08  6.55737592e-08  9.09261863e-20 
 5.35176111e-04  5.35176111e-04  3.58020941e-01  2.51893884e-01  9.00000000e+00  6.56939759e-02 -6.53179092e-08 -6.53179090e-08 -9.05713543e-20 
 5.40176111e-04  5.40176111e-04  3.56562929e-01  2.53664463e-01  9.00000000e+00  6.56834515e-02  6.55766214e-08  6.55766213e-08  9.09301550e-20 
 5.45176111e-04  5.45176111e-04  3.55112139e-01  2.55434321e-01  9.00000000e+00  6.56734747e-02 -6.53207710e-08 -6.53207708e-08 -9.05753225e-20 
 5.50176111e-04  5.50176111e-04  3.53668533e-01  2.57203458e-01  9.00000000e+00  6.56630519e-02  6.55794830e-08  6.55794828e-08  9.09341229e-20 
 5.55176111e-04  5.55176111e-04  3.52232077e-01  2.58971875e-01  9.00000000e+00  6.56531762e-02 -6.53236323e-08 -6.53236321e-08 -9.05792900e-20 
 5.60176111e-04  5.60176111e-04  3.50802735e-01  2.60739572e-01  9.00000000e+00  6.56428539e-02  6.55823440e-08  6.55823439e-08  9.09380900e-20 
 5.65176111e-04  5.65176111e-04  3.49380471e-01  2.62506549e-01  9.00000000e+00  6.56330782e-02 -6.53264930e-08 -6.53264929e-08 -9.05832568e-20 
