time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.0906736144,0.856468484,0.0,0.02426383,0.541985755,0.00129492887,-3.03501154e-14
0.0911736144,0.8544195,0.0,0.0242644616,0.541815242,0.00128719399,-3.03508425e-14
0.0916736144,0.852375794,0.0,0.0242477851,0.541656337,0.00127943305,-3.03316419e-14
0.0921736144,0.850337355,0.0,0.0242485386,0.541484888,0.00127174544,-3.03325095e-14
0.0926736144,0.848304168,0.0,0.024231831,0.541325132,0.00126403131,-3.03132714e-14
0.0931736144,0.846276218,0.0,0.0242327075,0.541152732,0.00125639081,-3.03142807e-14
0.0936736144,0.844253493,0.0,0.0242159671,0.540992111,0.00124872332,-3.02950034e-14
0.0941736144,0.842235979,0.0,0.0242169678,0.540818743,0.00124112978,-3.02961558e-14
0.0946736144,0.840223661,0.0,0.0242001933,0.540657243,0.00123350876,-3.02768376e-14
0.0951736144,0.838216526,0.0,0.0242013193,0.540482892,0.00122596201,-3.02781344e-14
0.0956736144,0.836214561,0.0,0.0241845089,0.540320497,0.00121838731,-3.02587735e-14
0.0961736144,0.834217752,0.0,0.0241857614,0.540145146,0.00121088718,-3.02602161e-14
0.0966736144,0.832226085,0.0,0.0241689138,0.539981841,0.00120335863,-3.02408106e-14
0.0971736144,0.830239547,0.0,0.024170294,0.539805474,0.00119590499,-3.02424004e-14
0.0976736144,0.828258124,0.0,0.0241534075,0.539641243,0.00118842243,-3.02229486e-14
0.0981736144,0.826281803,0.0,0.0241549166,0.539463841,0.00118101512,-3.02246871e-14
0.0986736144,0.82431057,0.0,0.0241379895,0.539298669,0.0011735784,-3.02051871e-14
0.0991736144,0.822344412,0.0,0.024139629,0.539120216,0.00116621726,-3.02070758e-14
0.0995868072,0.820723427,0.0,0.02412398,0.538983932,0.00116010379,-3.01890468e-14
0.1,0.819105892,0.0,0.0241270678,0.538834565,0.00115405839,-3.01926044e-14
0.10005,0.818970943,0.25,0.148600146,0.650308818,0.125694491,5.95587111e-13
0.10015,0.818820182,0.75,0.397607128,0.813689977,0.375023437,8.26040263e-09
0.10035,0.819211831,1.75,1.36718585,0.822021239,0.87499559,2.67786684e-08
0.1005067,0.820153687,2.53350122,2.19659397,0.820817942,1.26674914,4.53938919e-09
0.100658008,0.821591879,3.29004154,2.91459029,0.823846531,1.6450169,2.01447228e-08
0.100829004,0.823842048,4.14502077,3.80615898,0.824443591,2.07250923,4.89568853e-09
0.101,0.826754728,5.0,4.63006825,0.828698133,2.49999644,1.62736828e-08
0.101034199,0.827403366,5.0,4.6749056,0.827601216,2.49999997,2.87518412e-09
0.101102598,0.828700436,5.0,4.7260134,0.82870254,2.50000006,3.98805546e-10
0.101239394,0.831293357,5.0,4.74148797,0.831309973,2.49999998,2.19348419e-10
0.101512988,0.836474366,5.0,4.76013307,0.836463914,2.50000006,1.06785061e-10
0.102,0.845680938,5.0,4.77828699,0.845688771,2.49999998,5.30263855e-11
0.1025,0.855111855,5.0,4.79238019,0.855098922,2.50000006,3.08255357e-11
0.103,0.864521362,5.0,4.80460051,0.864528101,2.49999998,1.92807454e-11
0.1035,0.873909507,5.0,4.81520919,0.873895749,2.50000006,1.2845431e-11
0.104,0.88327634,5.0,4.82483962,0.883282492,2.49999998,8.89679181e-12
0.1045,0.892621909,5.0,4.83373462,0.892607817,2.50000006,6.34697578e-12
0.105,0.901946262,5.0,4.84218672,0.901952127,2.49999998,4.61282318e-12
0.1055,0.911249447,5.0,4.85025252,0.911235219,2.50000006,3.40856413e-12
0.106,0.920531513,5.0,4.85810496,0.920537219,2.49999998,2.54480603e-12
0.1065,0.929792507,5.0,4.86572725,0.929778229,2.50000006,1.92130708e-12
0.107,0.939032477,5.0,4.8732442,0.939038086,2.49999998,1.46057306e-12
0.1075,0.948251471,5.0,4.88060785,0.948237186,2.50000006,1.12026863e-12
0.108,0.957449537,5.0,4.887921,0.957455079,2.49999998,8.63989493e-13
0.1085,0.966626721,5.0,4.89512111,0.966612452,2.50000006,6.71655947e-13
0.109,0.975783072,5.0,4.90229985,0.975788564,2.49999998,5.24689223e-13
0.1095,0.984918637,5.0,4.90938753,0.984904395,2.50000006,4.12860441e-13
0.11,0.994033463,5.0,4.91647001,0.994038914,2.49999998,3.26192813e-13
0.1105,1.0031276,5.0,4.92347379,1.00311339,2.50000006,2.59252844e-13
0.111,1.01220109,5.0,4.93048147,1.0122065,2.49999998,2.06504746e-13
0.1115,1.02125398,5.0,4.93741743,1.02123981,2.50000006,1.64995401e-13
0.112,1.03028631,5.0,4.94436241,1.0302917,2.49999998,1.31579219e-13
