time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.146141284,3.62264927,5.0,4.36031152,3.30676655,2.65548391,0.00055071464
0.146641284,3.62928569,5.0,4.35994073,3.30938786,2.65772791,0.000558666448
0.147141284,3.63588609,5.0,4.35956978,3.31204099,2.66000352,0.000566736436
0.147641284,3.64245067,5.0,4.35921206,3.31463238,2.66223075,0.000574629128
0.148141284,3.64897961,5.0,4.35885398,3.31725572,2.66448951,0.000582639576
0.148641284,3.65547312,5.0,4.35850859,3.31981768,2.66669972,0.000590472229
0.149141284,3.66193138,5.0,4.35816267,3.32241169,2.6689414,0.000598422263
0.149641284,3.66835459,5.0,4.35782892,3.32494469,2.67113437,0.000606194079
0.150141284,3.67474293,5.0,4.35749449,3.32750984,2.67335876,0.000614082943
0.150570642,3.68020103,5.0,4.35721794,3.329658,2.67522505,0.000620683929
0.151,3.68563367,5.0,4.3569387,3.33184216,2.67712457,0.00062742125
0.151042112,3.68607243,4.78944036,4.14149513,3.2680542,2.60831143,0.000757817643
0.151126336,3.6867644,4.36832108,3.71143295,3.14093166,2.47196217,0.00107083782
0.151294783,3.687036,3.52608252,2.85729573,2.88554854,2.20410931,0.00169633899
0.151631679,3.68298778,1.84160539,1.19891165,1.75828257,1.1015532,0.00061856825
0.151815839,3.67813911,0.920802696,0.494341922,1.06734912,0.471192172,1.44760158e-07
0.152,3.67145176,0.0,0.0356871944,0.612866293,0.0125941754,-4.31707872e-14
0.152036265,3.6699578,0.0,0.0356732476,0.612843353,0.0125881183,-4.31554831e-14
0.152108796,3.66697111,0.0,0.035661018,0.612805697,0.0125759752,-4.31420628e-14
0.152253858,3.66100517,0.0,0.0356366623,0.61273039,0.0125517197,-4.3115334e-14
0.15254398,3.64910298,0.0,0.035588008,0.612579975,0.01250333,-4.30619323e-14
0.15304398,3.62868319,0.0,0.0355045953,0.612321116,0.0124203144,-4.29703601e-14
0.15354398,3.60837999,0.0,0.0354216198,0.612062253,0.0123377789,-4.28792416e-14
0.15404398,3.58819271,0.0,0.0353391644,0.611803699,0.0122557194,-4.27886684e-14
0.15454398,3.56812069,0.0,0.0352571391,0.611545509,0.0121741331,-4.26985418e-14
0.15504398,3.54816327,0.0,0.0351756289,0.611287622,0.0120930174,-4.26089558e-14
0.15554398,3.5283198,0.0,0.0350945429,0.61103009,0.0120123694,-4.25198107e-14
0.15604398,3.50858962,0.0,0.0350139671,0.610772854,0.0119321866,-4.24312015e-14
0.15654398,3.48897208,0.0,0.0349338098,0.610515966,0.0118524663,-4.23430276e-14
0.15704398,3.46946655,0.0,0.0348541579,0.610259366,0.011773206,-4.2255385e-14
0.15754398,3.45007238,0.0,0.0347749186,0.610003106,0.0116944029,-4.21681719e-14
0.15804398,3.43078894,0.0,0.03469618,0.609747125,0.0116160545,-4.20814857e-14
0.15854398,3.41161558,0.0,0.0346178484,0.609491478,0.0115381581,-4.19952235e-14
0.15904398,3.3925517,0.0,0.0345400128,0.609236102,0.0114607112,-4.19094837e-14
0.15954398,3.37359664,0.0,0.0344625784,0.608981051,0.0113837112,-4.18241623e-14
0.16004398,3.35474981,0.0,0.0343856355,0.608726264,0.0113071557,-4.17393589e-14
0.16054398,3.33601057,0.0,0.0343090882,0.608471796,0.011231042,-4.16549684e-14
0.16104398,3.31737831,0.0,0.0342330277,0.608217582,0.0111553677,-4.15710915e-14
0.16154398,3.29885242,0.0,0.0341573575,0.60796368,0.0110801301,-4.14876221e-14
0.16204398,3.28043229,0.0,0.0340821695,0.607710025,0.011005327,-4.1404662e-14
0.16254398,3.26211732,0.0,0.0340073662,0.607456674,0.0109309556,-4.1322104e-14
0.16304398,3.24390691,0.0,0.0339330409,0.607203562,0.0108570138,-4.12400512e-14
0.16354398,3.22580045,0.0,0.0338590947,0.606950746,0.0107834988,-4.11583949e-14
0.16404398,3.20779736,0.0,0.0337856221,0.606698161,0.0107104084,-4.10772397e-14
0.16454398,3.18989704,0.0,0.0337125233,0.606445866,0.0106377401,-4.09964758e-14
0.16504398,3.1720989,0.0,0.0336398938,0.606193794,0.0105654916,-4.09162087e-14
0.16554398,3.15440237,0.0,0.0335676328,0.605942003,0.0104936603,-4.08363277e-14
0.16604398,3.13680685,0.0,0.0334958367,0.605690428,0.0104222441,-4.07569395e-14
0.16654398,3.11931178,0.0,0.0334244039,0.605439128,0.0103512403,-4.06779321e-14
0.16704398,3.10191658,0.0,0.0333534319,0.605188034,0.0102806469,-4.05994135e-14
0.16754398,3.08462067,0.0,0.0332828178,0.604937208,0.0102104613,-4.05212704e-14
0.16804398,3.06742349,0.0,0.0332126605,0.604686582,0.0101406814,-4.04436123e-14
0.16854398,3.05032448,0.0,0.0331428559,0.604436215,0.0100713046,-4.03663245e-14
0.16904398,3.03332307,0.0,0.0330735039,0.60418604,0.0100023289,-4.02895178e-14
0.16954398,3.01641871,0.0,0.0330044996,0.603936117,0.00993375184,-4.02130762e-14
0.17004398,2.99961084,0.0,0.0329359439,0.603686378,0.0098655713,-4.01371119e-14
0.17054398,2.98289891,0.0,0.0328677307,0.603436884,0.00979778479,-4.00615077e-14
