time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0778578513,1.4246818,0.0,0.0334016839,0.605346979,0.0103256634
0.0783578513,1.41574648,0.0,0.0332872019,0.604966673,0.0102178489
0.0788578513,1.40687486,0.0,0.0331857811,0.60457807,0.0101109417
0.0793578513,1.39806646,0.0,0.0330727873,0.604197828,0.0100047259
0.0798578513,1.38932084,0.0,0.0329730684,0.603809109,0.00989940808
0.0803578513,1.38063754,0.0,0.0328615377,0.603428866,0.00979476878
0.0808578513,1.3720161,0.0,0.0327635014,0.603039964,0.0096910183
0.0813578513,1.36345608,0.0,0.0326534088,0.602659658,0.00958793356
0.0818578513,1.35495705,0.0,0.0325570363,0.602270503,0.00948572878
0.0823578513,1.34651854,0.0,0.0324483571,0.601890067,0.00938417704
0.0828578513,1.33814014,0.0,0.0323536301,0.601500592,0.00928349661
0.0833578513,1.3298214,0.0,0.0322463398,0.601119959,0.00918345666
0.0838578513,1.3215619,0.0,0.0321532404,0.600730091,0.00908427959
0.0843578513,1.31336119,0.0,0.0320473148,0.600349195,0.00898573052
0.0848578513,1.30521887,0.0,0.0319558254,0.599958861,0.00888803612
0.0853578513,1.29713451,0.0,0.0318512405,0.599577633,0.00879095738
0.0858578513,1.28910768,0.0,0.0317613441,0.59918676,0.0086947253
0.0863578513,1.28113797,0.0,0.0316580759,0.598805128,0.00859909663
0.0868578513,1.27322498,0.0,0.0315697561,0.598413641,0.00850430684
0.0873578513,1.26536828,0.0,0.0314677809,0.598031534,0.00841010833
0.0878578513,1.25756747,0.0,0.0313810214,0.597639355,0.00831674112
0.0883578513,1.24982215,0.0,0.0312803158,0.5972567,0.00822395314
0.0888578513,1.24213191,0.0,0.031195101,0.596863751,0.0081319891
0.0893578513,1.23449636,0.0,0.0310956416,0.596480473,0.00804059236
0.0898578513,1.2269151,0.0,0.0310119563,0.596086672,0.00795001242
0.0903578513,1.21938773,0.0,0.0309137198,0.595702695,0.00785998792
0.0908578513,1.21191388,0.0,0.0308315494,0.595307961,0.0077707733
0.0913578513,1.20449314,0.0,0.0307345127,0.594923205,0.00768210235
0.0918578513,1.19712513,0.0,0.0306538428,0.594527453,0.00759423458
0.0923578513,1.18980948,0.0,0.0305579831,0.594141839,0.00750689881
0.0928578513,1.1825458,0.0,0.0304788,0.593744981,0.00742035972
0.0933578513,1.17533372,0.0,0.0303840943,0.593358426,0.00733434103
0.0938578513,1.16817286,0.0,0.0303063847,0.592960374,0.00724911277
0.0943578513,1.16106285,0.0,0.0302128103,0.592572794,0.00716439338
0.0948578513,1.15400332,0.0,0.0301365615,0.592173456,0.00708045838
0.0953578513,1.14699391,0.0,0.0300440957,0.591784764,0.0069970208
0.0958578513,1.14003425,0.0,0.0299692953,0.591384046,0.00691436178
0.0963578513,1.13312399,0.0,0.0298779156,0.590994152,0.00683218882
0.0968578513,1.12626276,0.0,0.0298045519,0.590591958,0.00675078881
0.0973578513,1.1194502,0.0,0.0297142358,0.590200771,0.00666986355
0.0978578513,1.11268597,0.0,0.0296422975,0.589797001,0.00658970588
