 6.65600000e-05  6.65600000e-05  6.65600000e-05  8.12248575e-03  6.65600000e-05  1.25100208e-02  6.65600000e-05  1.20988828e-01 
 6.85600000e-05  6.85600000e-05  6.85600000e-05  8.35150587e-03  6.85600000e-05  1.27382931e-02  6.85600000e-05  1.25328583e-01 
 7.05600000e-05  7.05600000e-05  7.05600000e-05  8.57920718e-03  7.05600000e-05  1.29652258e-02  7.05600000e-05  1.29643047e-01 
 7.25600000e-05  7.25600000e-05  7.25600000e-05  8.80555374e-03  7.25600000e-05  1.31907832e-02  7.25600000e-05  1.33931538e-01 
 7.45600000e-05  7.45600000e-05  7.45600000e-05  9.03050980e-03  7.45600000e-05  1.34149297e-02  7.45600000e-05  1.38193380e-01 
 7.65600000e-05  7.65600000e-05  7.65600000e-05  9.25403984e-03  7.65600000e-05  1.36376299e-02  7.65600000e-05  1.42427899e-01 
 7.85600000e-05  7.85600000e-05  7.85600000e-05  9.47610855e-03  7.85600000e-05  1.38588485e-02  7.85600000e-05  1.46634427e-01 
 8.05600000e-05  8.05600000e-05  8.05600000e-05  9.69668088e-03  8.05600000e-05  1.40785507e-02  8.05600000e-05  1.50812299e-01 
 8.25600000e-05  8.25600000e-05  8.25600000e-05  9.91572199e-03  8.25600000e-05  1.42967018e-02  8.25600000e-05  1.54960857e-01 
 8.45600000e-05  8.45600000e-05  8.45600000e-05  1.01331973e-02  8.45600000e-05  1.45132674e-02  8.45600000e-05  1.59079443e-01 
 8.65600000e-05  8.65600000e-05  8.65600000e-05  1.03490724e-02  8.65600000e-05  1.47282132e-02  8.65600000e-05  1.63167410e-01 
 8.85600000e-05  8.85600000e-05  8.85600000e-05  1.05633134e-02  8.85600000e-05  1.49415053e-02  8.85600000e-05  1.67224110e-01 
 9.05600000e-05  9.05600000e-05  9.05600000e-05  1.07758862e-02  9.05600000e-05  1.51531099e-02  9.05600000e-05  1.71248905e-01 
 9.25600000e-05  9.25600000e-05  9.25600000e-05  1.09867574e-02  9.25600000e-05  1.53629938e-02  9.25600000e-05  1.75241156e-01 
 9.45600000e-05  9.45600000e-05  9.45600000e-05  1.11958937e-02  9.45600000e-05  1.55711238e-02  9.45600000e-05  1.79200236e-01 
 9.65600000e-05  9.65600000e-05  9.65600000e-05  1.14032620e-02  9.65600000e-05  1.57774670e-02  9.65600000e-05  1.83125517e-01 
 9.85600000e-05  9.85600000e-05  9.85600000e-05  1.16088296e-02  9.85600000e-05  1.59819908e-02  9.85600000e-05  1.87016382e-01 
 1.00560000e-04  1.00560000e-04  1.00560000e-04  1.18125640e-02  1.00560000e-04  1.61846629e-02  1.00560000e-04  1.90872213e-01 
 1.02560000e-04  1.02560000e-04  1.02560000e-04  1.20144331e-02  1.02560000e-04  1.63854513e-02  1.02560000e-04  1.94692406e-01 
 1.04560000e-04  1.04560000e-04  1.04560000e-04  1.22144050e-02  1.04560000e-04  1.65843244e-02  1.04560000e-04  1.98476353e-01 
 1.06560000e-04  1.06560000e-04  1.06560000e-04  1.24124481e-02  1.06560000e-04  1.67812506e-02  1.06560000e-04  2.02223460e-01 
 1.08560000e-04  1.08560000e-04  1.08560000e-04  1.26085311e-02  1.08560000e-04  1.69761990e-02  1.08560000e-04  2.05933133e-01 
 1.10560000e-04  1.10560000e-04  1.10560000e-04  1.28026231e-02  1.10560000e-04  1.71691387e-02  1.10560000e-04  2.09604789e-01 
 1.12560000e-04  1.12560000e-04  1.12560000e-04  1.29946934e-02  1.12560000e-04  1.73600393e-02  1.12560000e-04  2.13237844e-01 
 1.14560000e-04  1.14560000e-04  1.14560000e-04  1.31847117e-02  1.14560000e-04  1.75488707e-02  1.14560000e-04  2.16831729e-01 
 1.16560000e-04  1.16560000e-04  1.16560000e-04  1.33726479e-02  1.16560000e-04  1.77356029e-02  1.16560000e-04  2.20385873e-01 
 1.18560000e-04  1.18560000e-04  1.18560000e-04  1.35584725e-02  1.18560000e-04  1.79202066e-02  1.18560000e-04  2.23899718e-01 
 1.20560000e-04  1.20560000e-04  1.20560000e-04  1.37421560e-02  1.20560000e-04  1.81026525e-02  1.20560000e-04  2.27372705e-01 
 1.22560000e-04  1.22560000e-04  1.22560000e-04  1.39236695e-02  1.22560000e-04  1.82829119e-02  1.22560000e-04  2.30804289e-01 
 1.24560000e-04  1.24560000e-04  1.24560000e-04  1.41029843e-02  1.24560000e-04  1.84609563e-02  1.24560000e-04  2.34193927e-01 
 1.26560000e-04  1.26560000e-04  1.26560000e-04  1.42800720e-02  1.26560000e-04  1.86367576e-02  1.26560000e-04  2.37541085e-01 
 1.28560000e-04  1.28560000e-04  1.28560000e-04  1.44549048e-02  1.28560000e-04  1.88102881e-02  1.28560000e-04  2.40845231e-01 
 1.30560000e-04  1.30560000e-04  1.30560000e-04  1.46274549e-02  1.30560000e-04  1.89815203e-02  1.30560000e-04  2.44105848e-01 
 1.32560000e-04  1.32560000e-04  1.32560000e-04  1.47976952e-02  1.32560000e-04  1.91504271e-02  1.32560000e-04  2.47322417e-01 
 1.34560000e-04  1.34560000e-04  1.34560000e-04  1.49655988e-02  1.34560000e-04  1.93169820e-02  1.34560000e-04  2.50494433e-01 
 1.36560000e-04  1.36560000e-04  1.36560000e-04  1.51311392e-02  1.36560000e-04  1.94811587e-02  1.36560000e-04  2.53621393e-01 
 1.38560000e-04  1.38560000e-04  1.38560000e-04  1.52942901e-02  1.38560000e-04  1.96429311e-02  1.38560000e-04  2.56702806e-01 
 1.40560000e-04  1.40560000e-04  1.40560000e-04  1.54550260e-02  1.40560000e-04  1.98022738e-02  1.40560000e-04  2.59738182e-01 
 1.42560000e-04  1.42560000e-04  1.42560000e-04  1.56133213e-02  1.42560000e-04  1.99591616e-02  1.42560000e-04  2.62727045e-01 
 1.44560000e-04  1.44560000e-04  1.44560000e-04  1.57691510e-02  1.44560000e-04  2.01135697e-02  1.44560000e-04  2.65668920e-01 
