 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 6.82800000e-05  6.82800000e-05 -8.10121652e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869966e-17  3.15419770e-17  3.15419628e-17  3.15419626e-17  1.26414133e-28 
 6.92800000e-05  6.92800000e-05  9.36340545e-26 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421198e-17  3.15421056e-17  3.15421054e-17  1.26413991e-28 
 7.02800000e-05  7.02800000e-05 -4.10965064e-27 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421198e-17  3.15421056e-17  3.15421054e-17  1.26413991e-28 
 7.12800000e-05  7.12800000e-05 -8.98981005e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869966e-17  3.15419770e-17  3.15419627e-17  3.15419625e-17  1.26414133e-28 
 7.22800000e-05  7.22800000e-05  8.58352166e-26 -9.00000000e+00  3.15421059e-17  3.15421059e-17 -9.08868537e-17  3.15421198e-17  3.15421056e-17  3.15421054e-17  1.26413991e-28 
 7.32800000e-05  7.32800000e-05  1.18660854e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869965e-17  3.15419770e-17  3.15419627e-17  3.15419625e-17  1.26414133e-28 
 7.42800000e-05  7.42800000e-05 -9.66225669e-26 -9.00000000e+00  3.15421058e-17  3.15421058e-17 -9.08868537e-17  3.15421197e-17  3.15421055e-17  3.15421053e-17  1.26413990e-28 
 7.52800000e-05  7.52800000e-05  7.59726837e-26 -9.00000000e+00  3.15421058e-17  3.15421058e-17 -9.08868537e-17  3.15421198e-17  3.15421056e-17  3.15421054e-17  1.26413991e-28 
 7.62800000e-05  7.62800000e-05  2.75563986e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869965e-17  3.15419770e-17  3.15419627e-17  3.15419625e-17  1.26414133e-28 
 7.72800000e-05  7.72800000e-05 -1.01024007e-25 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869966e-17  3.15419769e-17  3.15419627e-17  3.15419625e-17  1.26414133e-28 
 7.82800000e-05  7.82800000e-05  6.42836998e-26 -9.00000000e+00  3.15421058e-17  3.15421058e-17 -9.08868537e-17  3.15421198e-17  3.15421055e-17  3.15421053e-17  1.26413991e-28 
 7.92800000e-05  7.92800000e-05  4.25841878e-26 -9.00000000e+00  3.15418202e-17  3.15418202e-17 -9.08871393e-17  3.15418341e-17  3.15418199e-17  3.15418197e-17  1.26414276e-28 
 8.02800000e-05  8.02800000e-05 -1.02996650e-25 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869966e-17  3.15419769e-17  3.15419627e-17  3.15419625e-17  1.26414133e-28 
 8.12800000e-05  8.12800000e-05  5.10492942e-26 -9.00000000e+00  3.15421058e-17  3.15421058e-17 -9.08868537e-17  3.15421197e-17  3.15421055e-17  3.15421053e-17  1.26413991e-28 
 8.22800000e-05  8.22800000e-05  5.65881602e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869965e-17  3.15419769e-17  3.15419627e-17  3.15419625e-17  1.26414133e-28 
 8.32800000e-05  8.32800000e-05 -1.02493076e-25 -9.00000000e+00  3.15421058e-17  3.15421058e-17 -9.08868538e-17  3.15421197e-17  3.15421055e-17  3.15421052e-17  1.26413990e-28 
 8.42800000e-05  8.42800000e-05  3.65874355e-26 -9.00000000e+00  3.15421058e-17  3.15421058e-17 -9.08868537e-17  3.15421197e-17  3.15421055e-17  3.15421053e-17  1.26413991e-28 
 8.52800000e-05  8.52800000e-05  6.92316789e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869965e-17  3.15419769e-17  3.15419627e-17  3.15419625e-17  1.26414133e-28 
 8.62800000e-05  8.62800000e-05 -9.95253773e-26 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869966e-17  3.15419769e-17  3.15419626e-17  3.15419624e-17  1.26414133e-28 
 8.72800000e-05  8.72800000e-05  2.12460289e-26 -9.00000000e+00  3.15421058e-17  3.15421058e-17 -9.08868537e-17  3.15421197e-17  3.15421055e-17  3.15421052e-17  1.26413991e-28 
 8.82800000e-05  8.82800000e-05  8.02107854e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869965e-17  3.15419769e-17  3.15419627e-17  3.15419624e-17  1.26414133e-28 
 8.92800000e-05  8.92800000e-05 -9.41649967e-26 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869966e-17  3.15419768e-17  3.15419626e-17  3.15419624e-17  1.26414133e-28 
 9.02800000e-05  9.02800000e-05  5.39377709e-27 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869965e-17  3.15419769e-17  3.15419627e-17  3.15419624e-17  1.26414133e-28 
 9.12800000e-05  9.12800000e-05  8.92615629e-26 -9.00000000e+00  3.15419630e-17  3.15419630e-17 -9.08869965e-17  3.15419769e-17  3.15419627e-17  3.15419624e-17  1.26414133e-28 
 9.22800000e-05  9.22800000e-05 -8.65406524e-26 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869966e-17  3.15419768e-17  3.15419626e-17  3.15419624e-17  1.26414133e-28 
 9.32800000e-05  9.32800000e-05 -1.05880985e-26 -9.00000000e+00  3.15422485e-17  3.15422485e-17 -9.08867109e-17  3.15422625e-17  3.15422482e-17  3.15422480e-17  1.26413848e-28 
 9.42800000e-05  9.42800000e-05  9.61661562e-26 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869965e-17  3.15419769e-17  3.15419627e-17  3.15419624e-17  1.26414133e-28 
 9.52800000e-05  9.52800000e-05 -7.68358959e-26 -9.00000000e+00  3.15418201e-17  3.15418201e-17 -9.08871394e-17  3.15418340e-17  3.15418198e-17  3.15418195e-17  1.26414276e-28 
 9.62800000e-05  9.62800000e-05 -2.63152095e-26 -9.00000000e+00  3.15421057e-17  3.15421057e-17 -9.08868537e-17  3.15421196e-17  3.15421054e-17  3.15421051e-17  1.26413990e-28 
 9.72800000e-05  9.72800000e-05  1.00758937e-25 -9.00000000e+00  3.15421057e-17  3.15421057e-17 -9.08868537e-17  3.15421197e-17  3.15421054e-17  3.15421052e-17  1.26413991e-28 
 9.82800000e-05  9.82800000e-05 -6.52839367e-26 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869965e-17  3.15419768e-17  3.15419626e-17  3.15419623e-17  1.26414133e-28 
 9.92800000e-05  9.92800000e-05 -4.14098840e-26 -9.00000000e+00  3.15421057e-17  3.15421057e-17 -9.08868537e-17  3.15421196e-17  3.15421054e-17  3.15421051e-17  1.26413990e-28 
 1.00280000e-04  1.00280000e-04  1.02929286e-25 -9.00000000e+00  3.15419629e-17  3.15419629e-17 -9.08869965e-17  3.15419768e-17  3.15419626e-17  3.15419623e-17  1.26414133e-28 
