 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 2.42800000e-05  2.42800000e-05 -3.15385200e-25  9.00000000e+00  8.17476250e-12 -2.22044605e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.25785865e-12  6.68354261e-13  3.07975867e-27 
 2.52800000e-05  2.52800000e-05  1.95664638e-25  9.00000000e+00  6.58439250e-12 -2.33146835e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.67168159e-12  5.39346345e-13  3.23296945e-27 
 2.62800000e-05  2.62800000e-05  6.76098053e-26  9.00000000e+00  8.31441895e-12 -2.33146835e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  8.40594066e-12  6.80122625e-13  3.23296945e-27 
 2.72800000e-05  2.72800000e-05 -2.36501221e-25  9.00000000e+00  6.19938336e-12 -2.22044605e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.29502831e-12  5.08482145e-13  3.07975867e-27 
 2.82800000e-05  2.82800000e-05  2.22390983e-25  9.00000000e+00  7.75740452e-12 -2.22044605e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.85701447e-12  6.35269615e-13  3.07975867e-27 
 2.92800000e-05  2.92800000e-05  5.38784678e-26  9.00000000e+00  6.34205268e-12 -2.22044605e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.44566815e-12  5.20472554e-13  3.07975867e-27 
 3.02800000e-05  3.02800000e-05 -2.29446398e-25  9.00000000e+00  7.55301184e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.66057477e-12  6.19060359e-13  3.00204306e-27 
 3.12800000e-05  3.12800000e-05  1.85138894e-25  9.00000000e+00  6.32080084e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.43230520e-12  5.19140286e-13  3.00204306e-27 
 3.22800000e-05  3.22800000e-05  5.76268338e-27  9.00000000e+00  7.35962755e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.47501840e-12  6.03739281e-13  3.00204306e-27 
 3.32800000e-05  3.32800000e-05 -1.71098199e-25  9.00000000e+00  5.94441477e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.06358517e-12  4.88942220e-13  2.92432745e-27 
 3.42800000e-05  3.42800000e-05  1.88788522e-25  9.00000000e+00  7.15278056e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.27567175e-12  5.87307980e-13  2.92432745e-27 
 3.52800000e-05  3.52800000e-05 -2.97399004e-26  9.00000000e+00  6.26225685e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.38895914e-12  5.15143483e-13  3.00204306e-27 
