time,v(N001),v(N002),v(N004)
0.017728,-3.27344022,2.11863523e-120,2.11863523e-120
0.017828,-3.15310814,5.90726365e-121,5.90726365e-121
0.017928,-3.02966432,1.64708693e-121,1.64708693e-121
0.018028,-2.90323059,4.59247377e-122,4.59247377e-122
0.018128,-2.77393172,1.28049194e-122,1.28049194e-122
0.018228,-2.64189532,3.57031895e-123,3.57031895e-123
0.018328,-2.50725168,9.95490637e-124,9.95490637e-124
0.018428,-2.37013369,2.77566689e-124,2.77566689e-124
0.018528,-2.23067667,7.73922565e-125,7.73922565e-125
0.018628,-2.08901823,2.15788191e-125,2.15788191e-125
0.018728,-1.94529819,6.01669282e-126,6.01669282e-126
0.018828,-1.79965837,1.6775984e-126,1.6775984e-126
0.018928,-1.65224251,4.6775471e-127,4.6775471e-127
0.019028,-1.50319608,1.30421243e-127,1.30421243e-127
0.019128,-1.35266618,3.63645736e-128,3.63645736e-128
0.019228,-1.20080137,1.01393161e-128,1.01393161e-128
0.019328,-1.0477515,2.82708476e-129,2.82708476e-129
0.019428,-0.893667633,7.88259101e-130,7.88259101e-130
0.019528,-0.738701822,2.19785562e-130,2.19785562e-130
0.019628,-0.583007002,6.12814911e-131,6.12814911e-131
0.019728,-0.426736825,1.70867509e-131,1.70867509e-131
0.019828,-0.270045509,4.76419637e-132,4.76419637e-132
0.019928,-0.113087692,1.32837232e-132,1.32837232e-132
0.020028,0.0439817299,3.70382095e-133,3.70382095e-133
0.020128,0.201007747,1.0327142e-133,1.0327142e-133
0.020228,0.357835393,2.87945512e-134,2.87945512e-134
0.020328,0.514309899,8.02861215e-135,8.02861215e-135
0.020428,0.670276844,2.23856981e-135,2.23856981e-135
0.020528,0.825582306,6.24167007e-136,6.24167007e-136
0.020628,0.980073018,1.74032746e-136,1.74032746e-136
0.020728,1.13359652,4.85245077e-137,4.85245077e-137
0.020828,1.28600129,1.35297977e-137,1.35297977e-137
0.020928,1.43713694,3.77243242e-138,3.77243242e-138
0.021028,1.58685431,1.05184472e-138,1.05184472e-138
0.021128,1.73500564,2.93279561e-139,2.93279561e-139
0.021228,1.88144473,8.17733826e-140,8.17733826e-140
0.021328,2.02602706,2.28003822e-140,2.28003822e-140
0.021428,2.16860995,6.35729395e-141,6.35729395e-141
0.021528,2.30905269,1.77256618e-141,1.77256618e-141
0.021628,2.44721666,4.94234005e-142,4.94234005e-142
0.021728,2.58296553,1.37804306e-142,1.37804306e-142
0.021828,2.71616533,3.84231488e-143,3.84231488e-143
0.021928,2.84668459,1.07132963e-143,1.07132963e-143
0.022028,2.97439453,2.98712422e-144,2.98712422e-144
0.022128,3.09916909,8.32881945e-145,8.32881945e-145
0.022228,3.22088515,2.32227482e-145,2.32227482e-145
0.022328,3.33942258,6.47505971e-146,6.47505971e-146
0.022428,3.45466441,1.8054021e-146,1.8054021e-146
0.022528,3.5664969,5.03389448e-147,5.03389448e-147
0.022628,3.67480969,1.40357063e-147,1.40357063e-147
0.022728,3.77949588,3.91349188e-148,3.91349188e-148
0.022828,3.88045217,1.09117549e-148,1.09117549e-148
0.022928,3.97757892,3.04245923e-149,3.04245923e-149
0.023028,4.07078029,8.48310675e-150,8.48310675e-150
0.023128,4.15996428,2.36529382e-150,2.36529382e-150
0.023228,4.24504289,6.59500702e-151,6.59500702e-151
0.023328,4.32593215,1.83884629e-151,1.83884629e-151
0.023428,4.40255224,5.12714491e-152,5.12714491e-152
0.023528,4.47482755,1.42957109e-152,1.42957109e-152
0.023628,4.54268674,3.9859874e-153,3.9859874e-153
0.023728,4.60606285,1.11138898e-153,1.11138898e-153
0.023828,4.66489333,3.0988193e-154,3.0988193e-154
0.023928,4.71912012,8.64025215e-155,8.64025215e-155
0.024028,4.76868971,2.40910973e-155,2.40910973e-155
0.024128,4.81355318,6.71717629e-156,6.71717629e-156
0.024228,4.85366625,1.87291001e-156,1.87291001e-156
0.024328,4.88898934,5.22212275e-157,5.22212275e-157
0.024428,4.91948759,1.45605319e-157,1.45605319e-157
0.024528,4.9451309,4.05982587e-158,4.05982587e-158
0.024628,4.96589396,1.13197692e-158,1.13197692e-158
0.024728,4.98175628,3.15622341e-159,3.15622341e-159
0.024828,4.99270222,8.80030859e-160,8.80030859e-160
0.024928,4.99872095,2.45373731e-160,2.45373731e-160
0.025028,4.99980656,6.84160869e-161,6.84160869e-161
0.025128,4.99595795,1.90760475e-161,1.90760475e-161
0.025228,4.98717895,5.31886002e-162,5.31886002e-162
0.025328,4.97347819,1.48302587e-162,1.48302587e-162
0.025428,4.95486922,4.13503215e-163,4.13503215e-163
0.025528,4.93137038,1.15294624e-163,1.15294624e-163
0.025628,4.90300488,3.2146909e-164,3.2146909e-164
0.025728,4.86980071,8.96332999e-165,8.96332999e-165
0.025828,4.83179063,2.49919159e-165,2.49919159e-165
0.025928,4.78901215,6.96834614e-166,6.96834614e-166
0.026028,4.7415075,1.9429422e-166,1.9429422e-166
0.026128,4.68932356,5.4173893e-167,5.4173893e-167
0.026228,4.63251182,1.51049819e-167,1.51049819e-167
0.026328,4.57112834,4.2116316e-168,4.2116316e-168
0.026428,4.50523372,1.174304e-168,1.174304e-168
0.026528,4.43489297,3.27424147e-169,3.27424147e-169
0.026628,4.36017552,9.12937129e-170,9.12937129e-170
0.026728,4.28115511,2.54548789e-170,2.54548789e-170
0.026828,4.19790971,7.09743134e-171,7.09743134e-171
0.026928,4.11052148,1.97893425e-171,1.97893425e-171
0.027028,4.01907666,5.51774378e-172,5.51774378e-172
0.027128,3.9236655,1.53847943e-172,1.53847943e-172
0.027228,3.82438215,4.28965001e-173,4.28965001e-173
0.027328,3.7213246,1.19605741e-173,1.19605741e-173
0.027428,3.61459456,3.33489519e-174,3.33489519e-174
0.027528,3.50429734,9.29848842e-175,9.29848842e-175
