     66/99     10.7G   0.02315   0.02723  0.004255   0.05464        22      1024    0.8444    0.8403    0.8512    0.5749   0.04732   0.08728   0.01753
     67/99     10.7G   0.02275   0.02786  0.004499   0.05511        71      1024    0.8659    0.8193    0.8524     0.577   0.04767   0.08417   0.01767
     68/99     10.7G   0.02365   0.02856  0.004378   0.05659        32      1024     0.861     0.824     0.841    0.5624   0.04791   0.08604   0.01768
     69/99     10.7G   0.02316   0.02716  0.004894   0.05521        25      1024    0.8581    0.8168    0.8392      0.56    0.0476   0.08453   0.01776
     70/99     10.7G   0.02257    0.0279  0.004228    0.0547        75      1024    0.8353    0.8533    0.8621     0.576    0.0468   0.08558   0.01743
     71/99     10.7G   0.02276   0.02693  0.004458   0.05414        26      1024    0.8777    0.8192    0.8482    0.5739   0.04717   0.08737   0.01743
     72/99     10.7G   0.02257   0.02771  0.004739   0.05502        73      1024    0.8683    0.8132     0.851     0.577   0.04802   0.08694   0.01757
     73/99     10.7G   0.02257   0.02725  0.004148   0.05397        39      1024    0.8314    0.8574    0.8661    0.5671   0.04776    0.0862   0.01752
     74/99     10.7G   0.02281   0.02685  0.004137    0.0538        91      1024    0.8443    0.8481    0.8587    0.5832   0.04729   0.08554    0.0175
     75/99     10.7G   0.02239   0.02836  0.004312   0.05506        81      1024    0.8441    0.8406    0.8619     0.578   0.04748   0.08677   0.01739
     76/99     10.7G   0.02219   0.02787  0.003624   0.05368       121      1024    0.8763     0.806    0.8436    0.5721   0.04767   0.08648   0.01745
     77/99     10.7G   0.02182   0.02669  0.003824   0.05234        19      1024     0.896    0.7919    0.8415    0.5641   0.04675   0.08615   0.01738
     78/99     10.7G   0.02191   0.02791  0.004201   0.05401        55      1024    0.8855    0.7954    0.8355    0.5629   0.04729   0.08644   0.01753
     79/99     10.7G   0.02161   0.02665  0.003704   0.05196        30      1024    0.8923     0.792    0.8382    0.5638   0.04727   0.08621   0.01747
     80/99     10.7G   0.02165   0.02817  0.004059   0.05387        23      1024    0.8939     0.791    0.8415    0.5673   0.04697     0.086   0.01739
     81/99     10.7G   0.02165   0.02735  0.003926   0.05292        13      1024    0.8235    0.8422    0.8426    0.5611   0.04722   0.08715   0.01738
     82/99     10.7G   0.02171   0.02823  0.004329   0.05427       116      1024    0.8475    0.8282    0.8411    0.5647   0.04747   0.08632   0.01749
     83/99     10.7G   0.02142   0.02672  0.003914   0.05205        57      1024    0.9054    0.7856    0.8344    0.5644   0.04695   0.08593   0.01744
     84/99     10.7G   0.02131   0.02706  0.004065   0.05244        40      1024    0.9009    0.7895    0.8412    0.5714   0.04643   0.08619   0.01725
     85/99     1.85G   0.02112   0.02654  0.003626   0.05129        32      1024    0.9046    0.7876     0.847    0.5704   0.04707   0.08833   0.01721
     86/99     8.96G   0.02066   0.02626  0.003675   0.05059        22      1024    0.9009    0.7864    0.8326    0.5572   0.04729   0.08834   0.01724
     87/99       11G   0.02125   0.02674  0.004166   0.05216        64      1024    0.9006    0.7913    0.8442    0.5656   0.04693   0.08742    0.0172
     88/99     11.1G   0.02086   0.02687  0.003947   0.05168        71      1024    0.9036    0.7897    0.8478    0.5731   0.04689   0.09013   0.01717
     89/99     11.1G   0.02083   0.02709   0.00401   0.05193        40      1024     0.841    0.8206    0.8438    0.5711   0.04716   0.08946   0.01719
     90/99     11.1G   0.02085   0.02641  0.003805   0.05106        18      1024    0.8505    0.8198    0.8469    0.5751   0.04734    0.0874    0.0172
     91/99     11.1G    0.0204   0.02727   0.00397   0.05164        50      1024     0.849     0.819    0.8378    0.5684   0.04722   0.08922   0.01713
     92/99     11.1G   0.02036   0.02567  0.003347   0.04938         3      1024    0.8972     0.794    0.8441    0.5728   0.04702   0.08815   0.01713
     93/99     11.1G   0.02046   0.02535  0.003738   0.04954        39      1024    0.8885    0.7979    0.8402    0.5701    0.0474   0.09073   0.01729
     94/99     11.1G   0.02056   0.02604  0.003574   0.05018        28      1024    0.8974    0.8012    0.8417    0.5733   0.04693    0.0885   0.01715
     95/99     11.1G   0.02022   0.02494  0.003415   0.04857        41      1024    0.8966     0.805    0.8472    0.5748   0.04719   0.08928   0.01712
     96/99     11.1G   0.02027   0.02635   0.00378   0.05039       102      1024    0.9085    0.7949    0.8443    0.5728   0.04747   0.09089   0.01708
     97/99     11.1G   0.02027   0.02621  0.004164   0.05064        28      1024    0.9013    0.7975    0.8427    0.5705    0.0473   0.09033   0.01705
     98/99     11.1G   0.01986   0.02648  0.003694   0.05004        19      1024    0.9147    0.7912    0.8424    0.5665   0.04711   0.08999   0.01716
     99/99     11.1G   0.01956   0.02577   0.00321   0.04854        65      1024    0.8958    0.8004    0.8315    0.5605   0.04718   0.09081   0.01713
