 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 3.47500000e-02  3.47500000e-02  1.44685288e+00  5.00000000e+00  4.36362261e+00  1.17125906e+00  5.24107897e-01 
 3.52500000e-02  3.52500000e-02  1.46436924e+00  5.00000000e+00  4.36277198e+00  1.18078368e+00  5.32767195e-01 
 3.57500000e-02  3.57500000e-02  1.48179240e+00  5.00000000e+00  4.36194844e+00  1.19027910e+00  5.41424501e-01 
 3.62500000e-02  3.62500000e-02  1.49912286e+00  5.00000000e+00  4.36115372e+00  1.19970898e+00  5.50045188e-01 
 3.67500000e-02  3.67500000e-02  1.51636111e+00  5.00000000e+00  4.36038293e+00  1.20911028e+00  5.58661339e-01 
 3.72500000e-02  3.72500000e-02  1.53350765e+00  5.00000000e+00  4.35963787e+00  1.21844666e+00  5.67238401e-01 
 3.77500000e-02  3.77500000e-02  1.55056296e+00  5.00000000e+00  4.35891409e+00  1.22775500e+00  5.75808796e-01 
 3.82500000e-02  3.82500000e-02  1.56752754e+00  5.00000000e+00  4.35821343e+00  1.23699896e+00  5.84338023e-01 
 3.87500000e-02  3.87500000e-02  1.58440187e+00  5.00000000e+00  4.35753178e+00  1.24621533e+00  5.92858790e-01 
 3.92500000e-02  3.92500000e-02  1.60118642e+00  5.00000000e+00  4.35687101e+00  1.25536782e+00  6.01336634e-01 
 3.97500000e-02  3.97500000e-02  1.61788169e+00  5.00000000e+00  4.35622734e+00  1.26449314e+00  6.09804504e-01 
 4.02500000e-02  4.02500000e-02  1.63448815e+00  5.00000000e+00  4.35560262e+00  1.27355501e+00  6.18227969e-01 
 4.07500000e-02  4.07500000e-02  1.65100627e+00  5.00000000e+00  4.35499333e+00  1.28259011e+00  6.26640179e-01 
 4.12500000e-02  4.12500000e-02  1.66743653e+00  5.00000000e+00  4.35440133e+00  1.29156218e+00  6.35006728e-01 
 4.17500000e-02  4.17500000e-02  1.68377939e+00  5.00000000e+00  4.35382332e+00  1.30050782e+00  6.43360939e-01 
