time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.168683088,2.20189185,0.0,0.0355733719,0.595827673,0.0125250102
0.169183088,2.18973621,0.0,0.0354804161,0.595540481,0.0124324533
0.169683088,2.17764988,0.0,0.0353880225,0.595253514,0.0123404351
0.170183088,2.16563246,0.0,0.0352961408,0.594966801,0.0122489523
0.170683088,2.15368356,0.0,0.0352048155,0.5946803,0.0121580022
0.171183088,2.14180278,0.0,0.0351139958,0.594394042,0.0120675815
0.171683088,2.12998974,0.0,0.0350237267,0.594107986,0.0119776874
0.172183088,2.11824404,0.0,0.0349339569,0.593822161,0.0118883168
0.172683088,2.10656531,0.0,0.0348447322,0.593536526,0.0117994668
0.173183088,2.09495315,0.0,0.0347560005,0.593251111,0.0117111344
0.173683088,2.0834072,0.0,0.0346678083,0.592965873,0.0116233169
0.174183088,2.07192707,0.0,0.034580103,0.592680845,0.0115360111
0.174683088,2.06051238,0.0,0.0344929317,0.592395982,0.0114492143
0.175183088,2.04916276,0.0,0.0344062411,0.592111317,0.0113629234
0.175683088,2.03787784,0.0,0.0343200791,0.591826806,0.011277136
0.176183088,2.02665725,0.0,0.034234392,0.591542482,0.0111918487
0.176683088,2.01550063,0.0,0.034149228,0.591258299,0.0111070591
0.177183088,2.00440759,0.0,0.0340645328,0.59097429,0.0110227641
0.177683088,1.99337779,0.0,0.0339803555,0.590690412,0.0109389612
0.178183088,1.98241086,0.0,0.0338966412,0.590406697,0.0108556474
0.178683088,1.97150644,0.0,0.0338134395,0.5901231,0.0107728201
0.179183088,1.96066417,0.0,0.0337306949,0.589839654,0.0106904764
0.179683088,1.9498837,0.0,0.0336484578,0.589556313,0.0106086137
0.180183088,1.93916468,0.0,0.0335666721,0.589273113,0.0105272292
0.180683088,1.92850674,0.0,0.0334853888,0.588990005,0.0104463203
0.181183088,1.91790956,0.0,0.0334045511,0.588707026,0.0103658842
0.181683088,1.90737277,0.0,0.0333242108,0.588424128,0.0102859185
0.182183088,1.89689603,0.0,0.0332443104,0.588141345,0.0102064202
0.182683088,1.88647899,0.0,0.0331649025,0.587858631,0.0101273869
0.183183088,1.87612133,0.0,0.0330859289,0.587576021,0.0100488159
0.183683088,1.86582269,0.0,0.033007443,0.587293468,0.0099707047
0.184183088,1.85558274,0.0,0.0329293858,0.587011006,0.00989305051
0.184683088,1.84540115,0.0,0.0328518113,0.586728587,0.00981585106
0.185183088,1.83527758,0.0,0.0327746602,0.586446248,0.00973910347
0.185683088,1.82521169,0.0,0.0326979871,0.58616394,0.00966280552
0.186183088,1.81520317,0.0,0.0326217318,0.585881699,0.00958695437
0.186683088,1.80525167,0.0,0.0325459499,0.585599476,0.00951154784
0.187183088,1.79535688,0.0,0.0324705804,0.585317307,0.0094365831
0.187683088,1.78551847,0.0,0.0323956796,0.585035143,0.009362058
0.188183088,1.77573612,0.0,0.032321186,0.584753022,0.00928796975
0.188683088,1.76600951,0.0,0.0322471565,0.584470892,0.00921431624
0.189183088,1.75633831,0.0,0.0321735289,0.584188792,0.00914109468
0.189683088,1.74672221,0.0,0.032100361,0.583906671,0.009068303
0.190183088,1.73716091,0.0,0.0320275897,0.583624566,0.00899593845
0.190683088,1.72765407,0.0,0.0319552736,0.583342426,0.00892399899
0.191183088,1.7182014,0.0,0.0318833489,0.583060289,0.00885248188
0.191683088,1.70880258,0.0,0.0318118752,0.582778105,0.00878138512
0.192183088,1.6994573,0.0,0.0317407877,0.58249591,0.008710706
0.192683088,1.69016526,0.0,0.0316701469,0.582213654,0.00864044255
0.193183088,1.68092616,0.0,0.0315998872,0.581931375,0.00857059207
0.193683088,1.67173968,0.0,0.0315300699,0.58164902,0.00850115263
0.194183088,1.66260554,0.0,0.0314606288,0.581366628,0.00843212157
0.194683088,1.65352342,0.0,0.0313916259,0.581084147,0.00836349697
0.195183088,1.64449304,0.0,0.0313229941,0.580801615,0.0082952762
0.195683088,1.63551409,0.0,0.0312547965,0.580518979,0.00822745737
0.196183088,1.62658629,0.0,0.031186965,0.58023628,0.00816003788
0.196683088,1.61770933,0.0,0.0311195637,0.579953462,0.00809301588
0.197183088,1.60888294,0.0,0.0310525236,0.579670566,0.00802638876
0.197683088,1.60010681,0.0,0.0309859096,0.579387537,0.00796015472
0.198183088,1.59138067,0.0,0.0309196521,0.579104416,0.00789431118
0.198683088,1.58270422,0.0,0.0308538167,0.578821147,0.00782885637
0.199183088,1.57407718,0.0,0.030788333,0.578537771,0.00776378772
0.199591544,1.56706613,0.0,0.0307351566,0.578305861,0.00771092007
0.2,1.56008771,0.0,0.0306821989,0.578074168,0.00765830521
0.20005,1.55936182,0.25,0.043832974,0.590866236,0.0208104603
0.20015,1.55816877,0.75,0.158525168,0.700453698,0.0917401515
0.200324115,1.55735741,1.62057552,0.973109891,1.14329922,0.483655909
0.200455879,1.55779581,2.27939319,1.63304375,1.16006001,0.501793301
0.200582386,1.55903564,2.91193133,2.26651217,1.17871443,0.521625295
0.200791193,1.56283364,3.95596567,3.31229484,1.20733913,0.552401618
0.201,1.56880924,5.0,4.3580044,1.2391574,0.586315923
0.201041761,1.5702212,5.0,4.35809965,1.23863043,0.585854631
0.201125284,1.57304385,5.0,4.35799712,1.24001082,0.587129023
0.20129233,1.57868159,5.0,4.35776813,1.24309445,0.589979
0.201626421,1.58992699,5.0,4.35731732,1.24922328,0.595647712
0.202126421,1.60668216,5.0,4.35665701,1.25837665,0.604126919
0.202626421,1.62334819,5.0,4.35602057,1.2674704,0.612570488
0.203126421,1.63992557,5.0,4.35540022,1.27653417,0.621000241
0.203626421,1.65641476,5.0,4.35479746,1.28553783,0.629387576
0.204126421,1.67281625,5.0,4.35420938,1.29451189,0.637760072
0.204626421,1.6891305,5.0,4.35363737,1.30342625,0.646089028
0.205126421,1.70535797,5.0,4.35307872,1.31231136,0.654402171
0.205626421,1.72149914,5.0,4.35253482,1.32113714,0.662670826
0.206126421,1.73755445,5.0,4.35200311,1.32993402,0.670922846
0.206626421,1.75352437,5.0,4.35148499,1.33867194,0.679129579
0.207126421,1.76940936,5.0,4.35097804,1.34738128,0.687318982
0.207626421,1.78520987,5.0,4.35048363,1.35603203,0.695462425
0.208126421,1.80092635,5.0,4.34999951,1.36465452,0.703587956
0.208626421,1.81655925,5.0,4.349527,1.37321877,0.711666964
0.209126421,1.83210901,5.0,4.34906397,1.38175509,0.719727573
0.209626421,1.84757609,5.0,4.34861175,1.39023353,0.727741193
0.210126421,1.86296092,5.0,4.34816828,1.39868435,0.735736011
0.210626421,1.87826393,5.0,4.34773488,1.40707764,0.743683457
0.211126421,1.89348558,5.0,4.3473096,1.41544362,0.75161177
