time,v(N001),v(N002),v(N004),@dled12_1[id]
0.011728,-2.58296553,5.0,0.702803114,0.00631940719
0.011828,-2.71616533,5.0,0.702803114,0.00631940719
0.011928,-2.84668459,5.0,0.702803114,0.00631940719
0.012028,-2.97439453,5.0,0.702803114,0.00631940719
0.012128,-3.09916909,5.0,0.702803114,0.00631940719
0.012228,-3.22088515,5.0,0.702803114,0.00631940719
0.012328,-3.33942258,5.0,0.702803114,0.00631940719
0.012428,-3.45466441,5.0,0.702803114,0.00631940719
0.012528,-3.5664969,5.0,0.702803114,0.00631940719
0.012628,-3.67480969,5.0,0.702803114,0.00631940719
0.012728,-3.77949588,5.0,0.702803114,0.00631940719
0.012828,-3.88045217,5.0,0.702803114,0.00631940719
0.012928,-3.97757892,5.0,0.702803114,0.00631940719
0.013028,-4.07078029,5.0,0.702803114,0.00631940719
0.013128,-4.15996428,5.0,0.702803114,0.00631940719
0.013228,-4.24504289,5.0,0.702803114,0.00631940719
0.013328,-4.32593215,5.0,0.702803114,0.00631940719
0.013428,-4.40255224,5.0,0.702803114,0.00631940719
0.013528,-4.47482755,5.0,0.702803114,0.00631940719
0.013628,-4.54268674,5.0,0.702803114,0.00631940719
0.013728,-4.60606285,5.0,0.702803114,0.00631940719
0.013828,-4.66489333,5.0,0.702803114,0.00631940719
0.013928,-4.71912012,5.0,0.702803114,0.00631940719
0.014028,-4.76868971,5.0,0.702803114,0.00631940719
0.014128,-4.81355318,5.0,0.702803114,0.00631940719
0.014228,-4.85366625,5.0,0.702803114,0.00631940719
0.014328,-4.88898934,5.0,0.702803114,0.00631940719
0.014428,-4.91948759,5.0,0.702803114,0.00631940719
0.014528,-4.9451309,5.0,0.702803114,0.00631940719
0.014628,-4.96589396,5.0,0.702803114,0.00631940719
0.014728,-4.98175628,5.0,0.702803114,0.00631940719
0.014828,-4.99270222,5.0,0.702803114,0.00631940719
0.014928,-4.99872095,5.0,0.702803114,0.00631940719
0.015028,-4.99980656,5.0,0.702803114,0.00631940719
0.015128,-4.99595795,5.0,0.702803114,0.00631940719
0.015228,-4.98717895,5.0,0.702803114,0.00631940719
0.015328,-4.97347819,5.0,0.702803114,0.00631940719
0.015428,-4.95486922,5.0,0.702803114,0.00631940719
0.015528,-4.93137038,5.0,0.702803114,0.00631940719
0.015628,-4.90300488,5.0,0.702803114,0.00631940719
0.015728,-4.86980071,5.0,0.702803114,0.00631940719
0.015828,-4.83179063,5.0,0.702803114,0.00631940719
0.015928,-4.78901215,5.0,0.702803114,0.00631940719
0.016028,-4.7415075,5.0,0.702803114,0.00631940719
0.016128,-4.68932356,5.0,0.702803114,0.00631940719
0.016228,-4.63251182,5.0,0.702803114,0.00631940719
0.016328,-4.57112834,5.0,0.702803114,0.00631940719
0.016428,-4.50523372,5.0,0.702803114,0.00631940719
0.016528,-4.43489297,5.0,0.702803114,0.00631940719
0.016628,-4.36017552,5.0,0.702803114,0.00631940719
0.016728,-4.28115511,5.0,0.702803114,0.00631940719
0.016828,-4.19790971,5.0,0.702803114,0.00631940719
0.016928,-4.11052148,5.0,0.702803114,0.00631940719
0.017028,-4.01907666,5.0,0.702803114,0.00631940719
0.017128,-3.9236655,5.0,0.702803114,0.00631940719
0.017228,-3.82438215,5.0,0.702803114,0.00631940719
0.017328,-3.7213246,5.0,0.702803114,0.00631940719
0.017428,-3.61459456,5.0,0.702803114,0.00631940719
