time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011)
0.000711167267,-24.99993,-25.0,24.99993,25.0,-0.0143052608,-0.0145246667,-0.221594282,-0.0185388142,0.00418201168,-0.22152531,-0.0194076205
0.000721167267,-24.99993,-25.0,24.99993,25.0,-0.0145503954,-0.01477193,-0.224304917,-0.0187925071,0.00418115578,-0.224253834,-0.0196727021
0.000731167267,-24.99993,-25.0,24.99993,25.0,-0.0147212469,-0.0149449746,-0.226198971,-0.0189720114,0.00418029036,-0.226165922,-0.0198601445
0.000741167267,-24.99993,-25.0,24.99993,25.0,-0.0148171412,-0.0150430918,-0.227268829,-0.0190766191,0.00417941882,-0.227254003,-0.019969208
0.000751167267,-24.99993,-25.0,24.99993,25.0,-0.0148376993,-0.0150659195,-0.227510402,-0.0191059169,0.00417854457,-0.227513798,-0.0199994621
0.000761167267,-24.99993,-25.0,24.99993,25.0,-0.0147828402,-0.0150133424,-0.2269226,-0.0190597897,0.00417767104,-0.226944264,-0.0199507875
0.000771167267,-24.99993,-25.0,24.99993,25.0,-0.0146527798,-0.0148855925,-0.225507872,-0.0189384191,0.00417680164,-0.225547659,-0.0198233763
0.000781167267,-24.99993,-25.0,24.99993,25.0,-0.0144480315,-0.0146831492,-0.223271668,-0.0187422845,0.00417593979,-0.223329481,-0.0196177312
0.000791167267,-24.99993,-25.0,24.99993,25.0,-0.0141694029,-0.0144068356,-0.220222941,-0.0184721595,0.00417508886,-0.220298491,-0.0193346639
0.000801167267,-24.99993,-25.0,24.99993,25.0,-0.0138179937,-0.0140577178,-0.21637359,-0.0181291107,0.00417425218,-0.216466641,-0.0189752916
0.000811167267,-24.99993,-25.0,24.99993,25.0,-0.01339519,-0.0136371973,-0.211738933,-0.0177144915,0.00417343303,-0.211849056,-0.0185410324
0.000821167267,-24.99993,-25.0,24.99993,25.0,-0.0129026609,-0.0131469099,-0.206337131,-0.0172299386,0.00417263461,-0.206463953,-0.0180336003
0.000831167267,-24.99993,-25.0,24.99993,25.0,-0.0123423492,-0.0125888136,-0.200189626,-0.0166773639,0.00417186006,-0.200332584,-0.0174549977
0.000841167267,-24.99993,-25.0,24.99993,25.0,-0.0117164667,-0.0119650876,-0.193320551,-0.0160589486,0.00417111241,-0.193479144,-0.0168075083
0.000851167267,-24.99993,-25.0,24.99993,25.0,-0.0110274827,-0.0112782163,-0.185757137,-0.015377133,0.00417039457,-0.185930677,-0.0160936873
0.000861167267,-24.99993,-25.0,24.99993,25.0,-0.0102781165,-0.0105308874,-0.177529108,-0.0146346082,0.00416970936,-0.177716971,-0.0153163519
0.000871167267,-24.99993,-25.0,24.99993,25.0,-0.00947132487,-0.00972607259,-0.168669055,-0.0138343043,0.00416905946,-0.168870439,-0.0144785698
0.000881167267,-24.99993,-25.0,24.99993,25.0,-0.00861029206,-0.00886692555,-0.159211821,-0.0129793801,0.0041684474,-0.159425993,-0.0135836475
0.000891167267,-24.99993,-25.0,24.99993,25.0,-0.00769841556,-0.00795685895,-0.149194846,-0.0120732092,0.00416787558,-0.149420899,-0.0126351167
0.000901167267,-24.99993,-25.0,24.99993,25.0,-0.00673929429,-0.00699944211,-0.138657544,-0.0111193683,0.00416734623,-0.138894646,-0.0116367208
0.000911167267,-24.99993,-25.0,24.99993,25.0,-0.00573671287,-0.0059984752,-0.127641611,-0.0101216213,0.00416686141,-0.127888768,-0.0105924001
0.000921167267,-24.99993,-25.0,24.99993,25.0,-0.00469462818,-0.00495788664,-0.116190408,-0.00908390635,0.00416642301,-0.116446702,-0.00950627611
0.000931167267,-24.99993,-25.0,24.99993,25.0,-0.00361715226,-0.00388180446,-0.104349236,-0.00801031839,0.00416603273,-0.104613598,-0.00838263515
0.000941167267,-24.99993,-25.0,24.99993,25.0,-0.00250853759,-0.00277445393,-0.0921647123,-0.0069050948,0.00416569209,-0.0924361577,-0.00722591175
0.000951167267,-24.99993,-25.0,24.99993,25.0,-0.00137315875,-0.00164022617,-0.0796850327,-0.00577259703,0.00416540242,-0.0799624312,-0.00604067099
0.000961167267,-24.99993,-25.0,24.99993,25.0,-0.000215496726,-0.00048357628,-0.0669593358,-0.00461729491,0.00416516482,-0.0672416516,-0.00483159045
0.000971167267,-24.99993,-25.0,24.99993,25.0,0.000959880307,0.000690910393,-0.0540379505,-0.00344374752,0.00416498021,-0.0543240109,-0.00360344184
0.000981167267,-24.99993,-25.0,24.99993,25.0,0.00214833352,0.00187861953,-0.0409717609,-0.00225658671,0.00416484929,-0.0412604952,-0.00236107209
0.000991167267,-24.99993,-25.0,24.99993,25.0,0.00334517321,0.00307484355,-0.0278124378,-0.00106049729,0.00416477256,-0.0281026487,-0.00110938426
0.00100116727,-24.99993,-25.0,24.99993,25.0,0.00454567586,0.004274882,-0.0146118062,0.000139799941,0.00416475029,-0.0149024059,0.0001466818
0.00101116727,-24.99993,-25.0,24.99993,25.0,0.00574510422,0.00547397899,-0.00142206545,0.00133956831,0.00416478255,-0.0017118502,0.00140216897
0.00102116727,-24.99993,-25.0,24.99993,25.0,0.00693872453,0.00666742238,0.0117048373,0.00253407251,0.00416486918,0.0114169546,0.00265212242
0.00103116727,-24.99993,-25.0,24.99993,25.0,0.00812182671,0.00785048264,0.0247169956,0.00371859873,0.00416500982,0.0244322072,0.00389160916
0.00104116727,-24.99993,-25.0,24.99993,25.0,0.00928974145,0.00901851061,0.0375631614,0.00488847181,0.00416520388,0.0372825354,0.0051157375
0.00105116727,-24.99993,-25.0,24.99993,25.0,0.0104378601,0.0101668774,0.050192538,0.00603907516,0.00416545058,0.0499172371,0.00631967635
0.00106116727,-24.99993,-25.0,24.99993,25.0,0.0115616514,0.0112910704,0.062555386,0.00716586748,0.00416574892,0.0622864419,0.00749867433
0.00107116727,-24.99993,-25.0,24.99993,25.0,0.0126566809,0.012386634,0.0746028181,0.00826440221,0.00416609769,0.0743413464,0.00864807847
0.00108116727,-24.99993,-25.0,24.99993,25.0,0.0137186268,0.0134492637,0.0862873898,0.00933034355,0.00416649549,0.0860343685,0.00976335259
0.00109116727,-24.99993,-25.0,24.99993,25.0,0.0147432986,0.0144747473,0.0975628924,0.0103594851,0.00416694073,0.0973193734,0.0108400952
0.00110116727,-24.99993,-25.0,24.99993,25.0,0.0157266525,0.0154590564,0.108384926,0.0113477649,0.00416743162,0.108151817,0.0118740569
0.00111116727,-24.99993,-25.0,24.99993,25.0,0.0166648079,0.0163982883,0.118710688,0.012291283,0.00416796621,0.118488962,0.0128611572
0.00112116727,-24.99993,-25.0,24.99993,25.0,0.0175540624,0.0172887546,0.128499524,0.0131863154,0.00416854236,0.128290004,0.0137975003
0.00113116727,-24.99993,-25.0,24.99993,25.0,0.0183909071,0.0181269232,0.137712712,0.0140293302,0.00416915777,0.137516276,0.014679391
0.00114116727,-24.99993,-25.0,24.99993,25.0,0.0191720391,0.0189095045,0.146313986,0.014817,0.00416980999,0.146131358,0.0155033489
0.00115116727,-24.99993,-25.0,24.99993,25.0,0.0198943763,0.0196333923,0.154269312,0.0155462167,0.00417049641,0.154101264,0.0162661221
0.00116116727,-24.99993,-25.0,24.99993,25.0,0.0205550678,0.0202957477,0.161547388,0.0162141018,0.00417121431,0.161394532,0.0169647004
0.00117116727,-24.99993,-25.0,24.99993,25.0,0.0211515066,0.0208939393,0.168119402,0.0168180201,0.00417196082,0.167982392,0.0175963267
0.00118116727,-24.99993,-25.0,24.99993,25.0,0.0216813389,0.021425624,0.173959511,0.0173555876,0.00417273297,0.173838838,0.0181585084
0.00119116727,-24.99993,-25.0,24.99993,25.0,0.0221424741,0.0218886864,0.179044579,0.0178246832,0.0041735277,0.178940768,0.0186490268
0.00120116727,-24.99993,-25.0,24.99993,25.0,0.0225330922,0.0222813163,0.18335463,0.0182234553,0.00417434184,0.183268041,0.0190659459
0.00121116727,-24.99993,-25.0,24.99993,25.0,0.0228516523,0.0226019475,0.186872567,0.0185503304,0.00417517215,0.186803592,0.0194076205
