time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
0.0536507093,4.66140656,5.55410659,9.0,6.77004531,8.51155527,0.708258629,0.00780331603
0.0536557093,4.67223926,5.55420246,9.0,6.89669884,8.5290035,0.708316208,0.00782070664
0.0536607093,4.68304529,5.55429831,9.0,6.78101472,8.51156654,0.708258666,0.00780332721
0.0536657093,4.69382397,5.55439413,9.0,6.90734139,8.52899205,0.70831617,0.00782069518
0.0536707093,4.7045761,5.55448994,9.0,6.79192972,8.51157779,0.708258703,0.00780333838
0.0536757093,4.71530102,5.55458572,9.0,6.91793056,8.52898062,0.708316132,0.00782068373
0.0536807093,4.72599953,5.55468149,9.0,6.8027906,8.51158903,0.70825874,0.00780334952
0.0536857093,4.73667096,5.55477723,9.0,6.9284666,8.5289692,0.708316095,0.00782067231
0.0536907093,4.74731611,5.55487295,9.0,6.81359762,8.51160024,0.708258777,0.00780336065
0.0536957093,4.75793431,5.55496865,9.0,6.93894978,8.52895781,0.708316057,0.0078206609
0.0537007093,4.76852637,5.55506433,9.0,6.82435104,8.51161144,0.708258814,0.00780337176
0.0537057093,4.77909161,5.55515998,9.0,6.94938037,8.52894643,0.708316019,0.00782064951
0.0537107093,4.78963084,5.55525562,9.0,6.83505115,8.51162262,0.708258851,0.00780338286
0.0537157093,4.80014339,5.55535123,9.0,6.95975863,8.52893507,0.708315982,0.00782063814
0.0537207093,4.81063006,5.55544682,9.0,6.84569819,8.51163378,0.708258887,0.00780339394
0.0537257093,4.82109017,5.55554239,9.0,6.97008482,8.52892372,0.708315944,0.00782062678
0.0537307093,4.83152454,5.55563794,9.0,6.85629245,8.51164493,0.708258924,0.007803405
0.0537357093,4.84193248,5.55573347,9.0,6.98035919,8.5289124,0.708315906,0.00782061544
0.0537407093,4.85231481,5.55582898,9.0,6.86683417,8.51165606,0.708258961,0.00780341604
0.0537457093,4.86267085,5.55592446,9.0,6.99058202,8.52890109,0.708315869,0.00782060412
0.0537507093,4.87300139,5.55601993,9.0,6.87732362,8.51166717,0.708258997,0.00780342707
0.0537557093,4.88330577,5.55611537,9.0,7.00075355,8.5288898,0.708315832,0.00782059282
0.0537607093,4.89358479,5.55621079,9.0,6.88776107,8.51167827,0.708259034,0.00780343808
0.0537657093,4.90383779,5.5563062,9.0,7.01087404,8.52887853,0.708315794,0.00782058154
0.0537707093,4.91406554,5.55640157,9.0,6.89814676,8.51168935,0.70825907,0.00780344907
0.0537757093,4.92426739,5.55649693,9.0,7.02094375,8.52886728,0.708315757,0.00782057028
0.0537807093,4.93444414,5.55659227,9.0,6.90848097,8.51170041,0.708259107,0.00780346004
0.0537857093,4.94459511,5.55668759,9.0,7.03096293,8.52885604,0.70831572,0.00782055903
0.0537907093,4.9547211,5.55678288,9.0,6.91876394,8.51171145,0.708259143,0.007803471
0.0537957093,4.96482144,5.55687815,9.0,7.04093184,8.52884482,0.708315683,0.0078205478
0.0538007093,4.97489693,5.55697341,9.0,6.92899593,8.51172248,0.708259179,0.00780348195
0.0538057093,4.9849469,5.55706864,9.0,7.05085071,8.52883362,0.708315646,0.00782053659
0.0538107093,4.99497213,5.55716385,9.0,6.93917719,8.51173349,0.708259215,0.00780349287
0.0538157093,5.00497198,5.55725903,9.0,7.06071982,8.52882244,0.708315609,0.00782052539
0.0538207093,5.01494721,5.5573542,9.0,6.94930798,8.51174448,0.708259252,0.00780350378
0.0538257093,5.02489718,5.55744935,9.0,7.07053939,8.52881127,0.708315572,0.00782051421
0.0538307093,5.03482267,5.55754447,9.0,6.95938855,8.51175545,0.708259288,0.00780351467
0.0538357093,5.04472301,5.55763957,9.0,7.08030969,8.52880012,0.708315535,0.00782050305
0.0538407093,5.054599,5.55773466,9.0,6.96941915,8.51176641,0.708259324,0.00780352554
0.0538457093,5.06444997,5.55782972,9.0,7.09003095,8.52878899,0.708315498,0.00782049191
0.0538507093,5.07427669,5.55792476,9.0,6.97940003,8.51177736,0.70825936,0.0078035364
0.0538557093,5.08407853,5.55801978,9.0,7.09970342,8.52877788,0.708315461,0.00782048079
0.0538607093,5.09385625,5.55811477,9.0,6.98933143,8.51178828,0.708259396,0.00780354724
0.0538657093,5.1036092,5.55820975,9.0,7.10932735,8.52876678,0.708315424,0.00782046968
0.0538707093,5.11333815,5.55830471,9.0,6.9992136,8.51179919,0.708259431,0.00780355807
0.0538757093,5.12304246,5.55839964,9.0,7.11890298,8.52875571,0.708315388,0.00782045859
0.0538807093,5.13272289,5.55849455,9.0,7.00904679,8.51181008,0.708259467,0.00780356888
0.0538857093,5.1423788,5.55858944,9.0,7.12843055,8.52874464,0.708315351,0.00782044752
0.0538907093,5.15201095,5.55868431,9.0,7.01883124,8.51182095,0.708259503,0.00780357967
0.0538957093,5.1616187,5.55877916,9.0,7.13791029,8.5287336,0.708315315,0.00782043647
0.0539007093,5.17120281,5.55887399,9.0,7.0285672,8.51183181,0.708259539,0.00780359044
0.0539057093,5.18076264,5.5589688,9.0,7.14734245,8.52872257,0.708315278,0.00782042543
0.0539107093,5.19029895,5.55906359,9.0,7.0382549,8.51184265,0.708259574,0.0078036012
0.0539157093,5.1998111,5.55915835,9.0,7.15672727,8.52871156,0.708315242,0.00782041441
0.0539207093,5.20929985,5.55925309,9.0,7.04789458,8.51185348,0.70825961,0.00780361194
0.0539257093,5.21876456,5.55934782,9.0,7.16606498,8.52870057,0.708315205,0.00782040341
0.0539307093,5.22820598,5.55944252,9.0,7.05748649,8.51186428,0.708259646,0.00780362267
0.0539357093,5.23762349,5.5595372,9.0,7.17535582,8.5286896,0.708315169,0.00782039242
0.0539407093,5.24701783,5.55963186,9.0,7.06703086,8.51187507,0.708259681,0.00780363338
0.0539457093,5.25638836,5.5597265,9.0,7.18460002,8.52867864,0.708315133,0.00782038145
0.0539507093,5.26573584,5.55982111,9.0,7.07652793,8.51188585,0.708259717,0.00780364407
0.0539557093,5.27505964,5.55991571,9.0,7.19379781,8.5286677,0.708315096,0.0078203705
0.0539607093,5.2843605,5.56001029,9.0,7.08597793,8.51189661,0.708259752,0.00780365474
0.0539657093,5.2936378,5.56010484,9.0,7.20294943,8.52865678,0.70831506,0.00782035957
0.0539707093,5.30289227,5.56019937,9.0,7.0953811,8.51190735,0.708259787,0.0078036654
0.0539757093,5.3121233,5.56029388,9.0,7.2120551,8.52864587,0.708315024,0.00782034865
0.0539807093,5.32133162,5.56038838,9.0,7.10473767,8.51191807,0.708259823,0.00780367605
0.0539857093,5.3305166,5.56048284,9.0,7.22111507,8.52863498,0.708314988,0.00782033776
0.0539907093,5.33967899,5.56057729,9.0,7.11404787,8.51192878,0.708259858,0.00780368667
0.0539957093,5.34881817,5.56067172,9.0,7.23012954,8.52862411,0.708314952,0.00782032687
0.0540007093,5.35793486,5.56076613,9.0,7.12331194,8.51193947,0.708259893,0.00780369728
0.0540057093,5.36702845,5.56086051,9.0,7.23909876,8.52861325,0.708314916,0.00782031601
0.0540107093,5.37609968,5.56095488,9.0,7.1325301,8.51195015,0.708259928,0.00780370788
0.0540157093,5.38514791,5.56104922,9.0,7.24802294,8.52860242,0.70831488,0.00782030516
0.0540207093,5.39417389,5.56114354,9.0,7.14170258,8.5119608,0.708259963,0.00780371846
0.0540257093,5.403177,5.56123785,9.0,7.25690232,8.5285916,0.708314844,0.00782029433
0.0540307093,5.41215797,5.56133213,9.0,7.15082961,8.51197145,0.708259998,0.00780372902
0.0540357093,5.42111617,5.56142639,9.0,7.26573711,8.52858079,0.708314809,0.00782028352
0.0540407093,5.43005234,5.56152062,9.0,7.15991142,8.51198207,0.708260033,0.00780373956
0.0540457093,5.43896587,5.56161484,9.0,7.27452754,8.52857,0.708314773,0.00782027272
0.0540507093,5.44785747,5.56170904,9.0,7.16894823,8.51199268,0.708260068,0.00780375009
0.0540557093,5.45672654,5.56180321,9.0,7.28327384,8.52855923,0.708314737,0.00782026194
0.0540607093,5.4655738,5.56189737,9.0,7.17794026,8.51200328,0.708260103,0.00780376061
0.0540657093,5.47439863,5.5619915,9.0,7.29197621,8.52854848,0.708314702,0.00782025118
0.0540707093,5.48320176,5.56208562,9.0,7.18688775,8.51201385,0.708260138,0.0078037711
0.0540757093,5.49198258,5.56217971,9.0,7.30063489,8.52853774,0.708314666,0.00782024043
0.0540807093,5.50074181,5.56227378,9.0,7.1957909,8.51202441,0.708260172,0.00780378159
0.0540857093,5.50947883,5.56236783,9.0,7.30925009,8.52852702,0.708314631,0.0078202297
0.0540907093,5.51819437,5.56246186,9.0,7.20464994,8.51203496,0.708260207,0.00780379205
0.0540957093,5.52688782,5.56255586,9.0,7.31782202,8.52851632,0.708314595,0.00782021899
0.0541007093,5.53555989,5.56264985,9.0,7.21346509,8.51204549,0.708260242,0.0078038025
0.0541057093,5.54420998,5.56274382,9.0,7.32635091,8.52850563,0.70831456,0.00782020829
0.0541107093,5.5528388,5.56283777,9.0,7.22223657,8.512056,0.708260276,0.00780381293
0.0541157093,5.56144575,5.5629317,9.0,7.33483696,8.52849496,0.708314525,0.00782019762
0.0541207093,5.57003154,5.5630256,9.0,7.2309646,8.51206649,0.708260311,0.00780382335
0.0541226348,5.57333198,5.56306176,9.0,7.34054403,8.52843851,0.708314282,0.00782012423
0.0541236789,5.57512063,5.56308137,9.0,7.23399257,8.51206799,0.708260259,0.00780380773
0.054124272,5.57613597,5.56309251,9.0,7.34108677,8.52836932,0.708314054,0.00782005527
0.0541246516,5.5767858,5.56309963,9.0,7.23621427,8.51218087,0.708260632,0.00780392023
0.0541249588,5.57731144,5.5631054,9.0,7.33980907,8.52821769,0.708313554,0.00781990414
0.0541253512,5.5779831,5.56311277,9.0,7.2386223,8.51232953,0.708261123,0.00780406841
0.0541257192,5.57861245,5.56311968,9.0,7.33884555,8.52811912,0.708313281,0.00781982172
0.0541262568,5.5795322,5.56312977,9.0,7.24077879,8.51247811,0.708261665,0.00780423201
0.0541269247,5.58067407,5.56314231,9.0,7.33887575,8.52803481,0.708313002,0.00781973719
0.0541278341,5.58222868,5.56315938,9.0,7.24289514,8.51254168,0.708261874,0.00780429507
0.0541280794,5.58176141,5.56316399,9.0,0.11097879,0.0150464496,0.0150464496,2.29377946e-14
0.0541281777,5.5812229,5.56316583,9.0,0.0946430553,-0.0145162995,-0.0145162995,-1.88112596e-14
0.0541281951,5.5811276,5.56316616,9.0,0.108820181,0.0126305944,0.0126305943,1.89265066e-14
0.0541282022,5.58108831,5.56316629,9.0,0.0994211311,-0.0090328903,-0.00903289029,-1.19806045e-14
0.0541282041,5.58107823,5.56316633,9.0,0.101612099,0.00327070684,0.00327070683,4.61867258e-15
0.0541282044,5.58107668,5.56316633,9.0,0.10254083,7.39085375e-05,7.39085374e-05,1.02524223e-16
0.0541282045,5.58107565,5.56316634,9.0,0.102568408,5.37085519e-06,5.37085518e-06,7.44757279e-18
0.0541282048,5.58107439,5.56316634,9.0,0.102575253,-7.40082441e-06,-7.4008244e-06,-1.02617521e-17
0.054128205,5.58107303,5.56316635,9.0,0.102580436,-9.5670195e-06,-9.56701949e-06,-1.32651757e-17
0.0541282055,5.58107031,5.56316636,9.0,0.102582372,-3.88856715e-06,-3.88856715e-06,-5.39186787e-18
0.0541282065,5.58106488,5.56316637,9.0,0.102587605,-2.66790123e-06,-2.66790123e-06,-3.69932291e-18
0.0541282085,5.58105402,5.56316641,9.0,0.102587328,1.20335571e-06,1.20335571e-06,1.66861283e-18
0.0541282125,5.58103229,5.56316649,9.0,0.102588891,-1.17520196e-06,-1.17520196e-06,-1.62955302e-18
0.0541282204,5.58098883,5.56316664,9.0,0.102586826,1.17026161e-06,1.1702616e-06,1.62272317e-18
0.0541282363,5.58090193,5.56316693,9.0,0.102587978,-1.16842533e-06,-1.16842533e-06,-1.62015651e-18
0.0541282514,5.58081872,5.56316722,9.0,0.102585617,1.16752043e-06,1.16752043e-06,1.61892214e-18
0.0541282651,5.58074414,5.56316747,9.0,0.102586865,-1.16641637e-06,-1.16641637e-06,-1.61737087e-18
0.0541282796,5.5806646,5.56316775,9.0,0.102584523,1.16620892e-06,1.16620892e-06,1.61710354e-18
0.0541282937,5.58058723,5.56316801,9.0,0.102585757,-1.1657213e-06,-1.1657213e-06,-1.61640708e-18
0.0541283084,5.58050678,5.56316829,9.0,0.102583404,1.16593485e-06,1.16593485e-06,1.61672351e-18
0.0541283226,5.58042901,5.56316855,9.0,0.102584638,-1.16576774e-06,-1.16576774e-06,-1.61647147e-18
0.0541283371,5.58034932,5.56316883,9.0,0.102582287,1.16621086e-06,1.16621086e-06,1.61710624e-18
0.0541283514,5.58027134,5.56316909,9.0,0.102583523,-1.1662153e-06,-1.1662153e-06,-1.61709206e-18
0.0541283659,5.58019187,5.56316937,9.0,0.102581172,1.16677932e-06,1.16677932e-06,1.61789449e-18
0.0541283802,5.58011363,5.56316963,9.0,0.102582407,-1.16686796e-06,-1.16686796e-06,-1.61799705e-18
0.0541283946,5.58003436,5.56316991,9.0,0.102580056,1.16748867e-06,1.16748867e-06,1.6188781e-18
0.0541284089,5.57995597,5.56317017,9.0,0.102581291,-1.16761183e-06,-1.16761182e-06,-1.61902849e-18
0.0541284234,5.57987684,5.56317045,9.0,0.10257894,1.16825198e-06,1.16825198e-06,1.61993653e-18
0.0541284377,5.57979833,5.56317071,9.0,0.102580176,-1.16838141e-06,-1.16838141e-06,-1.6200956e-18
0.0541284522,5.5797193,5.56317099,9.0,0.102577825,1.16901983e-06,1.16901983e-06,1.62100127e-18
0.0541284665,5.57964072,5.56317125,9.0,0.10257906,-1.16914e-06,-1.16914e-06,-1.62114747e-18
0.0541284809,5.57956176,5.56317153,9.0,0.102576709,1.16976512e-06,1.16976512e-06,1.62203472e-18
0.0541284953,5.57948312,5.56317179,9.0,0.102577945,-1.16986787e-06,-1.16986787e-06,-1.62215674e-18
0.0541285097,5.57940421,5.56317206,9.0,0.102575593,1.17047376e-06,1.17047375e-06,1.62301734e-18
0.0541285263,5.57931324,5.56317238,9.0,0.102576742,-1.17051009e-06,-1.17051009e-06,-1.62304725e-18
0.0541285451,5.57921025,5.56317273,9.0,0.10257422,1.17101979e-06,1.17101978e-06,1.62377449e-18
0.0541285673,5.5790885,5.56317315,9.0,0.102575152,-1.1709708e-06,-1.1709708e-06,-1.62368608e-18
0.0541285931,5.57894749,5.56317363,9.0,0.10257236,1.17140412e-06,1.17140412e-06,1.62430743e-18
0.0541286246,5.57877463,5.56317422,9.0,0.10257293,-1.17128776e-06,-1.17128776e-06,-1.62412557e-18
0.0541286636,5.57856124,5.56317495,9.0,0.102569625,1.17165752e-06,1.17165752e-06,1.6246588e-18
0.0541287153,5.57827837,5.56317592,9.0,0.102569416,-1.171484e-06,-1.171484e-06,-1.62439768e-18
0.0541287867,5.5778874,5.56317726,9.0,0.102564855,1.17180139e-06,1.17180139e-06,1.6248583e-18
0.054128898,5.57727773,5.56317935,9.0,0.102562332,-1.17158236e-06,-1.17158236e-06,-1.62453406e-18
0.0541290984,5.57618105,5.56318311,9.0,0.102552774,1.17186088e-06,1.17186087e-06,1.62494078e-18
0.054129499,5.57398834,5.56319063,9.0,0.102539045,-1.17161413e-06,-1.17161413e-06,-1.62457812e-18
0.0541303004,5.56960553,5.56320567,9.0,0.102506222,1.17187674e-06,1.17187674e-06,1.62496278e-18
0.0541306038,5.56794732,5.56321137,9.0,0.102496277,-1.17163338e-06,-1.17163338e-06,-1.6246048e-18
0.0541310738,5.56537883,5.56322019,9.0,0.102476299,1.17189963e-06,1.17189963e-06,1.62499452e-18
0.0541312154,5.56460519,5.56322285,9.0,0.102472616,-1.17167209e-06,-1.17167209e-06,-1.62465849e-18
0.0541312545,5.56439193,5.56322358,9.0,0.102469312,1.17203626e-06,1.17203626e-06,1.62518397e-18
0.0541312976,5.56415672,5.56322439,9.0,0.102469441,-1.1718746e-06,-1.1718746e-06,-1.62493928e-18
0.0541313118,5.56407886,5.56322465,9.0,0.102467096,1.17241325e-06,1.17241325e-06,1.62570673e-18
0.054131335,5.56395226,5.56322509,9.0,0.102467994,-1.17232353e-06,-1.17232353e-06,-1.62556178e-18
0.0541313584,5.56382427,5.56322553,9.0,0.102465293,1.17274256e-06,1.17274256e-06,1.62616337e-18
0.0541313923,5.56363913,5.56322616,9.0,0.102465777,-1.17259475e-06,-1.17259475e-06,-1.62593785e-18
0.0541314601,5.56326887,5.56322744,9.0,0.102461361,1.17290611e-06,1.17290611e-06,1.62639015e-18
0.0541315957,5.56252842,5.56322998,9.0,0.102457914,-1.17267564e-06,-1.17267564e-06,-1.62605002e-18
0.0541318669,5.56104783,5.56323507,9.0,0.102445637,1.17294635e-06,1.17294635e-06,1.62644594e-18
0.0541324093,5.55808782,5.56324525,9.0,0.102426477,-1.17269571e-06,-1.1726957e-06,-1.62607784e-18
0.0541334942,5.5521726,5.56326561,9.0,0.102382805,1.17295637e-06,1.17295637e-06,1.62645984e-18
0.0541356638,5.54036126,5.56330632,9.0,0.102300983,-1.17270074e-06,-1.17270074e-06,-1.62608481e-18
0.0541371176,5.53246092,5.5633336,9.0,0.102243258,1.17296049e-06,1.17296049e-06,1.62646556e-18
0.0541393353,5.52043186,5.56337521,9.0,0.102159896,-1.17270483e-06,-1.17270483e-06,-1.62609049e-18
0.0541422407,5.50471213,5.56342973,9.0,0.102046818,1.1729634e-06,1.1729634e-06,1.62646959e-18
0.0541456673,5.48623086,5.56349401,9.0,0.101917781,-1.17270713e-06,-1.17270713e-06,-1.62609368e-18
0.0541506673,5.45937604,5.56358778,9.0,0.101725881,1.17296518e-06,1.17296518e-06,1.62647205e-18
0.0541556673,5.43265421,5.56368154,9.0,0.101538517,-1.17270858e-06,-1.17270857e-06,-1.62609568e-18
0.0541606673,5.40606471,5.56377528,9.0,0.101348505,1.17296662e-06,1.17296662e-06,1.62647406e-18
0.0541656673,5.37960689,5.56386899,9.0,0.101163018,-1.17271002e-06,-1.17271002e-06,-1.62609769e-18
0.0541706673,5.35328009,5.56396269,9.0,0.100974874,1.17296807e-06,1.17296807e-06,1.62647606e-18
0.0541756673,5.32708368,5.56405636,9.0,0.100791247,-1.17271147e-06,-1.17271147e-06,-1.62609969e-18
0.0541806673,5.30101699,5.56415001,9.0,0.100604952,1.17296951e-06,1.17296951e-06,1.62647807e-18
0.0541856673,5.2750794,5.56424365,9.0,0.100423165,-1.17271291e-06,-1.17271291e-06,-1.62610169e-18
0.0541906673,5.24927025,5.56433726,9.0,0.100238701,1.17297096e-06,1.17297096e-06,1.62648007e-18
0.0541956673,5.22358892,5.56443085,9.0,0.100058735,-1.17271436e-06,-1.17271435e-06,-1.6261037e-18
0.0542006673,5.19803477,5.56452442,9.0,0.0998760841,1.1729724e-06,1.1729724e-06,1.62648207e-18
0.0542056673,5.17260718,5.56461797,9.0,0.0996979228,-1.1727158e-06,-1.1727158e-06,-1.6261057e-18
0.0542106673,5.14730551,5.56471149,9.0,0.0995170661,1.17297385e-06,1.17297385e-06,1.62648407e-18
0.0542156673,5.12212914,5.564805,9.0,0.0993406906,-1.17271724e-06,-1.17271724e-06,-1.6261077e-18
0.0542206673,5.09707746,5.56489849,9.0,0.0991616107,1.17297529e-06,1.17297529e-06,1.62648608e-18
0.0542256673,5.07214985,5.56499195,9.0,0.0989870033,-1.17271869e-06,-1.17271869e-06,-1.6261097e-18
0.0542306673,5.04734568,5.5650854,9.0,0.0988096825,1.17297673e-06,1.17297673e-06,1.62648808e-18
0.0542356673,5.02266436,5.56517882,9.0,0.0986368255,-1.17272013e-06,-1.17272013e-06,-1.6261117e-18
0.0542406673,4.99810526,5.56527222,9.0,0.0984612462,1.17297818e-06,1.17297817e-06,1.62649008e-18
0.0542456673,4.9736678,5.56536561,9.0,0.0982901223,-1.17272157e-06,-1.17272157e-06,-1.6261137e-18
