 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.64370059e-02  1.64370059e-02  5.00000000e+00  4.29695151e+00  4.27396294e+00  7.06636821e-01  2.57444744e+00  7.98230633e-01  8.45003921e-02  6.37964479e-03  1.55165280e-02 
 1.64478812e-02  1.64478812e-02  5.00000000e+00  4.29693633e+00  4.27396532e+00  7.07468994e-01  2.57342150e+00  7.96748686e-01  8.48878503e-02  6.38338935e-03  1.55151018e-02 
 1.64481183e-02  1.64481183e-02  5.00000000e+00  4.29612587e+00  4.27409750e+00  7.28964734e-01  2.51775089e+00  7.41091578e-01  1.06374139e-01  6.58657439e-03  1.54360125e-02 
 1.64481225e-02  1.64481225e-02  5.00000000e+00  4.29543292e+00  4.27410211e+00  7.29711913e-01  2.51543156e+00  7.38772510e-01  1.07121153e-01  6.76542107e-03  1.54332628e-02 
 1.64481308e-02  1.64481308e-02  5.00000000e+00  4.29600949e+00  4.27411258e+00  7.31408638e-01  2.50961416e+00  7.32955655e-01  1.08817551e-01  6.61627899e-03  1.54270186e-02 
 1.64481474e-02  1.64481474e-02  5.00000000e+00  4.29569895e+00  4.27414777e+00  7.37108848e-01  2.48772682e+00  7.11069806e-01  1.14517116e-01  6.69619316e-03  1.54060395e-02 
 1.64481629e-02  1.64481629e-02  5.00000000e+00  4.27467831e+00  4.27473042e+00  8.30345906e-01  1.99500462e-01 -1.57715302e+00  2.07754475e-01  1.50932513e-02  1.50628739e-02 
 1.64481737e-02  1.64481737e-02  5.00000000e+00  4.27417754e+00  4.27612833e+00  1.04571240e+00  1.19331554e-01 -1.65732118e+00  4.23124305e-01  1.53883188e-02  1.42703853e-02 
 1.64481836e-02  1.64481836e-02  5.00000000e+00  4.27425581e+00  4.27476404e+00  8.35655855e-01  1.31963625e-01 -1.64468852e+00  2.13070855e-01  1.53418230e-02  1.50433081e-02 
 1.64481947e-02  1.64481947e-02  5.00000000e+00  4.27404127e+00  4.27610739e+00  1.04256666e+00  9.72473971e-02 -1.67940399e+00  4.19985114e-01  1.54696089e-02  1.42819471e-02 
