 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 4.52960426e-02  4.52960426e-02  1.80489483e+00  5.00000000e+00  7.25799395e+01  1.80502548e+00  2.49999942e+00 -6.75899395e-11 
 4.57960426e-02  4.57960426e-02  1.82083051e+00  5.00000000e+00  7.24773424e+01  1.82066480e+00  2.50000064e+00 -6.74873424e-11 
 4.62960426e-02  4.62960426e-02  1.83668670e+00  5.00000000e+00  7.23755008e+01  1.83681680e+00  2.49999943e+00 -6.73855008e-11 
 4.67960426e-02  4.67960426e-02  1.85246381e+00  5.00000000e+00  7.22732322e+01  1.85229878e+00  2.50000064e+00 -6.72832322e-11 
 4.72960426e-02  4.72960426e-02  1.86816223e+00  5.00000000e+00  7.21717116e+01  1.86829177e+00  2.49999943e+00 -6.71817116e-11 
 4.77960426e-02  4.77960426e-02  1.88378236e+00  5.00000000e+00  7.20697650e+01  1.88361801e+00  2.50000064e+00 -6.70797650e-11 
 4.82960426e-02  4.82960426e-02  1.89932458e+00  5.00000000e+00  7.19685689e+01  1.89945356e+00  2.49999943e+00 -6.69785689e-11 
 4.87960426e-02  4.87960426e-02  1.91478928e+00  5.00000000e+00  7.18669440e+01  1.91462560e+00  2.50000064e+00 -6.68769440e-11 
 4.92960426e-02  4.92960426e-02  1.93017685e+00  5.00000000e+00  7.17660661e+01  1.93030528e+00  2.49999943e+00 -6.67760661e-11 
 4.97960426e-02  4.97960426e-02  1.94548768e+00  5.00000000e+00  7.16647670e+01  1.94532468e+00  2.50000063e+00 -6.66747670e-11 
 5.02960426e-02  5.02960426e-02  1.96072214e+00  5.00000000e+00  7.15642071e+01  1.96085000e+00  2.49999943e+00 -6.65742071e-11 
 5.06480213e-02  5.06480213e-02  1.97140095e+00  5.00000000e+00  7.14930242e+01  1.97123874e+00  2.50000063e+00 -6.65030242e-11 
 5.10000000e-02  5.10000000e-02  1.98204224e+00  5.00000000e+00  7.14225073e+01  1.98216925e+00  2.49999944e+00 -6.64325073e-11 
 5.10246876e-02  5.10246876e-02  1.98275662e+00  4.87656202e+00  7.14167109e+01  1.98208240e+00  2.43828375e+00 -6.65501489e-11 
 5.10740628e-02  5.10740628e-02  1.98412411e+00  4.62968605e+00  7.14066234e+01  1.98341948e+00  2.31484589e+00 -6.67869374e-11 
 5.11728132e-02  5.11728132e-02  1.98649155e+00  4.13593411e+00  7.13861137e+01  1.98579385e+00  2.06796989e+00 -6.72601796e-11 
 5.13703140e-02  5.13703140e-02  1.98975722e+00  3.14843024e+00  6.19985394e+01  1.98281490e+00  1.57424367e+00 -5.88601092e-11 
 5.15627627e-02  5.15627627e-02  1.99103024e+00  2.18618652e+00  1.56828883e+00  1.78810881e+00  1.15849661e+00  2.37159398e-04 
 5.16987220e-02  5.16987220e-02  1.99075694e+00  1.50639003e+00  8.96903417e-01  1.42651859e+00  8.03427353e-01  1.71321178e-04 
 5.18221676e-02  5.18221676e-02  1.98963935e+00  8.89162223e-01  4.72569494e-01  1.01832781e+00  4.48608288e-01  9.88454083e-08 
 5.19110838e-02  5.19110838e-02  1.98832277e+00  4.44581111e-01  2.49569217e-01  8.02929324e-01  2.27171593e-01  1.89963436e-11 
 5.20000000e-02  5.20000000e-02  1.98658413e+00  0.00000000e+00  2.93587683e-02  5.85137402e-01  5.77066299e-03 -3.61448064e-14 
 5.20177832e-02  5.20177832e-02  1.98619429e+00  0.00000000e+00  2.88012750e-02  5.85479919e-01  5.76764740e-03 -3.55172874e-14 
 5.20533497e-02  5.20533497e-02  1.98541477e+00  0.00000000e+00  2.88003787e-02  5.85467781e-01  5.76448757e-03 -3.55162773e-14 
 5.21244827e-02  5.21244827e-02  1.98385667e+00  0.00000000e+00  2.88048106e-02  5.85425475e-01  5.75824608e-03 -3.55212718e-14 
 5.22053212e-02  5.22053212e-02  1.98208753e+00  0.00000000e+00  2.87869669e-02  5.85393353e-01  5.75109363e-03 -3.55011621e-14 
 5.23669981e-02  5.23669981e-02  1.97855414e+00  0.00000000e+00  2.87832099e-02  5.85306889e-01  5.73690041e-03 -3.54969278e-14 
 5.26903519e-02  5.26903519e-02  1.97150692e+00  0.00000000e+00  2.87440360e-02  5.85156191e-01  5.70850299e-03 -3.54527729e-14 
 5.31903519e-02  5.31903519e-02  1.96066102e+00  0.00000000e+00  2.87105440e-02  5.84904417e-01  5.66488011e-03 -3.54150164e-14 
 5.36903519e-02  5.36903519e-02  1.94987697e+00  0.00000000e+00  2.86561733e-02  5.84666854e-01  5.62145339e-03 -3.53537108e-14 
 5.41903519e-02  5.41903519e-02  1.93915441e+00  0.00000000e+00  2.86232949e-02  5.84414369e-01  5.57834131e-03 -3.53166317e-14 
 5.46903519e-02  5.46903519e-02  1.92849299e+00  0.00000000e+00  2.85692966e-02  5.84176679e-01  5.53542008e-03 -3.52557229e-14 
 5.51903519e-02  5.51903519e-02  1.91789236e+00  0.00000000e+00  2.85370552e-02  5.83923878e-01  5.49281139e-03 -3.52193485e-14 
 5.56903519e-02  5.56903519e-02  1.90735218e+00  0.00000000e+00  2.84834214e-02  5.83686045e-01  5.45038994e-03 -3.51588280e-14 
 5.61903519e-02  5.61903519e-02  1.89687209e+00  0.00000000e+00  2.84518137e-02  5.83432907e-01  5.40827899e-03 -3.51231549e-14 
 5.66903519e-02  5.66903519e-02  1.88645176e+00  0.00000000e+00  2.83985365e-02  5.83194914e-01  5.36635172e-03 -3.50630143e-14 
