 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 3.63178422e-03  3.63178422e-03  1.30704961e+01  1.36999220e+01  1.30282602e+01  1.92835076e+01  1.25639924e+01  1.34091714e+01  1.30988570e+00  7.15731619e-01  1.20005634e+01  1.20000000e+01  0.00000000e+00  1.74527318e+00  1.18549340e-02  5.06503794e-03  2.67015382e-01  9.47031583e-05 
 3.73178422e-03  3.73178422e-03  1.31078426e+01  1.37373624e+01  1.30628286e+01  1.95516645e+01  1.25994402e+01  1.34473241e+01  1.31308160e+00  7.17329570e-01  1.20005988e+01  1.20000000e+01  0.00000000e+00  1.74971681e+00  1.25557068e-02  5.08403334e-03  2.77673275e-01  1.00738494e-04 
 3.83178422e-03  3.83178422e-03  1.31403680e+01  1.37700964e+01  1.30930555e+01  1.98005262e+01  1.26307163e+01  1.34811369e+01  1.31586226e+00  7.18719901e-01  1.20006301e+01  1.20000000e+01  0.00000000e+00  1.75359988e+00  1.31940730e-02  5.09656350e-03  2.87431011e-01  1.06301728e-04 
 3.93178422e-03  3.93178422e-03  1.31694482e+01  1.37991936e+01  1.31199481e+01  2.00298473e+01  1.26588063e+01  1.35114209e+01  1.31834067e+00  7.19959106e-01  1.20006581e+01  1.20000000e+01  0.00000000e+00  1.75706912e+00  1.37877497e-02  5.10641939e-03  2.96427209e-01  1.11518689e-04 
 4.03178422e-03  4.03178422e-03  1.31952576e+01  1.38251513e+01  1.31439371e+01  2.02394013e+01  1.26838455e+01  1.35385240e+01  1.32053381e+00  7.21055671e-01  1.20006832e+01  1.20000000e+01  0.00000000e+00  1.76014610e+00  1.43341342e-02  5.11414459e-03  3.04711566e-01  1.16348275e-04 
 4.13178422e-03  4.13178422e-03  1.32180557e+01  1.38479406e+01  1.31650160e+01  2.04289815e+01  1.27060387e+01  1.35624779e+01  1.32246475e+00  7.22021145e-01  1.20007053e+01  1.20000000e+01  0.00000000e+00  1.76286093e+00  1.48310839e-02  5.12016929e-03  3.12202534e-01  1.20773343e-04 
 4.23178422e-03  4.23178422e-03  1.32379811e+01  1.38679742e+01  1.31835448e+01  2.05984007e+01  1.27254915e+01  1.35835559e+01  1.32414706e+00  7.22862301e-01  1.20007248e+01  1.20000000e+01  0.00000000e+00  1.76523073e+00  1.52772906e-02  5.12490868e-03  3.18936360e-01  1.24765592e-04 
 4.33178422e-03  4.33178422e-03  1.32552112e+01  1.38851830e+01  1.31994733e+01  2.07474918e+01  1.27423509e+01  1.36017673e+01  1.32559730e+00  7.23587417e-01  1.20007416e+01  1.20000000e+01  0.00000000e+00  1.76727710e+00  1.56714417e-02  5.12860365e-03  3.24858675e-01  1.28312857e-04 
 4.43178422e-03  4.43178422e-03  1.32698321e+01  1.38998846e+01  1.32130793e+01  2.08761076e+01  1.27566849e+01  1.36173133e+01  1.32682450e+00  7.24201019e-01  1.20007559e+01  1.20000000e+01  0.00000000e+00  1.76901136e+00  1.60124742e-02  5.13147905e-03  3.29990271e-01  1.31393257e-04 
 4.53178422e-03  4.53178422e-03  1.32819648e+01  1.39119899e+01  1.32242903e+01  2.09841212e+01  1.27685968e+01  1.36301856e+01  1.32784025e+00  7.24708895e-01  1.20007678e+01  1.20000000e+01  0.00000000e+00  1.77044865e+00  1.62996530e-02  5.13368083e-03  3.34296737e-01  1.33998755e-04 
 4.63178422e-03  4.63178422e-03  1.32916584e+01  1.39217445e+01  1.32333214e+01  2.10714261e+01  1.27781259e+01  1.36405309e+01  1.32865011e+00  7.25113824e-01  1.20007773e+01  1.20000000e+01  0.00000000e+00  1.77159583e+00  1.65321281e-02  5.13532871e-03  3.37788731e-01  1.36113082e-04 
 4.73178422e-03  4.73178422e-03  1.32989925e+01  1.39290486e+01  1.32400880e+01  2.11379359e+01  1.27853416e+01  1.36483265e+01  1.32926174e+00  7.25419636e-01  1.20007846e+01  1.20000000e+01  0.00000000e+00  1.77246295e+00  1.67095815e-02  5.13651036e-03  3.40446588e-01  1.37731960e-04 
 4.83178422e-03  4.83178422e-03  1.33039881e+01  1.39340900e+01  1.32447549e+01  2.11835852e+01  1.27902601e+01  1.36536765e+01  1.32967783e+00  7.25627684e-01  1.20007895e+01  1.20000000e+01  0.00000000e+00  1.77305323e+00  1.68313675e-02  5.13728182e-03  3.42274536e-01  1.38844294e-04 
 4.93178422e-03  4.93178422e-03  1.33066918e+01  1.39367624e+01  1.32472302e+01  2.12083289e+01  1.27929230e+01  1.36565455e+01  1.32990280e+00  7.25740170e-01  1.20007921e+01  1.20000000e+01  0.00000000e+00  1.77337252e+00  1.68974945e-02  5.13768999e-03  3.43264063e-01  1.39449437e-04 
 5.03178422e-03  5.03178422e-03  1.33071013e+01  1.39372051e+01  1.32476358e+01  2.12121425e+01  1.27933267e+01  1.36570019e+01  1.32993684e+00  7.25757188e-01  1.20007925e+01  1.20000000e+01  0.00000000e+00  1.77342086e+00  1.69075242e-02  5.13774665e-03  3.43415602e-01  1.39541222e-04 
 5.13178422e-03  5.13178422e-03  1.33052345e+01  1.39353055e+01  1.32458735e+01  2.11950222e+01  1.27914881e+01  1.36549973e+01  1.32978143e+00  7.25679483e-01  1.20007907e+01  1.20000000e+01  0.00000000e+00  1.77320033e+00  1.68617426e-02  5.13746502e-03  3.42729317e-01  1.39122630e-04 
 5.23178422e-03  5.23178422e-03  1.33010665e+01  1.39311592e+01  1.32420264e+01  2.11569851e+01  1.27873846e+01  1.36505688e+01  1.32943434e+00  7.25505939e-01  1.20007866e+01  1.20000000e+01  0.00000000e+00  1.77270792e+00  1.67599300e-02  5.13681937e-03  3.41203770e-01  1.38192293e-04 
 5.33178422e-03  5.33178422e-03  1.32945878e+01  1.39246450e+01  1.32359879e+01  2.10980685e+01  1.27810091e+01  1.36436529e+01  1.32889421e+00  7.25235875e-01  1.20007802e+01  1.20000000e+01  0.00000000e+00  1.77194203e+00  1.66026315e-02  5.13578878e-03  3.38846122e-01  1.36756891e-04 
 5.43178422e-03  5.43178422e-03  1.32857493e+01  1.39158159e+01  1.32278034e+01  2.10183307e+01  1.27723186e+01  1.36342561e+01  1.32815625e+00  7.24866895e-01  1.20007715e+01  1.20000000e+01  0.00000000e+00  1.77089641e+00  1.63898668e-02  5.13430715e-03  3.35654513e-01  1.34819812e-04 
 5.53178422e-03  5.53178422e-03  1.32745111e+01  1.39045367e+01  1.32173533e+01  2.09178503e+01  1.27612802e+01  1.36222960e+01  1.32721606e+00  7.24396798e-01  1.20007605e+01  1.20000000e+01  0.00000000e+00  1.76956555e+00  1.61224463e-02  5.13231111e-03  3.31642007e-01  1.32391583e-04 
 5.63178422e-03  5.63178422e-03  1.32607949e+01  1.38908155e+01  1.32046423e+01  2.07967266e+01  1.27478268e+01  1.36077468e+01  1.32606587e+00  7.23821705e-01  1.20007471e+01  1.20000000e+01  0.00000000e+00  1.76793939e+00  1.58006659e-02  5.12968057e-03  3.26807478e-01  1.29480410e-04 
 5.73178422e-03  5.73178422e-03  1.32445243e+01  1.38744936e+01  1.31895296e+01  2.06550790e+01  1.27318956e+01  1.35905007e+01  1.32469778e+00  7.23137657e-01  1.20007312e+01  1.20000000e+01  0.00000000e+00  1.76600789e+00  1.54256359e-02  5.12628966e-03  3.21169260e-01  1.26100932e-04 
 5.83178422e-03  5.83178422e-03  1.32255821e+01  1.38555267e+01  1.31719722e+01  2.04930473e+01  1.27133888e+01  1.35704940e+01  1.32310034e+00  7.22338940e-01  1.20007127e+01  1.20000000e+01  0.00000000e+00  1.76375628e+00  1.49979912e-02  5.12193398e-03  3.14727956e-01  1.22266409e-04 
 5.93178422e-03  5.93178422e-03  1.32038435e+01  1.38337187e+01  1.31517948e+01  2.03107915e+01  1.26922057e+01  1.35475849e+01  1.32126130e+00  7.21419418e-01  1.20006915e+01  1.20000000e+01  0.00000000e+00  1.76116888e+00  1.45192197e-02  5.11638300e-03  3.07506930e-01  1.17996078e-04 
 6.03178422e-03  6.03178422e-03  1.31791364e+01  1.38089579e+01  1.31288928e+01  2.01084913e+01  1.26682082e+01  1.35216627e+01  1.31916447e+00  7.20371001e-01  1.20006675e+01  1.20000000e+01  0.00000000e+00  1.75822477e+00  1.39904083e-02  5.10928495e-03  2.99509456e-01  1.13308826e-04 
 6.13178422e-03  6.13178422e-03  1.31512673e+01  1.37809875e+01  1.31030350e+01  1.98863465e+01  1.26412469e+01  1.34925384e+01  1.31679195e+00  7.19184745e-01  1.20006406e+01  1.20000000e+01  0.00000000e+00  1.75490100e+00  1.34135754e-02  5.10021518e-03  2.90764038e-01  1.08229453e-04 
 6.23178422e-03  6.23178422e-03  1.31199827e+01  1.37496025e+01  1.30740299e+01  1.96445763e+01  1.26111300e+01  1.34600418e+01  1.31412134e+00  7.17849441e-01  1.20006105e+01  1.20000000e+01  0.00000000e+00  1.75116857e+00  1.27904774e-02  5.08853724e-03  2.81277562e-01  1.02783770e-04 
 6.33178422e-03  6.33178422e-03  1.30849863e+01  1.37144479e+01  1.30415547e+01  1.93834193e+01  1.25776463e+01  1.34239221e+01  1.31112757e+00  7.16352554e-01  1.20005771e+01  1.20000000e+01  0.00000000e+00  1.74699524e+00  1.21239753e-02  5.07342722e-03  2.71084037e-01  9.70041935e-05 
 6.43178422e-03  6.43178422e-03  1.30450400e+01  1.36742983e+01  1.30044772e+01  1.91031331e+01  1.25399035e+01  1.33832680e+01  1.30770752e+00  7.14642527e-01  1.20005394e+01  1.20000000e+01  0.00000000e+00  1.74224734e+00  1.13996624e-02  5.05136520e-03  2.59993945e-01  9.07982887e-05 
 6.53178422e-03  6.53178422e-03  1.30011789e+01  1.36301585e+01  1.29637199e+01  1.88039945e+01  1.24987770e+01  1.33389700e+01  1.30395998e+00  7.12768760e-01  1.20004983e+01  1.20000000e+01  0.00000000e+00  1.73705372e+00  1.06542885e-02  5.02401947e-03  2.48410309e-01  8.44530780e-05 
 6.63178422e-03  6.63178422e-03  1.29521378e+01  1.35807617e+01  1.29180850e+01  1.84862986e+01  1.24534607e+01  1.32902102e+01  1.29979026e+00  7.10683900e-01  1.20004530e+01  1.20000000e+01  0.00000000e+00  1.73129216e+00  9.87851265e-03  4.98677313e-03  2.36185982e-01  7.79128066e-05 
