time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
2.24528,0.0,12.9937067,1.16492133,11.0922122,1.89729411,11.8216556,12.4076811,11.7966985,12.7301676,12.263433,12.4712698,1.16491531,0.100455211,12.4712698,0.840633584,0.100453984,12.7301675,-6.01151463e-09,-0.000895138072,0.000895138072,0.000895138072,-7.98607343e-05,7.98607343e-05,7.98607343e-05,2.48482479e-11,0.0109917643,6.02635496e-09
2.24628,0.0,12.99504,1.16492229,11.0935258,1.8985097,11.8229073,12.4089737,11.7968577,12.7306456,12.2637516,12.4725974,1.16491627,0.100425829,12.4725974,0.840638598,0.100424602,12.7306455,-6.01151589e-09,-0.000895873272,0.000895873272,0.000895873272,-8.01199202e-05,8.01199202e-05,8.01199202e-05,2.48509257e-11,0.0109931073,6.02646685e-09
2.24728,0.0,12.9963733,1.16492329,11.0948394,1.89972537,11.8241591,12.4102662,11.7970166,12.7311226,12.2640696,12.4739251,1.16491726,0.10039649,12.473925,0.840643611,0.100395263,12.7311225,-6.01151699e-09,-0.000896608524,0.000896608524,0.000896608524,-8.03794066e-05,8.03794065e-05,8.03794065e-05,2.4853607e-11,0.0109944502,6.02658254e-09
2.24828,0.0,12.9977067,1.16492431,11.096153,1.90094113,11.8254109,12.4115588,11.7971752,12.7315986,12.2643869,12.4752527,1.16491829,0.100367193,12.4752527,0.840648623,0.100365965,12.7315986,-6.01151826e-09,-0.00089734383,0.00089734383,0.00089734383,-8.06391924e-05,8.06391923e-05,8.06391923e-05,2.48562829e-11,0.0109957931,6.02670185e-09
2.24928,0.0,12.99904,1.16492537,11.0974666,1.90215698,11.8266627,12.4128514,11.7973334,12.7320737,12.2647036,12.4765804,1.16491935,0.100337937,12.4765804,0.840653635,0.10033671,12.7320736,-6.01151934e-09,-0.000898079189,0.000898079189,0.000898079189,-8.08992768e-05,8.08992768e-05,8.08992768e-05,2.48589593e-11,0.0109971359,6.02682555e-09
2.25028,0.0,13.0003733,1.16492648,11.0987802,1.90337292,11.8279147,12.414144,11.7974913,12.7325478,12.2650196,12.477908,1.16492045,0.100308724,12.477908,0.840658646,0.100307497,12.7325477,-6.0115206e-09,-0.000898814601,0.000898814601,0.000898814601,-8.1159659e-05,8.11596589e-05,8.11596589e-05,2.48616376e-11,0.0109984787,6.02695399e-09
2.25128,0.0,13.0017067,1.16492761,11.1000937,1.90458894,11.8291666,12.4154367,11.7976489,12.7330209,12.2653349,12.4792357,1.16492158,0.100279553,12.4792357,0.840663656,0.100278325,12.7330208,-6.0115217e-09,-0.000899550066,0.000899550066,0.000899550066,-8.14203379e-05,8.14203379e-05,8.14203379e-05,2.48643169e-11,0.0109998215,6.02708591e-09
2.25228,0.0,13.00304,1.16492878,11.1014073,1.90580505,11.8304187,12.4167293,11.7978062,12.733493,12.2656496,12.4805633,1.16492276,0.100250424,12.4805633,0.840668665,0.100249196,12.7334929,-6.01152293e-09,-0.000900285583,0.000900285583,0.000900285583,-8.16813128e-05,8.16813128e-05,8.16813128e-05,2.48669939e-11,0.0110011642,6.02722283e-09
2.25328,0.0,13.0043733,1.16493,11.1027209,1.90702124,11.8316708,12.4180221,11.7979631,12.7339641,12.2659636,12.481891,1.16492397,0.100221336,12.481891,0.840673673,0.100220108,12.733964,-6.01152404e-09,-0.000901021153,0.000901021153,0.000901021153,-8.19425828e-05,8.19425828e-05,8.19425828e-05,2.48696708e-11,0.0110025069,6.02736449e-09
2.25428,0.0,13.0057067,1.16493126,11.1040345,1.90823753,11.832923,12.4193148,11.7981198,12.7344343,12.266277,12.4832187,1.16492524,0.100192289,12.4832186,0.840678681,0.100191061,12.7344342,-6.01152526e-09,-0.000901756776,0.000901756776,0.000901756776,-8.22041469e-05,8.22041469e-05,8.22041469e-05,2.48723478e-11,0.0110038496,6.02751154e-09
2.25528,0.0,13.00704,1.16493256,11.1053481,1.90945389,11.8341752,12.4206076,11.7982761,12.7349035,12.2665898,12.4845463,1.16492654,0.100163285,12.4845463,0.840683687,0.100162056,12.7349034,-6.01152639e-09,-0.000902492451,0.000902492451,0.000902492451,-8.24660043e-05,8.24660043e-05,8.24660043e-05,2.48750271e-11,0.0110051922,6.02766293e-09
2.25628,0.0,13.0083733,1.16493391,11.1066617,1.91067035,11.8354275,12.4219004,11.798432,12.7353717,12.2669019,12.485874,1.16492789,0.100134321,12.4858739,0.840688693,0.100133093,12.7353716,-6.01152757e-09,-0.000903228179,0.000903228179,0.000903228179,-8.27281541e-05,8.27281541e-05,8.27281541e-05,2.48777052e-11,0.0110065347,6.02782032e-09
2.25728,0.0,13.0097067,1.1649353,11.1079753,1.91188689,11.8366798,12.4231932,11.7985877,12.735839,12.2672133,12.4872016,1.16492928,0.100105399,12.4872016,0.840693698,0.10010417,12.7358389,-6.01152873e-09,-0.00090396396,0.00090396396,0.00090396396,-8.29905955e-05,8.29905954e-05,8.29905954e-05,2.48803812e-11,0.0110078772,6.02798233e-09
2.25828,0.0,13.01104,1.16493675,11.1092889,1.91310351,11.8379322,12.4244861,11.798743,12.7363053,12.2675242,12.4885293,1.16493072,0.100076518,12.4885293,0.840698702,0.100075289,12.7363052,-6.01152988e-09,-0.000904699792,0.000904699792,0.000904699792,-8.32533274e-05,8.32533274e-05,8.32533274e-05,2.48830594e-11,0.0110092197,6.02815045e-09
