 time            time            v(N001)         v(N002)         v(N004)        
 1.43280000e-02  1.43280000e-02 -4.88898934e+00  1.53049030e-101  1.53049030e-101 
 1.44280000e-02  1.44280000e-02 -4.91948759e+00  4.26737439e-102  4.26737439e-102 
 1.45280000e-02  1.45280000e-02 -4.94513090e+00  1.18984643e-102  1.18984643e-102 
 1.46280000e-02  1.46280000e-02 -4.96589396e+00  3.31757750e-103  3.31757750e-103 
 1.47280000e-02  1.47280000e-02 -4.98175628e+00  9.25020253e-104  9.25020253e-104 
 1.48280000e-02  1.48280000e-02 -4.99270222e+00  2.57917854e-104  2.57917854e-104 
 1.49280000e-02  1.49280000e-02 -4.99872095e+00  7.19136896e-105  7.19136896e-105 
 1.50280000e-02  1.50280000e-02 -4.99980656e+00  2.00512631e-105  2.00512631e-105 
 1.51280000e-02  1.51280000e-02 -4.99595795e+00  5.59077354e-106  5.59077354e-106 
 1.52280000e-02  1.52280000e-02 -4.98717895e+00  1.55884188e-106  1.55884188e-106 
 1.53280000e-02  1.53280000e-02 -4.97347819e+00  4.34642541e-107  4.34642541e-107 
 1.54280000e-02  1.54280000e-02 -4.95486922e+00  1.21188775e-107  1.21188775e-107 
 1.55280000e-02  1.55280000e-02 -4.93137038e+00  3.37903399e-108  3.37903399e-108 
 1.56280000e-02  1.56280000e-02 -4.90300488e+00  9.42155800e-109  9.42155800e-109 
 1.57280000e-02  1.57280000e-02 -4.86980071e+00  2.62695656e-109  2.62695656e-109 
 1.58280000e-02  1.58280000e-02 -4.83179063e+00  7.32458555e-110  7.32458555e-110 
 1.59280000e-02  1.59280000e-02 -4.78901215e+00  2.04227030e-110  2.04227030e-110 
 1.60280000e-02  1.60280000e-02 -4.74150750e+00  5.69433988e-111  5.69433988e-111 
 1.61280000e-02  1.61280000e-02 -4.68932356e+00  1.58771867e-111  1.58771867e-111 
 1.62280000e-02  1.62280000e-02 -4.63251182e+00  4.42694081e-112  4.42694081e-112 
 1.63280000e-02  1.63280000e-02 -4.57112834e+00  1.23433738e-112  1.23433738e-112 
 1.64280000e-02  1.64280000e-02 -4.50523372e+00  3.44162894e-113  3.44162894e-113 
 1.65280000e-02  1.65280000e-02 -4.43489297e+00  9.59608774e-114  9.59608774e-114 
 1.66280000e-02  1.66280000e-02 -4.36017552e+00  2.67561964e-114  2.67561964e-114 
 1.67280000e-02  1.67280000e-02 -4.28115511e+00  7.46026991e-115  7.46026991e-115 
 1.68280000e-02  1.68280000e-02 -4.19790971e+00  2.08010235e-115  2.08010235e-115 
 1.69280000e-02  1.69280000e-02 -4.11052148e+00  5.79982474e-116  5.79982474e-116 
 1.70280000e-02  1.70280000e-02 -4.01907666e+00  1.61713038e-116  1.61713038e-116 
 1.71280000e-02  1.71280000e-02 -3.92366550e+00  4.50894772e-117  4.50894772e-117 
 1.72280000e-02  1.72280000e-02 -3.82438215e+00  1.25720287e-117  1.25720287e-117 
 1.73280000e-02  1.73280000e-02 -3.72132460e+00  3.50538343e-118  3.50538343e-118 
 1.74280000e-02  1.74280000e-02 -3.61459456e+00  9.77385057e-119  9.77385057e-119 
 1.75280000e-02  1.75280000e-02 -3.50429734e+00  2.72518418e-119  2.72518418e-119 
 1.76280000e-02  1.76280000e-02 -3.39054181e+00  7.59846776e-120  7.59846776e-120 
 1.77280000e-02  1.77280000e-02 -3.27344022e+00  2.11863523e-120  2.11863523e-120 
 1.78280000e-02  1.78280000e-02 -3.15310814e+00  5.90726365e-121  5.90726365e-121 
 1.79280000e-02  1.79280000e-02 -3.02966432e+00  1.64708693e-121  1.64708693e-121 
 1.80280000e-02  1.80280000e-02 -2.90323059e+00  4.59247377e-122  4.59247377e-122 
 1.81280000e-02  1.81280000e-02 -2.77393172e+00  1.28049194e-122  1.28049194e-122 
 1.82280000e-02  1.82280000e-02 -2.64189532e+00  3.57031895e-123  3.57031895e-123 
 1.83280000e-02  1.83280000e-02 -2.50725168e+00  9.95490637e-124  9.95490637e-124 
 1.84280000e-02  1.84280000e-02 -2.37013369e+00  2.77566689e-124  2.77566689e-124 
 1.85280000e-02  1.85280000e-02 -2.23067667e+00  7.73922565e-125  7.73922565e-125 
 1.86280000e-02  1.86280000e-02 -2.08901823e+00  2.15788191e-125  2.15788191e-125 
 1.87280000e-02  1.87280000e-02 -1.94529819e+00  6.01669282e-126  6.01669282e-126 
 1.88280000e-02  1.88280000e-02 -1.79965837e+00  1.67759840e-126  1.67759840e-126 
 1.89280000e-02  1.89280000e-02 -1.65224251e+00  4.67754710e-127  4.67754710e-127 
 1.90280000e-02  1.90280000e-02 -1.50319608e+00  1.30421243e-127  1.30421243e-127 
 1.91280000e-02  1.91280000e-02 -1.35266618e+00  3.63645736e-128  3.63645736e-128 
 1.92280000e-02  1.92280000e-02 -1.20080137e+00  1.01393161e-128  1.01393161e-128 
 1.93280000e-02  1.93280000e-02 -1.04775150e+00  2.82708476e-129  2.82708476e-129 
 1.94280000e-02  1.94280000e-02 -8.93667633e-01  7.88259101e-130  7.88259101e-130 
 1.95280000e-02  1.95280000e-02 -7.38701822e-01  2.19785562e-130  2.19785562e-130 
