 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 6.02800000e-05  6.02800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.12800000e-05  6.12800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.22800000e-05  6.22800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.32800000e-05  6.32800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.42800000e-05  6.42800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.52800000e-05  6.52800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.62800000e-05  6.62800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.72800000e-05  6.72800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.82800000e-05  6.82800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 6.92800000e-05  6.92800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.02800000e-05  7.02800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.12800000e-05  7.12800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.22800000e-05  7.22800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.32800000e-05  7.32800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.42800000e-05  7.42800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.52800000e-05  7.52800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.62800000e-05  7.62800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.72800000e-05  7.72800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.82800000e-05  7.82800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 7.92800000e-05  7.92800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.02800000e-05  8.02800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.12800000e-05  8.12800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.22800000e-05  8.22800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.32800000e-05  8.32800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.42800000e-05  8.42800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.52800000e-05  8.52800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.62800000e-05  8.62800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.72800000e-05  8.72800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.82800000e-05  8.82800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 8.92800000e-05  8.92800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.02800000e-05  9.02800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.12800000e-05  9.12800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.22800000e-05  9.22800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.32800000e-05  9.32800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.42800000e-05  9.42800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.52800000e-05  9.52800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.62800000e-05  9.62800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.72800000e-05  9.72800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.82800000e-05  9.82800000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 9.91400000e-05  9.91400000e-05  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
 1.00000000e-04  1.00000000e-04  1.00000000e+00  9.98999990e-01  0.00000000e+00  9.99999990e-01  9.99999990e-01 
