time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
0.708655412,7.99999906,2.77810996,2.3294817,11.9931729,12.0,10.726096,0.0171861053,10.2993286,1.62292054,-7.6167476,0.000129018533
0.708661352,7.99999906,2.778127,2.32949884,11.9931729,12.0,10.7260954,0.0171289312,10.2251174,1.62159387,-7.61100771,0.000129018284
0.708668602,7.99999906,2.7781478,2.32951976,11.9931729,12.0,10.726096,0.0170595687,10.1352699,1.61997661,-7.60400768,0.00012901798
0.708676736,7.99999906,2.77817115,2.32954323,11.9931729,12.0,10.7260954,0.016982599,10.0353917,1.61816367,-7.59616053,0.000129017639
0.708693006,7.99999906,2.77821783,2.32959018,11.9931729,12.0,10.726096,0.016830735,9.83857648,1.61454391,-7.58049,0.000129016956
0.708725545,7.99999906,2.7783112,2.32968407,11.9931729,12.0,10.7260954,0.0165360593,9.45642488,1.60732941,-7.54924318,0.00012901559
0.708775545,7.99999906,2.77845467,2.32982833,11.9931729,12.0,10.726096,0.0161052061,8.89785978,1.5963093,-7.50147143,0.000129013492
0.708825545,7.99999906,2.77859813,2.3299726,11.9931729,12.0,10.7260954,0.015699973,8.3723199,1.5853722,-7.45398877,0.000129011394
0.708875545,7.99999906,2.7787416,2.33011686,11.9931729,12.0,10.726096,0.015318587,7.87785261,1.57451423,-7.4067968,0.000129009296
0.708925545,7.99999906,2.77888506,2.33026112,11.9931729,12.0,10.7260954,0.014959888,7.41262075,1.56373496,-7.35989368,0.000129007198
0.708975545,7.99999906,2.77902852,2.33040538,11.9931729,12.0,10.726096,0.0146222818,6.97489577,1.55303355,-7.31327802,0.0001290051
0.709025545,7.99999906,2.77917198,2.33054964,11.9931729,12.0,10.7260954,0.0143047716,6.56305132,1.54240958,-7.26694798,0.000129003002
0.709075545,7.99999906,2.77931543,2.33069389,11.9931729,12.0,10.726096,0.0140059167,6.17555722,1.53186222,-7.22090218,0.000129000904
0.709125545,7.99999906,2.77945889,2.33083815,11.9931729,12.0,10.7260954,0.0137248645,5.81097374,1.52139105,-7.1751388,0.000128998806
0.709162526,7.99999906,2.77956499,2.33094484,11.9931729,12.0,10.726096,0.0135276622,5.55529436,1.51369944,-7.14146766,0.000128997255
0.709162527,7.99999906,2.77956499,2.33094484,11.9931729,12.0,10.726096,0.0135276852,5.55528456,1.51369916,-7.14146632,0.000128997255
0.70916253,7.99999906,2.779565,2.33094485,11.9931729,12.0,10.726096,0.0135276735,5.55526496,1.51369856,-7.14146368,0.000128997255
0.709162536,7.99999906,2.77956501,2.33094487,11.9931729,12.0,10.726096,0.0135276401,5.55522577,1.51369736,-7.14145841,0.000128997255
0.709162547,7.99999906,2.77956505,2.3309449,11.9931729,12.0,10.7260959,0.0135275827,5.55514739,1.51369495,-7.14144788,0.000128997254
0.709162571,7.99999906,2.77956511,2.33094497,11.9931729,12.0,10.7260958,0.0135274589,5.55499063,1.51369013,-7.14142681,0.000128997253
0.709162617,7.99999906,2.77956525,2.3309451,11.9931729,12.0,10.7260957,0.0135272201,5.55467713,1.51368051,-7.14138467,0.000128997251
0.70916271,7.99999906,2.77956551,2.33094537,11.9931729,12.0,10.7260957,0.0135267338,5.55405017,1.51366125,-7.14130039,0.000128997247
0.709162895,7.99999906,2.77956605,2.3309459,11.9931729,12.0,10.7260957,0.01352577,5.55279647,1.51362273,-7.14113184,0.00012899724
0.709163267,7.99999906,2.77956711,2.33094697,11.9931729,12.0,10.7260957,0.0135238345,5.55028991,1.5135457,-7.14079475,0.000128997224
0.709164009,7.99999906,2.77956924,2.33094912,11.9931729,12.0,10.7260957,0.0135199747,5.5452802,1.51339166,-7.14012061,0.000128997193
0.709165493,7.99999906,2.7795735,2.3309534,11.9931729,12.0,10.7260957,0.0135122569,5.53527436,1.51308362,-7.13877252,0.00012899713
0.709168463,7.99999906,2.77958202,2.33096197,11.9931729,12.0,10.7260957,0.0134968718,5.51531689,1.51246775,-7.13607706,0.000128997006
0.709174401,7.99999906,2.77959906,2.3309791,11.9931729,12.0,10.7260957,0.0134662594,5.47561781,1.51123679,-7.13068912,0.000128996757
0.709186278,7.99999906,2.77963313,2.33101336,11.9931729,12.0,10.7260957,0.0134057033,5.39707531,1.50877804,-7.11992506,0.000128996258
