 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 5.75518031e-03  5.75518031e-03  5.00000000e+00  4.27660849e+00  4.27386459e+00 -2.13463606e-01  4.94472339e-01  9.37668948e-01  6.84416482e-02  1.40079121e-02  1.55756409e-02 
 6.14190695e-03  6.14190695e-03  5.00000000e+00  4.27734741e+00  4.27386606e+00 -1.93761405e-01  6.03261174e-01  9.32843927e-01  6.86817997e-02  1.36133891e-02  1.55747565e-02 
 6.91536022e-03  6.91536022e-03  5.00000000e+00  4.27882021e+00  4.27386688e+00 -1.54922001e-01  8.12501356e-01  9.24480900e-01  6.88160556e-02  1.28598748e-02  1.55742623e-02 
 7.91536022e-03  7.91536022e-03  5.00000000e+00  4.28073022e+00  4.27386995e+00 -1.04807226e-01  1.06496819e+00  9.13666385e-01  6.93189792e-02  1.19444459e-02  1.55724111e-02 
 8.91536022e-03  8.91536022e-03  5.00000000e+00  4.28267143e+00  4.27387175e+00 -5.53833476e-02  1.29971392e+00  9.04175738e-01  6.96123362e-02  1.10808052e-02  1.55713312e-02 
 9.91536022e-03  9.91536022e-03  5.00000000e+00  4.28468422e+00  4.27387572e+00 -6.08063088e-03  1.51687092e+00  8.94746033e-01  7.02619341e-02  1.02512041e-02  1.55689399e-02 
 1.09153602e-02  1.09153602e-02  5.00000000e+00  4.28655506e+00  4.27387757e+00  4.24029282e-02  1.71893024e+00  8.86583213e-01  7.05652296e-02  9.53590273e-03  1.55678235e-02 
 1.19153602e-02  1.19153602e-02  5.00000000e+00  4.28848379e+00  4.27388173e+00  9.07948524e-02  1.90578245e+00  8.78387118e-01  7.12453414e-02  8.85068525e-03  1.55653202e-02 
 1.29153602e-02  1.29153602e-02  5.00000000e+00  4.29042112e+00  4.27388410e+00  1.38429342e-01  2.07972851e+00  8.71348401e-01  7.16323640e-02  8.21196956e-03  1.55638954e-02 
 1.39153602e-02  1.39153602e-02  5.00000000e+00  4.29235077e+00  4.27388872e+00  1.85971517e-01  2.24053487e+00  8.64207225e-01  7.23873072e-02  7.62161359e-03  1.55611166e-02 
