 time            time            v(N001)         v(N002)         v(N004)        
 5.42800000e-03  5.42800000e-03  4.95486922e+00  5.00000000e+00  7.02803114e-01 
 5.52800000e-03  5.52800000e-03  4.93137038e+00  5.00000000e+00  7.02803114e-01 
 5.62800000e-03  5.62800000e-03  4.90300488e+00  5.00000000e+00  7.02803114e-01 
 5.72800000e-03  5.72800000e-03  4.86980071e+00  5.00000000e+00  7.02803114e-01 
 5.82800000e-03  5.82800000e-03  4.83179063e+00  5.00000000e+00  7.02803114e-01 
 5.92800000e-03  5.92800000e-03  4.78901215e+00  5.00000000e+00  7.02803114e-01 
 6.02800000e-03  6.02800000e-03  4.74150750e+00  5.00000000e+00  7.02803114e-01 
 6.12800000e-03  6.12800000e-03  4.68932356e+00  5.00000000e+00  7.02803114e-01 
 6.22800000e-03  6.22800000e-03  4.63251182e+00  5.00000000e+00  7.02803114e-01 
 6.32800000e-03  6.32800000e-03  4.57112834e+00  5.00000000e+00  7.02803114e-01 
 6.42800000e-03  6.42800000e-03  4.50523372e+00  5.00000000e+00  7.02803114e-01 
 6.52800000e-03  6.52800000e-03  4.43489297e+00  5.00000000e+00  7.02803114e-01 
 6.62800000e-03  6.62800000e-03  4.36017552e+00  5.00000000e+00  7.02803114e-01 
 6.72800000e-03  6.72800000e-03  4.28115511e+00  5.00000000e+00  7.02803114e-01 
 6.82800000e-03  6.82800000e-03  4.19790971e+00  5.00000000e+00  7.02803114e-01 
 6.92800000e-03  6.92800000e-03  4.11052148e+00  5.00000000e+00  7.02803114e-01 
 7.02800000e-03  7.02800000e-03  4.01907666e+00  5.00000000e+00  7.02803114e-01 
 7.12800000e-03  7.12800000e-03  3.92366550e+00  5.00000000e+00  7.02803114e-01 
 7.22800000e-03  7.22800000e-03  3.82438215e+00  5.00000000e+00  7.02803114e-01 
 7.32800000e-03  7.32800000e-03  3.72132460e+00  5.00000000e+00  7.02803114e-01 
 7.42800000e-03  7.42800000e-03  3.61459456e+00  5.00000000e+00  7.02803114e-01 
 7.52800000e-03  7.52800000e-03  3.50429734e+00  5.00000000e+00  7.02803114e-01 
 7.62800000e-03  7.62800000e-03  3.39054181e+00  5.00000000e+00  7.02803114e-01 
 7.72800000e-03  7.72800000e-03  3.27344022e+00  5.00000000e+00  7.02803114e-01 
 7.82800000e-03  7.82800000e-03  3.15310814e+00  5.00000000e+00  7.02803114e-01 
 7.92800000e-03  7.92800000e-03  3.02966432e+00  5.00000000e+00  7.02803114e-01 
 8.02800000e-03  8.02800000e-03  2.90323059e+00  5.00000000e+00  7.02803114e-01 
 8.12800000e-03  8.12800000e-03  2.77393172e+00  5.00000000e+00  7.02803114e-01 
 8.22800000e-03  8.22800000e-03  2.64189532e+00  5.00000000e+00  7.02803114e-01 
 8.32800000e-03  8.32800000e-03  2.50725168e+00  5.00000000e+00  7.02803114e-01 
 8.42800000e-03  8.42800000e-03  2.37013369e+00  5.00000000e+00  7.02803114e-01 
 8.52800000e-03  8.52800000e-03  2.23067667e+00  5.00000000e+00  7.02803114e-01 
 8.62800000e-03  8.62800000e-03  2.08901823e+00  5.00000000e+00  7.02803114e-01 
 8.72800000e-03  8.72800000e-03  1.94529819e+00  5.00000000e+00  7.02803114e-01 
 8.82800000e-03  8.82800000e-03  1.79965837e+00  5.00000000e+00  7.02803114e-01 
 8.92800000e-03  8.92800000e-03  1.65224251e+00  5.00000000e+00  7.02803114e-01 
 9.02800000e-03  9.02800000e-03  1.50319608e+00  5.00000000e+00  7.02803114e-01 
 9.12800000e-03  9.12800000e-03  1.35266618e+00  5.00000000e+00  7.02803114e-01 
 9.22800000e-03  9.22800000e-03  1.20080137e+00  5.00000000e+00  7.02803114e-01 
 9.32800000e-03  9.32800000e-03  1.04775150e+00  5.00000000e+00  7.02803114e-01 
 9.42800000e-03  9.42800000e-03  8.93667633e-01  5.00000000e+00  7.02803114e-01 
 9.52800000e-03  9.52800000e-03  7.38701822e-01  5.00000000e+00  7.02803114e-01 
 9.62800000e-03  9.62800000e-03  5.83007002e-01  5.00000000e+00  7.02803114e-01 
 9.72800000e-03  9.72800000e-03  4.26736825e-01  5.00000000e+00  7.02803114e-01 
 9.82800000e-03  9.82800000e-03  2.70045509e-01  5.00000000e+00  7.02803114e-01 
 9.92800000e-03  9.92800000e-03  1.13087692e-01  5.00000000e+00  7.02803114e-01 
 1.00280000e-02  1.00280000e-02 -4.39817299e-02  5.00000000e+00  7.02803114e-01 
 1.01280000e-02  1.01280000e-02 -2.01007747e-01  5.00000000e+00  7.02803114e-01 
 1.02280000e-02  1.02280000e-02 -3.57835393e-01  5.00000000e+00  7.02803114e-01 
 1.03280000e-02  1.03280000e-02 -5.14309899e-01  5.00000000e+00  7.02803114e-01 
 1.04280000e-02  1.04280000e-02 -6.70276844e-01  5.00000000e+00  7.02803114e-01 
 1.05280000e-02  1.05280000e-02 -8.25582306e-01  5.00000000e+00  7.02803114e-01 
 1.06280000e-02  1.06280000e-02 -9.80073018e-01  5.00000000e+00  7.02803114e-01 
 1.07280000e-02  1.07280000e-02 -1.13359652e+00  5.00000000e+00  7.02803114e-01 
 1.08280000e-02  1.08280000e-02 -1.28600129e+00  5.00000000e+00  7.02803114e-01 
 1.09280000e-02  1.09280000e-02 -1.43713694e+00  5.00000000e+00  7.02803114e-01 
 1.10280000e-02  1.10280000e-02 -1.58685431e+00  5.00000000e+00  7.02803114e-01 
 1.11280000e-02  1.11280000e-02 -1.73500564e+00  5.00000000e+00  7.02803114e-01 
 1.12280000e-02  1.12280000e-02 -1.88144473e+00  5.00000000e+00  7.02803114e-01 
 1.13280000e-02  1.13280000e-02 -2.02602706e+00  5.00000000e+00  7.02803114e-01 
