time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.086026118,0.128497356,0.0,-0.0535387606,0.128501432,-1.67345227e-08
0.086526118,0.122229224,0.0,-0.0576950137,0.122234043,-1.97851771e-08
0.087026118,0.116266854,0.0,-0.0616844567,0.116270479,-1.4866206e-08
0.087526118,0.110595328,0.0,-0.0655021252,0.110599716,-1.7998892e-08
0.088026118,0.105200462,0.0,-0.0691524469,0.105203685,-1.31979525e-08
0.088526118,0.100068758,0.0,-0.0726333416,0.100072762,-1.64026087e-08
0.089026118,0.0951873796,0.0,-0.0759514193,0.0951902456,-1.17090489e-08
0.089526118,0.0905441162,0.0,-0.0791062929,0.0905477776,-1.49755609e-08
0.090026118,0.0861273523,0.0,-0.0821058097,0.0861298996,-1.03792714e-08
0.090526118,0.0819260392,0.0,-0.0849505323,0.0819293949,-1.3698363e-08
0.091026118,0.0779296672,0.0,-0.0876489505,0.0779319304,-9.19025091e-09
0.091526118,0.0741282392,0.0,-0.090202101,0.0741313217,-1.25537049e-08
0.092026118,0.0705122458,0.0,-0.092618748,0.0705142554,-8.1257585e-09
0.092526118,0.0670726415,0.0,-0.094900108,0.0670754795,-1.15263922e-08
0.093026118,0.0638008219,0.0,-0.0970549869,0.0638026049,-7.171602e-09
0.093526118,0.0606886024,0.0,-0.0990845996,0.0606912215,-1.06031624e-08
0.094026118,0.0577281979,0.0,-0.100997642,0.0577297783,-6.3154017e-09
0.094526118,0.0549122026,0.0,-0.102795216,0.0549146253,-9.77244411e-09
0.095026118,0.0522335723,0.0,-0.104485828,0.0522349713,-5.54634869e-09
0.095526118,0.0496856062,0.0,-0.106070394,0.0496878525,-9.02412316e-09
0.096026118,0.0472619306,0.0,-0.107557177,0.047263167,-4.85498275e-09
0.096526118,0.0449564825,0.0,-0.10894687,0.0449585701,-8.34933408e-09
0.097026118,0.0427634947,0.0,-0.110247469,0.0427645853,-4.2329989e-09
0.097526118,0.0406774815,0.0,-0.111459423,0.0406794263,-7.7402819e-09
0.098026118,0.0386932245,0.0,-0.112590443,0.038694184,-3.67308376e-09
0.098526118,0.0368057601,0.0,-0.113640728,0.036807576,-7.19009162e-09
0.099026118,0.0350103667,0.0,-0.114617695,0.0350112083,-3.16877727e-09
0.099526118,0.0333025531,0.0,-0.115521295,0.0333042526,-6.69268153e-09
0.1,0.0317609407,0.0,-0.11631655,0.0317616789,-2.72603662e-09
0.100008015,0.0317676886,0.0400772042,-0.115549834,0.0325090608,0.0200355506
0.100024046,0.0318453743,0.120231613,-0.115214006,0.0326298488,0.0601126013
0.100056108,0.0323853781,0.280540429,-0.0749729885,0.0337150033,0.140267349
0.100085431,0.0333273685,0.427153375,0.0496527423,0.0355371118,0.213573688
0.100122985,0.0351565718,0.614924513,0.247533101,0.0368393241,0.307459457
0.100160264,0.0376616346,0.80132092,0.4302755,0.0394908843,0.400657678
