 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 6.03535612e-05  6.03535612e-05  1.79292099e-14  9.00000000e+00 -1.78761150e+00  1.85094566e-03  6.61327127e-01  1.12853114e+00  8.99999912e+00 -1.82356956e+00 -1.47041337e-01 -2.54156025e-15 
 6.13535612e-05  6.13535612e-05  6.26956473e-15  9.00000000e+00 -1.80290776e+00  1.88009296e-03  6.61338133e-01  1.12706009e+00  8.99999912e+00 -1.83988585e+00 -1.48335160e-01 -2.58119243e-15 
 6.23535612e-05  6.23535612e-05  1.98839779e-15  9.00000000e+00 -1.81781920e+00  1.90916603e-03  6.61348896e-01  1.12561834e+00  8.99999912e+00 -1.85582590e+00 -1.49598145e-01 -2.62071193e-15 
 6.33535612e-05  6.33535612e-05  1.79716181e-14  9.00000000e+00 -1.83234921e+00  1.93816374e-03  6.61359417e-01  1.12420567e+00  8.99999912e+00 -1.87139289e+00 -1.50830557e-01 -2.66011728e-15 
 6.43535612e-05  6.43535612e-05  5.75270642e-15  9.00000000e+00 -1.84650139e+00  1.96708493e-03  6.61369700e-01  1.12282183e+00  8.99999912e+00 -1.88659020e+00 -1.52032678e-01 -2.69940704e-15 
 6.53535612e-05  6.53535612e-05  2.24756373e-15  9.00000000e+00 -1.86027908e+00  1.99592846e-03  6.61379747e-01  1.12146660e+00  8.99999912e+00 -1.90142096e+00 -1.53204769e-01 -2.73857976e-15 
 6.63535612e-05  6.63535612e-05  1.79897526e-14  9.00000000e+00 -1.87368583e+00  2.02469320e-03  6.61389559e-01  1.12013973e+00  8.99999912e+00 -1.91588849e+00 -1.54347107e-01 -2.77763400e-15 
 6.73535612e-05  6.73535612e-05  5.23960603e-15  9.00000000e+00 -1.88672492e+00  2.05337800e-03  6.61399140e-01  1.11884101e+00  8.99999912e+00 -1.92999588e+00 -1.55459948e-01 -2.81656832e-15 
 6.83535612e-05  6.83535612e-05  2.51849395e-15  9.00000000e+00 -1.89939983e+00  2.08198174e-03  6.61408490e-01  1.11757019e+00  8.99999912e+00 -1.94374640e+00 -1.56543565e-01 -2.85538131e-15 
 6.93535612e-05  6.93535612e-05  1.79834260e-14  9.00000000e+00 -1.91171381e+00  2.11050329e-03  6.61417613e-01  1.11632706e+00  8.99999912e+00 -1.95714308e+00 -1.57598211e-01 -2.89407153e-15 
 7.03535612e-05  7.03535612e-05  4.73129499e-15  9.00000000e+00 -1.92367026e+00  2.13894152e-03  6.61426510e-01  1.11511138e+00  8.99999912e+00 -1.97018913e+00 -1.58624152e-01 -2.93263757e-15 
 7.13535612e-05  7.13535612e-05  2.80041623e-15  9.00000000e+00 -1.93527239e+00  2.16729531e-03  6.61435183e-01  1.11392295e+00  8.99999912e+00 -1.98288755e+00 -1.59621640e-01 -2.97107802e-15 
 7.23535612e-05  7.23535612e-05  1.79525013e-14  9.00000000e+00 -1.94652354e+00  2.19556353e-03  6.61443635e-01  1.11276152e+00  8.99999912e+00 -1.99524148e+00 -1.60590934e-01 -3.00939146e-15 
 7.33535612e-05  7.33535612e-05  4.22878797e-15  9.00000000e+00 -1.95742686e+00  2.22374508e-03  6.61451868e-01  1.11162690e+00  8.99999912e+00 -2.00725388e+00 -1.61532283e-01 -3.04757650e-15 
 7.43535612e-05  7.43535612e-05  3.09252732e-15  9.00000000e+00 -1.96798564e+00  2.25183884e-03  6.61459884e-01  1.11051885e+00  8.99999912e+00 -2.01892783e+00 -1.62445943e-01 -3.08563175e-15 
 7.53535612e-05  7.53535612e-05  1.78968923e-14  9.00000000e+00 -1.97820299e+00  2.27984370e-03  6.61467684e-01  1.10943717e+00  8.99999912e+00 -2.03026626e+00 -1.63332157e-01 -3.12355582e-15 
 7.63535612e-05  7.63535612e-05  3.73308053e-15  9.00000000e+00 -1.98808213e+00  2.30775856e-03  6.61475271e-01  1.10838164e+00  8.99999912e+00 -2.04127218e+00 -1.64191175e-01 -3.16134732e-15 
 7.73535612e-05  7.73535612e-05  3.39399482e-15  9.00000000e+00 -1.99762612e+00  2.33558231e-03  6.61482646e-01  1.10735205e+00  8.99999912e+00 -2.05194847e+00 -1.65023240e-01 -3.19900488e-15 
 7.83535612e-05  7.83535612e-05  1.78165638e-14  9.00000000e+00 -2.00683812e+00  2.36331385e-03  6.61489812e-01  1.10634818e+00  8.99999912e+00 -2.06229810e+00 -1.65828596e-01 -3.23652712e-15 
