time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N009),v(N010),@ddiode7_1[id]
8.73535612e-05,1.74276765e-14,9.0,-2.07530399,0.00260856914,0.661545195,1.09843729,8.99999912,-2.14121203,-0.171913851,-3.56791505e-15
8.83535612e-05,1.83736712e-15,9.0,-2.08136067,0.00263531904,0.661550369,1.09767951,8.99999912,-2.14844958,-0.172465,-3.60401011e-15
8.93535612e-05,4.6758739e-15,9.0,-2.08711774,0.00266196491,0.661555355,1.09694526,8.99999912,-2.15539087,-0.172991973,-3.63995519e-15
9.03535612e-05,1.7249141e-14,9.0,-2.09257801,0.00268850569,0.661560152,1.09623435,8.99999912,-2.16203856,-0.173494991,-3.67574897e-15
9.13535612e-05,1.38977069e-15,9.0,-2.09774425,0.00271494033,0.661564764,1.09554659,8.99999912,-2.16839523,-0.173974269,-3.71139019e-15
9.23535612e-05,5.01075979e-15,9.0,-2.10261922,0.00274126779,0.661569192,1.09488179,8.99999912,-2.17446349,-0.174430025,-3.74687754e-15
9.33535612e-05,1.70464763e-14,9.0,-2.10720563,0.00276748703,0.661573436,1.09423977,8.99999912,-2.18024587,-0.17486247,-3.78220977e-15
9.43535612e-05,9.54425907e-16,9.0,-2.1115062,0.00279359701,0.6615775,1.09362035,8.99999912,-2.18574494,-0.175271816,-3.81738558e-15
9.53535612e-05,5.34951091e-15,9.0,-2.1155236,0.0028195967,0.661581385,1.09302333,8.99999912,-2.1909632,-0.175658272,-3.85240373e-15
9.63535612e-05,1.68199526e-14,9.0,-2.11926049,0.00284548509,0.661585092,1.09244855,8.99999912,-2.19590315,-0.176022048,-3.88726295e-15
9.73535612e-05,5.32135712e-16,9.0,-2.12271951,0.00287126114,0.661588622,1.09189582,8.99999912,-2.20056727,-0.176363348,-3.921962e-15
9.83535612e-05,5.69114956e-15,9.0,-2.12590326,0.00289692383,0.661591979,1.09136496,8.99999912,-2.20495802,-0.176682378,-3.95649962e-15
9.93535612e-05,1.65698892e-14,9.0,-2.12881433,0.00292247216,0.661595162,1.0908558,8.99999912,-2.20907782,-0.176979339,-3.99087459e-15
0.000100353561,1.23667857e-16,9.0,-2.13145531,0.00294790512,0.661598173,1.09036817,8.99999912,-2.2129291,-0.177254433,-4.02508566e-15
0.000101353561,6.03468623e-15,9.0,-2.13382872,0.0029732217,0.661601015,1.08990188,8.99999912,-2.21651424,-0.177507859,-4.05913162e-15
0.000102353561,1.6296655e-14,9.0,-2.1359371,0.0029984209,0.661603688,1.08945678,8.99999912,-2.21983562,-0.177739815,-4.09301125e-15
0.000103353561,-2.70246775e-16,9.0,-2.13778293,0.00302350173,0.661606194,1.08903269,8.99999912,-2.22289558,-0.177950496,-4.12672333e-15
0.000104353561,6.379122e-15,9.0,-2.13936872,0.00304846319,0.661608535,1.08862943,8.99999912,-2.22569647,-0.178140096,-4.16026668e-15
0.000105353561,1.60006664e-14,9.0,-2.14069691,0.00307330431,0.661610711,1.08824685,8.99999912,-2.22824059,-0.178308808,-4.19364007e-15
0.000106353561,-6.48915771e-16,9.0,-2.14176996,0.0030980241,0.661612725,1.08788478,8.99999912,-2.23053024,-0.178456823,-4.22684234e-15
0.000107353561,6.72345087e-15,9.0,-2.14259026,0.00312262158,0.661614578,1.08754304,8.99999912,-2.23256769,-0.17858433,-4.25987229e-15
0.000108353561,1.56823878e-14,9.0,-2.14316023,0.00314709579,0.661616271,1.08722149,8.99999912,-2.2343552,-0.178691517,-4.29272874e-15
0.000109353561,-1.0116867e-15,9.0,-2.14348223,0.00317144575,0.661617805,1.08691996,8.99999912,-2.235895,-0.17877857,-4.32541054e-15
0.000110353561,7.06666216e-15,9.0,-2.14355864,0.00319567052,0.661619183,1.08663828,8.99999912,-2.23718932,-0.178845673,-4.35791651e-15
