 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 5.12800000e-03  5.12800000e-03  5.00000000e+00 -8.03381001e-04  1.51842291e+00  8.76706149e-01  3.18778473e+00  1.02043211e-01 
 5.22800000e-03  5.22800000e-03  5.00000000e+00 -1.42767131e-03  1.51838646e+00  8.76656144e-01  3.18694526e+00  1.00896258e-01 
 5.32800000e-03  5.32800000e-03  5.00000000e+00 -2.04632726e-03  1.51835702e+00  8.76606708e-01  3.18569650e+00  9.93440982e-02 
 5.42800000e-03  5.42800000e-03  5.00000000e+00 -2.65690728e-03  1.51833473e+00  8.76558038e-01  3.18404285e+00  9.73923716e-02 
 5.52800000e-03  5.52800000e-03  5.00000000e+00 -3.25700171e-03  1.51831966e+00  8.76510330e-01  3.18198979e+00  9.50477323e-02 
 5.62800000e-03  5.62800000e-03  5.00000000e+00 -3.84424223e-03  1.51831187e+00  8.76463775e-01  3.17954473e+00  9.23187779e-02 
 5.72800000e-03  5.72800000e-03  5.00000000e+00 -4.41631129e-03  1.51831139e+00  8.76418562e-01  3.17671609e+00  8.92150944e-02 
 5.82800000e-03  5.82800000e-03  5.00000000e+00 -4.97095119e-03  1.51831820e+00  8.76374873e-01  3.17351427e+00  8.57481753e-02 
 5.92800000e-03  5.92800000e-03  5.00000000e+00 -5.50597301e-03  1.51833228e+00  8.76332885e-01  3.16995061e+00  8.19304578e-02 
 6.02800000e-03  6.02800000e-03  5.00000000e+00 -6.01926528e-03  1.51835355e+00  8.76292771e-01  3.16603836e+00  7.77762310e-02 
 6.12800000e-03  6.12800000e-03  5.00000000e+00 -6.50880225e-03  1.51838192e+00  8.76254693e-01  3.16179170e+00  7.33006618e-02 
 6.22800000e-03  6.22800000e-03  5.00000000e+00 -6.97265196e-03  1.51841726e+00  8.76218810e-01  3.15722661e+00  6.85206923e-02 
 6.32800000e-03  6.32800000e-03  5.00000000e+00 -7.40898379e-03  1.51845942e+00  8.76185269e-01  3.15235993e+00  6.34540536e-02 
 6.42800000e-03  6.42800000e-03  5.00000000e+00 -7.81607575e-03  1.51850821e+00  8.76154211e-01  3.14721024e+00  5.81201517e-02 
 6.52800000e-03  6.52800000e-03  5.00000000e+00 -8.19232123e-03  1.51856344e+00  8.76125765e-01  3.14179682e+00  5.25390697e-02 
 6.62800000e-03  6.62800000e-03  5.00000000e+00 -8.53623536e-03  1.51862485e+00  8.76100052e-01  3.13614060e+00  4.67324407e-02 
 6.72800000e-03  6.72800000e-03  5.00000000e+00 -8.84646086e-03  1.51869221e+00  8.76077182e-01  3.13026311e+00  4.07224378e-02 
 6.82800000e-03  6.82800000e-03  5.00000000e+00 -9.12177343e-03  1.51876523e+00  8.76057254e-01  3.12418733e+00  3.45326355e-02 
 6.92800000e-03  6.92800000e-03  5.00000000e+00 -9.36108653e-03  1.51884360e+00  8.76040356e-01  3.11793671e+00  2.81869869e-02 
 7.02800000e-03  7.02800000e-03  5.00000000e+00 -9.56345569e-03  1.51892701e+00  8.76026563e-01  3.11153600e+00  2.17106736e-02 
 7.12800000e-03  7.12800000e-03  5.00000000e+00 -9.72808227e-03  1.51901511e+00  8.76015938e-01  3.10501021e+00  1.51290712e-02 
 7.22800000e-03  7.22800000e-03  5.00000000e+00 -9.85431655e-03  1.51910754e+00  8.76008535e-01  3.09837480e+00  8.45791804e-03 
 7.32800000e-03  7.32800000e-03  5.00000000e+00 -9.94166034e-03  1.51920393e+00  8.76004392e-01  3.09167916e+00  1.74682197e-03 
 7.42800000e-03  7.42800000e-03  5.00000000e+00 -9.98976894e-03  1.51930391e+00  8.76003530e-01  3.08493741e+00 -4.99002041e-03 
 7.52800000e-03  7.52800000e-03  5.00000000e+00 -9.99845249e-03  1.51940710e+00  8.76005959e-01  3.07818760e+00 -1.17145195e-02 
 7.62800000e-03  7.62800000e-03  5.00000000e+00 -9.96767671e-03  1.51951308e+00  8.76011678e-01  3.07143336e+00 -1.84230944e-02 
 7.72800000e-03  7.72800000e-03  5.00000000e+00 -9.89756307e-03  1.51962140e+00  8.76020678e-01  3.06470495e+00 -2.50855767e-02 
 7.82800000e-03  7.82800000e-03  5.00000000e+00 -9.78838826e-03  1.51973165e+00  8.76032930e-01  3.05805376e+00 -3.16508042e-02 
 7.92800000e-03  7.92800000e-03  5.00000000e+00 -9.64058316e-03  1.51984343e+00  8.76048386e-01  3.05150319e+00 -3.80957016e-02 
 8.02800000e-03  8.02800000e-03  5.00000000e+00 -9.45473108e-03  1.51995630e+00  8.76066993e-01  3.04505795e+00 -4.44159271e-02 
 8.12800000e-03  8.12800000e-03  5.00000000e+00 -9.23156550e-03  1.52006981e+00  8.76088686e-01  3.03875757e+00 -5.05723788e-02 
 8.22800000e-03  8.22800000e-03  5.00000000e+00 -8.97196715e-03  1.52018352e+00  8.76113384e-01  3.03262828e+00 -5.65393759e-02 
 8.32800000e-03  8.32800000e-03  5.00000000e+00 -8.67696054e-03  1.52029700e+00  8.76140994e-01  3.02669512e+00 -6.22924949e-02 
 8.42800000e-03  8.42800000e-03  5.00000000e+00 -8.34770994e-03  1.52040983e+00  8.76171411e-01  3.02098294e+00 -6.78075524e-02 
 8.52800000e-03  8.52800000e-03  5.00000000e+00 -7.98551473e-03  1.52052157e+00  8.76204518e-01  3.01551518e+00 -7.30618695e-02 
 8.62800000e-03  8.62800000e-03  5.00000000e+00 -7.59180435e-03  1.52063179e+00  8.76240187e-01  3.01031488e+00 -7.80332439e-02 
 8.72800000e-03  8.72800000e-03  5.00000000e+00 -7.16813258e-03  1.52074009e+00  8.76278279e-01  3.00540338e+00 -8.27012011e-02 
 8.82800000e-03  8.82800000e-03  5.00000000e+00 -6.71617147e-03  1.52084606e+00  8.76318646e-01  3.00080144e+00 -8.70459525e-02 
 8.92800000e-03  8.92800000e-03  5.00000000e+00 -6.23770470e-03  1.52094930e+00  8.76361128e-01  2.99652792e+00 -9.10496322e-02 
 9.02800000e-03  9.02800000e-03  5.00000000e+00 -5.73462056e-03  1.52104942e+00  8.76405561e-01  2.99260088e+00 -9.46952408e-02 
 9.12800000e-03  9.12800000e-03  5.00000000e+00 -5.20890449e-03  1.52114604e+00  8.76451766e-01  2.98903634e+00 -9.79678671e-02 
 9.22800000e-03  9.22800000e-03  5.00000000e+00 -4.66263125e-03  1.52123881e+00  8.76499564e-01  2.98584934e+00 -1.00853616e-01 
 9.32800000e-03  9.32800000e-03  5.00000000e+00 -4.09795674e-03  1.52132737e+00  8.76548763e-01  2.98305276e+00 -1.03340813e-01 
 9.42800000e-03  9.42800000e-03  5.00000000e+00 -3.51710946e-03  1.52141140e+00  8.76599170e-01  2.98065835e+00 -1.05418918e-01 
 9.52800000e-03  9.52800000e-03  5.00000000e+00 -2.92238177e-03  1.52149057e+00  8.76650585e-01  2.97867560e+00 -1.07079708e-01 
 9.62800000e-03  9.62800000e-03  5.00000000e+00 -2.31612076e-03  1.52156459e+00  8.76702802e-01  2.97711277e+00 -1.08316176e-01 
 9.72800000e-03  9.72800000e-03  5.00000000e+00 -1.70071909e-03  1.52163318e+00  8.76755616e-01  2.97597580e+00 -1.09123696e-01 
 9.82800000e-03  9.82800000e-03  5.00000000e+00 -1.07860545e-03  1.52169608e+00  8.76808817e-01  2.97526935e+00 -1.09498900e-01 
 9.92800000e-03  9.92800000e-03  5.00000000e+00 -4.52235051e-04  1.52175304e+00  8.76862194e-01  2.97499569e+00 -1.09440830e-01 
