time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
4.528e-05,-4.48513077e-15,-9.0,-8.99999801,-8.99999803,8.69641444e-06,-0.791165413,-0.120749552,0.00140340055,-1.20580926e-17
4.628e-05,8.52767854e-16,-9.0,-8.99999801,-8.99999803,8.68048343e-06,-0.791165429,-0.120749585,0.0014335257,-1.20360043e-17
4.728e-05,3.69365027e-15,-9.0,-8.99999801,-8.99999803,8.66420967e-06,-0.791165445,-0.120749619,0.00146359426,-1.20134409e-17
4.828e-05,-4.227214e-15,-9.0,-8.99999801,-8.99999803,8.64759383e-06,-0.791165461,-0.120749653,0.00149360503,-1.19904031e-17
4.928e-05,1.32344655e-16,-9.0,-8.99999801,-8.99999803,8.63063654e-06,-0.791165478,-0.120749688,0.00152355684,-1.19668919e-17
5.028e-05,4.08962982e-15,-9.0,-8.99999801,-8.99999803,8.61333849e-06,-0.791165496,-0.120749724,0.00155344851,-1.19429082e-17
5.128e-05,-3.86780408e-15,-9.0,-8.99999801,-8.99999803,8.59570035e-06,-0.791165513,-0.120749761,0.00158327884,-1.1918453e-17
5.228e-05,-5.91401005e-16,-9.0,-8.99999801,-8.99999803,8.57772283e-06,-0.791165531,-0.120749798,0.00161304667,-1.18935273e-17
5.328e-05,4.38714277e-15,-9.0,-8.99999801,-8.99999803,8.55940663e-06,-0.79116555,-0.120749836,0.00164275082,-1.18681319e-17
5.428e-05,-3.41555034e-15,-9.0,-8.99999801,-8.99999803,8.54075246e-06,-0.791165568,-0.120749874,0.00167239012,-1.1842268e-17
5.528e-05,-1.30107715e-15,-9.0,-8.99999801,-8.99999803,8.52176111e-06,-0.791165587,-0.120749914,0.0017019634,-1.18159365e-17
5.628e-05,4.57902794e-15,-9.0,-8.99999801,-8.99999803,8.50243325e-06,-0.791165607,-0.120749954,0.00173146948,-1.17891385e-17
5.728e-05,-2.88133424e-15,-9.0,-8.99999801,-8.99999803,8.48276972e-06,-0.791165626,-0.120749994,0.00176090721,-1.17618751e-17
5.828e-05,-1.97963e-15,-9.0,-8.99999801,-8.99999803,8.46277125e-06,-0.791165646,-0.120750036,0.00179027542,-1.17341473e-17
5.928e-05,4.66066372e-15,-9.0,-8.99999801,-8.99999803,8.44243866e-06,-0.791165667,-0.120750078,0.00181957295,-1.17059562e-17
6.028e-05,-2.2780077e-15,-9.0,-8.99999801,-8.99999803,8.42177272e-06,-0.791165687,-0.120750121,0.00184879865,-1.16773029e-17
6.128e-05,-2.61075401e-15,-9.0,-8.99999801,-8.99999803,8.40077428e-06,-0.791165708,-0.120750164,0.00187795136,-1.16481886e-17
6.228e-05,4.63007916e-15,-9.0,-8.99999801,-8.99999803,8.37944414e-06,-0.79116573,-0.120750209,0.00190702994,-1.16186144e-17
6.328e-05,-1.62008417e-15,-9.0,-8.99999801,-8.99999803,8.35778318e-06,-0.791165751,-0.120750253,0.00193603323,-1.15885815e-17
6.428e-05,-3.17928386e-15,-9.0,-8.99999801,-8.99999803,8.33579222e-06,-0.791165773,-0.120750299,0.00196496008,-1.1558091e-17
6.528e-05,4.48800141e-15,-9.0,-8.99999801,-8.99999803,8.31347214e-06,-0.791165796,-0.120750345,0.00199380937,-1.15271442e-17
6.628e-05,-9.23389667e-16,-9.0,-8.99999801,-8.99999803,8.29082383e-06,-0.791165818,-0.120750392,0.00202257994,-1.14957424e-17
6.728e-05,-3.67155903e-15,-9.0,-8.99999801,-8.99999803,8.26784819e-06,-0.791165841,-0.12075044,0.00205127066,-1.14638866e-17
6.828e-05,4.2378382e-15,-9.0,-8.99999801,-8.99999803,8.2445461e-06,-0.791165864,-0.120750488,0.0020798804,-1.14315783e-17
6.928e-05,-2.04682264e-16,-9.0,-8.99999801,-8.99999803,8.22091851e-06,-0.791165888,-0.120750537,0.00210840804,-1.13988186e-17
7.028e-05,-4.07575228e-15,-9.0,-8.99999801,-8.99999803,8.19696634e-06,-0.791165912,-0.120750587,0.00213685243,-1.13656089e-17
7.128e-05,3.88559592e-15,-9.0,-8.99999801,-8.99999803,8.17269054e-06,-0.791165936,-0.120750637,0.00216521247,-1.13319504e-17
7.228e-05,5.18750796e-16,-9.0,-8.99999801,-8.99999803,8.14809206e-06,-0.791165961,-0.120750688,0.00219348703,-1.12978446e-17
7.328e-05,-4.38215399e-15,-9.0,-8.99999801,-8.99999803,8.1231719e-06,-0.791165986,-0.12075074,0.00222167499,-1.12632927e-17
7.428e-05,3.43973522e-15,-9.0,-8.99999801,-8.99999803,8.09793101e-06,-0.791166011,-0.120750792,0.00224977525,-1.12282962e-17
7.528e-05,1.22950872e-15,-9.0,-8.99999801,-8.99999803,8.0723704e-06,-0.791166037,-0.120750845,0.00227778668,-1.11928563e-17
7.628e-05,-4.58340555e-15,-9.0,-8.99999801,-8.99999803,8.04649109e-06,-0.791166063,-0.120750898,0.0023057082,-1.11569745e-17
7.728e-05,2.9109676e-15,-9.0,-8.99999801,-8.99999803,8.0202941e-06,-0.791166089,-0.120750953,0.00233353869,-1.11206523e-17
7.828e-05,1.91049554e-15,-9.0,-8.99999801,-8.99999803,7.99378045e-06,-0.791166115,-0.120751008,0.00236127705,-1.1083891e-17
7.928e-05,-4.67467632e-15,-9.0,-8.99999801,-8.99999803,7.96695121e-06,-0.791166142,-0.120751063,0.0023889222,-1.10466921e-17
8.028e-05,2.31199788e-15,-9.0,-8.99999801,-8.99999803,7.93980741e-06,-0.791166169,-0.120751119,0.00241647303,-1.10090571e-17
