time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.00011828,-1.46301837e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00011928,1.55788755e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00012028,4.67597297e-21,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00012128,-1.60039391e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00012228,1.4081427e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00012328,3.2026363e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00012428,-1.69929334e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00012528,1.22454721e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00012628,5.86071849e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00012728,-1.75733647e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00012828,1.01150632e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00012928,8.37781738e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00013028,-1.77312875e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00013128,7.74155231e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00013228,1.06935207e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00013328,-1.74629171e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00013428,5.18185042e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00013528,1.27521156e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00013628,-1.67746539e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00013728,2.49755658e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694501e-23
0.00013828,1.45041004e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00013928,-1.56830649e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00014028,-2.46753798e-21,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00014128,1.59073744e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00014228,-1.42144848e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00014328,-2.98512042e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00014428,1.69282542e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00014528,-1.24041856e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00014628,-5.65175046e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00014728,1.75421215e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00014828,-1.02956134e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00014928,-8.18248175e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00015028,1.77342051e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00015128,-7.93951017e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00015228,-1.05164744e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00015328,1.74999388e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
0.00015428,-5.3925489e-20,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.406945e-23
0.00015528,-1.25976537e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694499e-23
0.00015628,1.68449706e-19,9.0,9.0,9.0,-1.01465503e-11,8.99999604,9.0,8.99999604,1.40694502e-23
