time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.140615276,4.69015566,10.0,11.8804464,4.69014933,5.00000008
0.141115276,4.71663866,10.0,11.9009573,4.71663476,5.00000005
0.141615276,4.74298958,10.0,11.9213225,4.74298323,5.00000008
0.142115276,4.76920907,10.0,11.9415526,4.76920515,5.00000005
0.142615276,4.79529779,10.0,11.9616388,4.79529143,5.00000008
0.143115276,4.8212564,10.0,11.9815918,4.82125245,5.00000005
0.143615276,4.84708553,10.0,12.001402,4.84707914,5.00000008
0.144115276,4.87278584,10.0,12.02108,4.87278187,5.00000005
0.144615276,4.89835797,10.0,12.0406168,4.89835156,5.00000008
0.145115276,4.92380256,10.0,12.0600231,4.92379855,5.00000005
0.145615276,4.94912024,10.0,12.07929,4.9491138,5.00000008
0.146115276,4.97431165,10.0,12.0984274,4.97430761,5.00000005
0.146615276,4.99937741,10.0,12.117426,4.99937094,5.00000008
0.147115276,5.02431816,10.0,12.1362952,5.02431409,5.00000005
0.147615276,5.04913452,10.0,12.1550232,5.049128,5.00000008
0.148115276,5.0738271,10.0,12.1736129,5.07382298,5.00000005
0.148615276,5.09839653,10.0,12.1920375,5.09838997,5.00000008
0.149115276,5.12284342,10.0,12.2102605,5.12283923,5.00000005
0.149615276,5.14716838,10.0,12.2281527,5.14716173,5.00000008
0.150115276,5.17137201,10.0,12.2454211,5.17136767,5.00000005
0.150557638,5.19268488,10.0,12.2595403,5.19267795,5.00000008
0.151,5.21390368,10.0,12.2712429,5.2138988,5.00000006
0.151012276,5.21447604,9.87724274,12.2683259,5.21391516,4.93862843
0.151036827,5.21559043,9.63172821,12.0243348,5.21417062,4.81588199
0.15108593,5.21763491,9.14069915,8.54135192,5.1926354,4.59274465
0.151114792,5.21871981,8.85207638,8.22401149,5.15786394,4.51878891
0.151143907,5.21972363,8.56092535,7.91498286,5.10504912,4.44829018
0.151185661,5.22100384,8.14338992,7.48395186,5.0437395,4.37277278
0.151269168,5.22300094,7.30831904,6.63145065,4.90117226,4.21210915
0.151436182,5.22474433,5.63817729,4.94342512,4.63333627,3.9245912
0.151669661,5.22161788,3.30338832,2.61881484,3.20610391,2.50638946
0.151834831,5.2150102,1.65169416,1.02200689,1.63265204,0.975433878
0.152,5.20476228,0.0,0.0800468269,0.6978378,0.0567984957
0.152033034,5.20237399,0.0,0.079994854,0.697803206,0.0567688332
0.152099102,5.19759967,0.0,0.079935453,0.697715062,0.0567097757
0.152231237,5.18806468,0.0,0.0798174145,0.69753855,0.0565918354
0.152495508,5.16904907,0.0,0.0795814126,0.697186687,0.0563566257
0.152995508,5.1332691,0.0,0.0791379358,0.696523285,0.0559140693
0.153495508,5.09774614,0.0,0.0786972691,0.695862774,0.0554747154
0.153995508,5.06247832,0.0,0.0782601863,0.695205153,0.0550385406
0.154495508,5.02746382,0.0,0.0778258565,0.694550942,0.0546055152
0.154995508,4.9927008,0.0,0.0773950702,0.693899571,0.0541756233
0.155495508,4.95818747,0.0,0.0769669864,0.693251566,0.0537488357
0.155995508,4.92392202,0.0,0.0765424066,0.692606349,0.0533251369
0.156495508,4.88990267,0.0,0.0761204791,0.691964452,0.0529044977
0.156995508,4.85612765,0.0,0.0757020169,0.691325292,0.0524869031
0.157495508,4.8225952,0.0,0.0752861576,0.690689408,0.0520723242
0.157995508,4.78930357,0.0,0.0748737253,0.69005621,0.0516607465
0.158495508,4.75625103,0.0,0.0744638472,0.689426245,0.0512521412
0.158995508,4.72343586,0.0,0.0740573586,0.688798914,0.0508464941
0.159495508,4.69085636,0.0,0.0736533758,0.688174774,0.0504437768
0.159995508,4.65851082,0.0,0.0732527459,0.687553218,0.0500439755
0.160495508,4.62639756,0.0,0.0728545739,0.68693481,0.0496470618
0.160995508,4.59451492,0.0,0.0724597188,0.686318938,0.0492530224
0.161495508,4.56286122,0.0,0.0720672744,0.685706172,0.0488618292
0.161995508,4.53143483,0.0,0.0716781114,0.685095893,0.0484734693
0.162495508,4.50023411,0.0,0.0712913123,0.684488679,0.0480879147
0.162995508,4.46925743,0.0,0.0709077601,0.683883903,0.0477051529
0.163495508,4.43850318,0.0,0.0705265254,0.683282152,0.0473251562
0.163995508,4.40796975,0.0,0.0701485036,0.682682791,0.0469479123
0.164495508,4.37765558,0.0,0.0697727536,0.682086416,0.0465733938
0.164995508,4.34755906,0.0,0.0694001831,0.681492384,0.0462015889
0.165495508,4.31767864,0.0,0.0690298391,0.680901298,0.0458324702
0.165995508,4.28801276,0.0,0.0686626419,0.680312507,0.0454660263
0.166495508,4.25855987,0.0,0.0682976263,0.679726625,0.04510223
0.166995508,4.22931845,0.0,0.0679357256,0.679142991,0.0447410704
0.167495508,4.20028698,0.0,0.0675759621,0.678562228,0.0443825204
0.167995508,4.17146393,0.0,0.0672192821,0.677983668,0.0440265694
0.168495508,4.14284782,0.0,0.0668646954,0.677407941,0.0436731906
0.168995508,4.11443714,0.0,0.0665131614,0.676834371,0.0433223736
0.169495508,4.08623043,0.0,0.0661636772,0.676263597,0.0429740918
0.169995508,4.05822622,0.0,0.0658172156,0.675694935,0.0426283354
0.170495508,4.03042304,0.0,0.0654727608,0.675129033,0.0422850777
0.170995508,4.00281945,0.0,0.0651312991,0.674565199,0.0419443094
0.171495508,3.97541402,0.0,0.0647918015,0.674004089,0.0416060039
0.171995508,3.94820531,0.0,0.0644552683,0.673445002,0.0412701522
0.172495508,3.92119192,0.0,0.0641206568,0.672888604,0.040936728
