 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @ddiode7_1[id] 
 5.52800000e-05  5.52800000e-05 -1.41233334e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852777e-28 
 5.62800000e-05  5.62800000e-05 -1.85484678e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852776e-28 
 5.72800000e-05  5.72800000e-05  3.19305709e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53210781e-28 
 5.82800000e-05  5.82800000e-05 -7.90467576e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -2.49109405e-35 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01 -7.90467576e-37 
 5.92800000e-05  5.92800000e-05 -2.57812771e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852776e-28 
 6.02800000e-05  6.02800000e-05  2.71402758e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -7.77156117e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.07691634e-27 
 6.12800000e-05  6.12800000e-05  8.81951185e-26 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852778e-28 
 6.22800000e-05  6.22800000e-05 -2.75721250e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494776e-28 
 6.32800000e-05  6.32800000e-05  2.42825087e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852781e-28 
 6.42800000e-05  6.42800000e-05  7.32144076e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852779e-28 
 6.52800000e-05  6.52800000e-05 -2.97648080e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -1.11022302e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.53210774e-28 
 6.62800000e-05  6.62800000e-05  2.16073938e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00  6.80939381e-35 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  2.16073938e-36 
 6.72800000e-05  6.72800000e-05  9.27175986e-25 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852779e-28 
 6.82800000e-05  6.82800000e-05 -3.43231056e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -7.77156117e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  1.07691633e-27 
 6.92800000e-05  6.92800000e-05  2.22106317e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852780e-28 
 7.02800000e-05  7.02800000e-05  1.48724231e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -5.55111512e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  7.70494781e-28 
 7.12800000e-05  7.12800000e-05 -3.61345038e-24 -9.00000000e+00 -1.55293975e+00 -8.99999431e+00 -3.33066907e-16 -7.91174098e-01 -1.20767574e-01 -8.08234107e-01  4.61852775e-28 
