time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
1.68534122,7.99999906,7.88364701,7.47731362,11.9920952,12.0,11.3025986,9.0745366,5.69270471,10.6689158,1.48942937,5.4559063e-05
1.68534186,7.99999906,7.88365081,7.47731747,11.992095,12.0,11.3025788,8.6352868,5.69515429,10.6665838,1.48694968,5.45590069e-05
1.68534249,7.99999906,7.88365454,7.47732125,11.9920952,12.0,11.302599,9.04562136,5.69754988,10.669262,1.48948257,5.45589535e-05
1.68534343,7.99999906,7.8836602,7.47732698,11.992095,12.0,11.3025785,8.66294604,5.70119396,10.6667725,1.48677283,5.45588712e-05
1.6853449,7.99999906,7.883669,7.47733589,11.9920952,12.0,11.3025991,9.03511683,5.70684071,10.6695304,1.48918844,5.4558743e-05
1.68534719,7.99999906,7.88368266,7.47734974,11.992095,12.0,11.3025784,8.679654,5.7156143,10.6672037,1.48633016,5.45585452e-05
1.68535107,7.99999906,7.88370587,7.47737324,11.9920952,12.0,11.3025992,9.0411974,5.73047153,10.6702286,1.48845256,5.45582087e-05
1.68535884,7.99999906,7.88375227,7.47742026,11.992095,12.0,11.3025784,8.70506964,5.76009572,10.6685278,1.48494761,5.45575346e-05
1.68537437,7.99999906,7.88384508,7.47751428,11.9920952,12.0,11.3025992,9.08386347,5.81891061,10.6728696,1.48568447,5.45561879e-05
1.68540544,7.99999906,7.8840307,7.47770233,11.992095,12.0,11.3025784,8.79325777,5.93489981,10.6738059,1.47942424,5.45534939e-05
1.68542109,7.99999906,7.88412417,7.47779702,11.9920952,12.0,11.3025992,9.16987389,5.99247498,10.6781517,1.48015282,5.45521374e-05
1.68543456,7.99999906,7.88420468,7.47787858,11.992095,12.0,11.3025784,8.84773251,6.04163598,10.6770941,1.47598317,5.45509692e-05
1.68545426,7.99999906,7.8843224,7.47799783,11.9920952,12.0,11.3025992,9.22902973,6.11278592,10.6818914,1.47623613,5.454926e-05
1.68547481,7.99999906,7.88444517,7.47812221,11.992095,12.0,11.3025784,8.92075222,6.18609709,10.6816256,1.47123826,5.45474785e-05
1.68551591,7.99999906,7.88469069,7.47837095,11.9920952,12.0,11.3025992,9.33705187,6.32998323,10.6888116,1.46898354,5.45439144e-05
1.68556591,7.99999906,7.88498937,7.47867353,11.992095,12.0,11.3025784,9.0781817,6.50025117,10.6918224,1.46055081,5.45395807e-05
1.68561591,7.99999906,7.88528803,7.47897609,11.9920952,12.0,11.3025992,9.50444542,6.66539656,10.699958,1.45728869,5.45352453e-05
1.68566591,7.99999906,7.88558667,7.47927863,11.992095,12.0,11.3025784,9.24116698,6.82559226,10.7029244,1.44890274,5.45309108e-05
1.68571591,7.99999906,7.88588528,7.47958115,11.9920952,12.0,11.3025992,9.66192,6.98096811,10.7110087,1.44568008,5.45265773e-05
1.68576591,7.99999906,7.88618387,7.47988365,11.992095,12.0,11.3025784,9.39452717,7.13168759,10.7139316,1.43734118,5.45222444e-05
1.68581591,7.99999906,7.88648244,7.48018612,11.9920952,12.0,11.3025992,9.81006263,7.27787184,10.721965,1.43415778,5.45179096e-05
1.68586591,7.99999906,7.88678099,7.48048858,11.992095,12.0,11.3025783,9.53883167,7.41967567,10.7248448,1.42586563,5.45135773e-05
1.68591591,7.99999906,7.88707951,7.48079101,11.9920952,12.0,11.3025992,9.94942536,7.55721205,10.7328277,1.42272124,5.45092449e-05
1.68596591,7.99999906,7.88737802,7.48109342,11.992095,12.0,11.3025783,9.67461616,7.69062763,10.7356648,1.41447555,5.45049128e-05
1.68601591,7.99999906,7.8876765,7.4813958,11.9920952,12.0,11.3025992,10.0805276,7.82002772,10.7435977,1.41136996,5.45005802e-05
1.68606591,7.99999906,7.88797496,7.48169817,11.992095,12.0,11.3025783,9.80238466,7.94555127,10.7463925,1.40317041,5.44962494e-05
1.68611591,7.99999906,7.8882734,7.48200051,11.9920952,12.0,11.3025992,10.2038579,8.06729636,10.7542757,1.40010339,5.44919175e-05
1.68616591,7.99999906,7.88857181,7.48230283,11.992095,12.0,11.3025783,9.92261135,8.18539474,10.7570285,1.39194969,5.44875868e-05
1.68621591,7.99999906,7.88887021,7.48260513,11.9920952,12.0,11.3025992,10.3198761,8.29993768,10.7648626,1.38892102,5.44832556e-05
1.68626591,7.99999906,7.88916858,7.48290741,11.992095,12.0,11.3025783,10.0357423,8.41105012,10.7675737,1.38081286,5.44789253e-05
1.68631591,7.99999906,7.88946693,7.48320967,11.9920952,12.0,11.3025992,10.4290148,8.51881695,10.7753591,1.37782232,5.44745954e-05
1.68636591,7.99999906,7.88976525,7.4835119,11.992095,12.0,11.3025783,10.1421974,8.62335672,10.7780289,1.3697594,5.44702655e-05
1.68641591,7.99999906,7.89006356,7.48381411,11.9920952,12.0,11.3025992,10.531681,8.72474828,10.785766,1.36680676,5.44659353e-05
1.68646591,7.99999906,7.89036185,7.4841163,11.992095,12.0,11.3025783,10.2423714,8.82310419,10.7883949,1.3587888,5.44616075e-05
1.68651591,7.99999906,7.89066011,7.48441847,11.9920952,12.0,11.3025992,10.6282574,8.91849762,10.7960841,1.35587383,5.44572774e-05
