 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 1.70856553e-02  1.70856553e-02  1.80000000e+01  9.10251578e+00  9.07564170e+00  1.68280359e+01  1.02516224e-01  1.64022696e-01  9.02924465e+00  8.15874025e+00 -4.42024930e-03 
 1.70956553e-02  1.70956553e-02  1.80000000e+01  9.11309625e+00  9.07953707e+00  1.68270966e+01  1.13096807e-01  1.67924269e-01  9.10316257e+00  8.13743375e+00  3.82913163e-03 
 1.71056553e-02  1.71056553e-02  1.80000000e+01  9.12323038e+00  9.07760240e+00  1.68297282e+01  1.23231049e-01  1.65986313e-01  9.06606310e+00  8.11974487e+00 -4.02581038e-03 
 1.71156553e-02  1.71156553e-02  1.80000000e+01  9.13287816e+00  9.07856417e+00  1.68291843e+01  1.32878954e-01  1.66949640e-01  9.08436926e+00  8.09893038e+00  3.45980823e-03 
 1.71256553e-02  1.71256553e-02  1.80000000e+01  9.14200151e+00  9.07812767e+00  1.68315441e+01  1.42002446e-01  1.66512233e-01  9.07568284e+00  8.08106627e+00 -3.67440614e-03 
 1.71356553e-02  1.71356553e-02  1.80000000e+01  9.15056444e+00  9.07832606e+00  1.68311919e+01  1.50565519e-01  1.66710970e-01  9.07950198e+00  8.06053980e+00  3.12783206e-03 
 1.71456553e-02  1.71456553e-02  1.80000000e+01  9.15853314e+00  9.07827668e+00  1.68333898e+01  1.58534380e-01  1.66661292e-01  9.07817349e+00  8.04260993e+00 -3.35673804e-03 
 1.71556553e-02  1.71556553e-02  1.80000000e+01  9.16587618e+00  9.07828034e+00  1.68331677e+01  1.65877577e-01  1.66664990e-01  9.07828274e+00  8.02230937e+00  2.82705093e-03 
 1.71656553e-02  1.71656553e-02  1.80000000e+01  9.17256456e+00  9.07832718e+00  1.68352405e+01  1.72566132e-01  1.66711700e-01  9.07879845e+00  8.00435004e+00 -3.06832976e-03 
 1.71756553e-02  1.71756553e-02  1.80000000e+01  9.17857190e+00  9.07828477e+00  1.68351249e+01  1.78573647e-01  1.66669238e-01  9.07801627e+00  7.98425122e+00  2.55390848e-03 
 1.71856553e-02  1.71856553e-02  1.80000000e+01  9.18387449e+00  9.07835202e+00  1.68370894e+01  1.83876413e-01  1.66736402e-01  9.07893781e+00  7.96627884e+00 -2.80615473e-03 
 1.71956553e-02  1.71956553e-02  1.80000000e+01  9.18845139e+00  9.07830206e+00  1.68370671e+01  1.88453503e-01  1.66686370e-01  9.07799600e+00  7.94636824e+00  2.30570552e-03 
 1.72056553e-02  1.72056553e-02  1.80000000e+01  9.19228455e+00  9.07837028e+00  1.68389344e+01  1.92286853e-01  1.66754508e-01  9.07895318e+00  7.92839334e+00 -2.56773477e-03 
 1.72156553e-02  1.72156553e-02  1.80000000e+01  9.19535884e+00  9.07832246e+00  1.68389958e+01  1.95361335e-01  1.66706614e-01  9.07803695e+00  7.90866087e+00  2.08012803e-03 
 1.72256553e-02  1.72256553e-02  1.80000000e+01  9.19766212e+00  9.07838693e+00  1.68407746e+01  1.97664814e-01  1.66771012e-01  9.07893911e+00  7.89069183e+00 -2.35088843e-03 
 1.72356553e-02  1.72356553e-02  1.80000000e+01  9.19918531e+00  9.07834342e+00  1.68409115e+01  1.99188201e-01  1.66727424e-01  9.07809091e+00  7.87112884e+00  1.87510879e-03 
 1.72456553e-02  1.72456553e-02  1.80000000e+01  9.19992239e+00  9.07840328e+00  1.68426096e+01  1.99925484e-01  1.66787206e-01  9.07892011e+00  7.85317297e+00 -2.15365107e-03 
 1.72556553e-02  1.72556553e-02  1.80000000e+01  9.19987046e+00  9.07836430e+00  1.68428147e+01  1.99873751e-01  1.66748151e-01  9.07814550e+00  7.83377174e+00  1.68877788e-03 
 1.72656553e-02  1.72656553e-02  1.80000000e+01  9.19902972e+00  9.07841963e+00  1.68444391e+01  1.99033209e-01  1.66803414e-01  9.07890234e+00  7.81583555e+00 -1.97424134e-03 
 1.72756553e-02  1.72756553e-02  1.80000000e+01  9.19740349e+00  9.07838494e+00  1.68447059e+01  1.97407173e-01  1.66768639e-01  9.07819772e+00  7.79658904e+00  1.51943765e-03 
 1.72856553e-02  1.72856553e-02  1.80000000e+01  9.19499818e+00  9.07843608e+00  1.68462628e+01  1.95002061e-01  1.66819706e-01  9.07888719e+00  7.77867840e+00 -1.81104090e-03 
 1.72956553e-02  1.72956553e-02  1.80000000e+01  9.19182329e+00  9.07840531e+00  1.68465852e+01  1.91827365e-01  1.66788862e-01  9.07824701e+00  7.75958020e+00  1.36554519e-03 
 1.73056553e-02  1.73056553e-02  1.80000000e+01  9.18789135e+00  9.07845261e+00  1.68480806e+01  1.87895615e-01  1.66836089e-01  9.07887481e+00  7.74170041e+00 -1.66257861e-03 
 1.73156553e-02  1.73156553e-02  1.80000000e+01  9.18321787e+00  9.07842542e+00  1.68484532e+01  1.83222326e-01  1.66808825e-01  9.07829342e+00  7.72274465e+00  1.22569786e-03 
 1.73256553e-02  1.73256553e-02  1.80000000e+01  9.17782131e+00  9.07846922e+00  1.68498921e+01  1.77825942e-01  1.66852551e-01  9.07886503e+00  7.70490048e+00 -1.52751698e-03 
 1.73356553e-02  1.73356553e-02  1.80000000e+01  9.17172295e+00  9.07844528e+00  1.68503099e+01  1.71727761e-01  1.66828542e-01  9.07833717e+00  7.68608178e+00  1.09862037e-03 
 1.73456553e-02  1.73456553e-02  1.80000000e+01  9.16494687e+00  9.07848589e+00  1.68516971e+01  1.64951848e-01  1.66869079e-01  9.07885766e+00  7.66827754e+00 -1.40463996e-03 
 1.73556553e-02  1.73556553e-02  1.80000000e+01  9.15751981e+00  9.07846492e+00  1.68521558e+01  1.57524946e-01  1.66848028e-01  9.07837846e+00  7.64959100e+00  9.83153184e-04 
