time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009)
0.000594803235,18.0,8.8877821,8.92038767,1.17512762,-0.112212084,0.0100561894,8.89211798,-8.49926899,-0.00539176944
0.000604803235,18.0,8.87760836,8.92269939,1.1718357,-0.122385942,0.0123718625,8.93647444,-8.48133585,0.00553195763
0.000614803235,18.0,8.86791763,8.92156091,1.17290924,-0.132076798,0.0112314907,8.91472777,-8.45909005,-0.00487882589
0.000624803235,18.0,8.85874816,8.92207101,1.169969,-0.141246407,0.011742682,8.92491176,-8.44090612,0.00504404695
0.000634803235,18.0,8.85013613,8.92184977,1.17078688,-0.149858582,0.0115210098,8.92057658,-8.41901647,-0.0044170323
0.000644803235,18.0,8.84211553,8.92189545,1.16806373,-0.157879333,0.011567025,8.92192889,-8.40071588,0.00460265041
0.000654803235,18.0,8.83471802,8.92190712,1.16870237,-0.165277007,0.011578652,8.92203552,-8.37910549,-0.00399842112
0.000664803235,18.0,8.82797279,8.92183836,1.16614999,-0.172022407,0.0115100291,8.92119056,-8.36073409,0.00420184378
0.000674803235,18.0,8.82190646,8.92190417,1.1666399,-0.178088914,0.0115758878,8.92234869,-8.33937196,-0.00361820031
0.000684803235,18.0,8.81654297,8.92181209,1.1642361,-0.183452585,0.0114838993,8.92103573,-8.32095146,0.00383749648
0.000694803235,18.0,8.81190348,8.92188577,1.16459483,-0.188092253,0.0115576589,8.92236645,-8.29981959,-0.00327265601
0.000704803235,18.0,8.80800632,8.92179367,1.16232467,-0.191989606,0.0114656383,8.9210292,-8.28136443,0.0035061823
0.000714803235,18.0,8.80486686,8.92186367,1.16256548,-0.195129265,0.011535724,8.92231137,-8.26044909,-0.00295858019
0.000724803235,18.0,8.80249748,8.92177712,1.16041675,-0.197498837,0.0114492407,8.92105728,-8.24197103,0.00320487238
0.000734803235,18.0,8.80090754,8.92184093,1.16055101,-0.199088971,0.0115131412,8.9222414,-8.22126039,-0.00267310025
0.000744803235,18.0,8.80010332,8.92176087,1.15851296,-0.199893393,0.0114331556,8.92109053,-8.2027697,0.0029308355
0.000754803235,18.0,8.80008799,8.92181832,1.15855079,-0.199908926,0.0114906892,8.92217138,-8.18225317,-0.00241361595
0.000764803235,18.0,8.8008616,8.92174456,1.15661374,-0.19913551,0.011416998,8.9211216,-8.16375904,0.00268159427
0.000774803235,18.0,8.80242111,8.92179603,1.15656432,-0.197576197,0.0114685507,8.92210485,-8.143427,-0.00217776613
0.000784803235,18.0,8.80476037,8.92172809,1.1547195,-0.195237142,0.0114006867,8.92114888,-8.12493775,0.00245489775
0.000794803235,18.0,8.80787013,8.92177408,1.15459115,-0.192127574,0.0114467539,8.92204243,-8.1047814,-0.00196340476
0.000804803235,18.0,8.81173813,8.92171147,1.15283057,-0.188259767,0.0113842186,8.92117226,-8.08630455,0.00224869972
0.000814803235,18.0,8.81634909,8.92175246,1.15263086,-0.183648984,0.0114252887,8.92198399,-8.06631589,-0.00176858083
0.000824803235,18.0,8.82168484,8.92169471,1.15094728,-0.178313423,0.0113676091,8.92119196,-8.04785822,0.00206113983
0.000834803235,18.0,8.82772429,8.92173115,1.15068308,-0.17227414,0.011404136,8.92192924,-8.02802991,-0.00159152046
0.000844803235,18.0,8.83444363,8.92167782,1.14906989,-0.16555497,0.011350877,8.92120831,-8.00959756,0.0018905266
0.000854803235,18.0,8.84181634,8.92171014,1.14874744,-0.15818243,0.0113832762,8.92187788,-7.9899229,-0.00143061084
0.000864803235,18.0,8.8498133,8.92166083,1.14719865,-0.150185617,0.0113340409,8.92122159,-7.97152141,0.00173532211
0.000874803235,18.0,8.85840298,8.9216894,1.14682364,-0.141596089,0.0113626905,8.9218296,-7.95199429,-0.00128438554
0.000884803235,18.0,8.86755146,8.92164376,1.14533379,-0.132447746,0.0113171177,8.9212321,-7.93362865,0.00159412803
0.000894803235,18.0,8.87722264,8.92166892,1.14491137,-0.122776692,0.011342362,8.92178414,-7.91424345,-0.00115151125
0.000904803235,18.0,8.88737835,8.92162661,1.14347551,-0.112621095,0.0113001231,8.9212401,-7.89591818,0.00146567298
0.000914803235,18.0,8.89797852,8.92164868,1.14301036,-0.102021034,0.0113222748,8.92174125,-7.87666976,-0.00103077569
0.000924803235,18.0,8.90898131,8.92160941,1.14162397,-0.0910183427,0.011283071,8.92124581,-7.85838892,0.00134880096
0.000934803235,18.0,8.92034329,8.92162867,1.14112037,-0.0796564433,0.0113024148,8.9217007,-7.83927258,-0.00092107664
0.000934959485,18.0,8.92052344,8.92162061,1.14098668,-0.0794763008,0.0112943535,8.921572,-7.83910002,-0.000292100311
0.000935271985,18.0,8.92088395,8.92161348,1.14085458,-0.0791157862,0.0112872221,8.9214606,-7.8386197,0.000251560722
0.000935896985,18.0,8.9216059,8.92192941,1.14668016,-0.0783938432,0.0116030862,8.92639924,-7.83157045,0.00157931581
0.000937146985,18.0,8.92305341,8.92330115,1.17841622,-0.0769463416,0.0129738745,8.94668843,-7.79739558,0.00357013276
0.000939646985,18.0,8.92596259,8.92615641,1.27989631,-0.0740371888,0.0158236877,8.98257876,-7.69108585,0.00483357095
0.000944646985,18.0,8.93183501,8.93197719,1.59704585,-0.0681648028,0.0216225861,9.03600444,-7.36455886,0.0080969727
0.000954646985,18.0,8.94377579,8.94386497,2.50780474,-0.0562240811,0.0334399318,9.09802417,-6.43664103,0.0104150229
0.000964646985,18.0,8.95593845,8.95600323,3.61607465,-0.0440614687,0.045488834,9.12942699,-5.3137952,0.0120099943
0.000974646985,18.0,8.96827499,8.96832197,4.80395466,-0.0317249658,0.0577107104,9.14999463,-4.11425009,0.0119814782
0.000984646985,18.0,8.98073673,8.98076818,6.02813449,-0.0192632589,0.0700567062,9.16647706,-2.88144884,0.0126609572
0.000994646985,18.0,8.99327447,8.99329209,7.27075163,-0.00672552878,0.0824787247,9.18112993,-1.6333131,0.0123088008
0.00100464699,18.0,9.00583874,9.00584328,8.52248968,0.00583874394,0.094927171,9.19466637,-0.379184802,0.0127646483
0.00101464699,18.0,9.01837996,9.0183716,9.77688467,0.0183799738,0.107352449,9.20729411,0.874465683,0.0123173082
0.00102464699,18.0,9.03084863,9.03082699,11.0284359,0.0308486663,0.11970496,9.21905017,2.12214643,0.0126300519
