time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.014028,5.0,0.0286731028,1.51368936,0.873662279,3.29135904,0.206065343
0.014128,5.0,0.0260445224,1.51273434,0.872691846,3.29045889,0.20454306
0.014228,5.0,0.0233131562,1.51180903,0.871737586,3.28875259,0.202220449
0.014328,5.0,0.0204897837,1.51091705,0.870803242,3.28624383,0.199103621
0.014428,5.0,0.0175855473,1.5100619,0.869892489,3.28294027,0.195202624
0.014528,5.0,0.0146119088,1.50924693,0.869008927,3.27885174,0.190529653
0.014628,5.0,0.0115806038,1.5084753,0.868156057,3.27399208,0.185100856
0.014728,5.0,0.00850359543,1.50775003,0.867337276,3.26837731,0.178934522
0.014828,5.0,0.00539302725,1.50707395,0.866555858,3.26202745,0.172052863
0.014928,5.0,0.00226117525,1.50644968,0.865814939,3.25496467,0.164480177
0.015028,5.0,-0.000879600567,1.50587964,0.865117508,3.24721503,0.156244596
0.015128,5.0,-0.00401690501,1.50536605,0.864466393,3.23880669,0.147376225
0.015228,5.0,-0.00713835656,1.50491089,0.863864246,3.22977157,0.137908851
0.015328,5.0,-0.0102316363,1.50451591,0.863313531,3.22014347,0.127878048
0.015428,5.0,-0.0132845364,1.50418265,0.862816517,3.2099598,0.117322855
0.015528,5.0,-0.0162850085,1.50391238,0.862375263,3.19925958,0.106283841
0.015628,5.0,-0.0192212112,1.50370614,0.86199161,3.18808517,0.0948047507
0.015728,5.0,-0.0220815565,1.50356473,0.861667169,3.17648025,0.0829305328
0.015828,5.0,-0.024854756,1.50348867,0.86140332,3.16449146,0.0707089575
0.015928,5.0,-0.0275298651,1.50347826,0.861201194,3.15216641,0.058188607
0.016028,5.0,-0.0300963264,1.50353353,0.861061679,3.13955526,0.0454204715
0.016128,5.0,-0.0325440113,1.50365419,0.860985494,3.12667235,0.0324196207
0.016228,5.0,-0.0348632598,1.50383981,0.860972978,3.11365672,0.0193255973
0.016328,5.0,-0.0370449189,1.50408973,0.861024138,3.10050562,0.00613591535
0.016428,5.0,-0.0390803787,1.50440294,0.861138846,3.08727599,-0.00709226313
0.016528,5.0,-0.0409616061,1.50477821,0.861316706,3.07402335,-0.0203033954
0.016628,5.0,-0.0426811768,1.50521409,0.861557052,3.06080348,-0.0334418388
0.016728,5.0,-0.0442323043,1.50570892,0.861858873,3.04770691,-0.0464174059
0.016828,5.0,-0.0456088672,1.50626074,0.862221024,3.03470098,-0.059263213
0.016928,5.0,-0.0468054326,1.50686735,0.862642182,3.02189747,-0.0718680447
0.017028,5.0,-0.0478172785,1.50752639,0.863120644,3.00934666,-0.0841824102
0.017128,5.0,-0.0486404113,1.50823532,0.863654479,2.99709817,-0.0961576548
0.017228,5.0,-0.0492715827,1.50899137,0.864241538,2.98520202,-0.107744868
0.017328,5.0,-0.0497083017,1.50979161,0.864879451,2.97370616,-0.118897325
0.017428,5.0,-0.0499488447,1.51063291,0.865565645,2.96265797,-0.12956905
0.017528,5.0,-0.0499922624,1.51151198,0.866297346,2.95210204,-0.139716976
0.017628,5.0,-0.0498383835,1.5124254,0.867071597,2.94208177,-0.149299338
0.017728,5.0,-0.0494878153,1.5133696,0.867885266,2.93263735,-0.158277734
0.017828,5.0,-0.0489419413,1.51434086,0.868735064,2.92380737,-0.166615449
0.017928,5.0,-0.0482029158,1.5153354,0.869617554,2.91562684,-0.17427947
0.018028,5.0,-0.0472736554,1.51634929,0.870529196,2.90811834,-0.181249291
0.018128,5.0,-0.0461578275,1.51737859,0.87146627,2.9013473,-0.187461683
0.018228,5.0,-0.0448598358,1.51841925,0.872424977,2.89529792,-0.192934707
0.018328,5.0,-0.0433848027,1.51946716,0.873401489,2.89001156,-0.197629301
0.018428,5.0,-0.0417385497,1.52051819,0.874391873,2.88550849,-0.201527582
0.018528,5.0,-0.0399275737,1.52156822,0.875392142,2.88180488,-0.204615832
0.018628,5.0,-0.0379590217,1.52261309,0.87639828,2.87891469,-0.206882538
0.018728,5.0,-0.0358406629,1.52364868,0.877406254,2.87684753,-0.208320598
0.018828,5.0,-0.0335808573,1.52467091,0.878412029,2.87561068,-0.208925255
0.018928,5.0,-0.0311885235,1.52567573,0.879411588,2.87520696,-0.208696221
0.019028,5.0,-0.0286731028,1.52665917,0.880400946,2.87563682,-0.207635558
0.019128,5.0,-0.0260445224,1.52761732,0.881376168,2.87689627,-0.205749759
0.019228,5.0,-0.0233131562,1.52854639,0.882333383,2.87897905,-0.203047593
0.019328,5.0,-0.0204897837,1.52944269,0.8832688,2.8818745,-0.199542157
0.019428,5.0,-0.0175855473,1.53030266,0.884178725,2.8855698,-0.195248692
0.019528,5.0,-0.0146119088,1.53112287,0.885059572,2.89004789,-0.190186604
0.019628,5.0,-0.0115806038,1.53190008,0.88590788,2.89528971,-0.184377264
0.019728,5.0,-0.00850359543,1.53263117,0.886720326,2.90127216,-0.177845993
0.019828,5.0,-0.00539302725,1.53331323,0.887493737,2.90797033,-0.170619849
0.019928,5.0,-0.00226117525,1.53394354,0.888225102,2.91535551,-0.162729587
0.020028,5.0,0.000879600567,1.53451959,0.888911584,2.92339747,-0.154207425
0.020128,5.0,0.00401690501,1.53503906,0.88955053,2.93206243,-0.145088986
0.020228,5.0,0.00713835656,1.53549988,0.890139481,2.94131536,-0.135411053
0.020328,5.0,0.0102316363,1.5359002,0.890676181,2.95111804,-0.125213484
0.020428,5.0,0.0132845364,1.53623841,0.891158586,2.96143131,-0.114536963
