 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 1.29450247e-06  1.29450247e-06  5.82139868e-03  1.00038637e+00  9.00000000e+00  4.50290684e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.32877225e-06  1.32877225e-06  5.97552439e-03  1.00039649e+00  9.00000000e+00  4.50298390e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.37564089e-06  1.37564089e-06  6.18629091e-03  1.00041033e+00  9.00000000e+00  4.50308928e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.42562666e-06  1.42562666e-06  6.41104849e-03  1.00042509e+00  9.00000000e+00  4.50320166e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.45264118e-06  1.45264118e-06  6.53250817e-03  1.00043306e+00  9.00000000e+00  4.50326239e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.47779118e-06  1.47779118e-06  6.64558149e-03  1.00044049e+00  9.00000000e+00  4.50331893e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.50298324e-06  1.50298324e-06  6.75884251e-03  1.00044792e+00  9.00000000e+00  4.50337556e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.52551487e-06  1.52551487e-06  6.86014252e-03  1.00045457e+00  9.00000000e+00  4.50342621e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.55177491e-06  1.55177491e-06  6.97820629e-03  1.00046232e+00  9.00000000e+00  4.50348524e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.57898304e-06  1.57898304e-06  7.10053478e-03  1.00047035e+00  9.00000000e+00  4.50354641e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.61791396e-06  1.61791396e-06  7.27557321e-03  1.00048184e+00  9.00000000e+00  4.50363392e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.65018866e-06  1.65018866e-06  7.42068757e-03  1.00049136e+00  9.00000000e+00  4.50370648e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.68090671e-06  1.68090671e-06  7.55880467e-03  1.00050042e+00  9.00000000e+00  4.50377554e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.71661197e-06  1.71661197e-06  7.71934630e-03  1.00051096e+00  9.00000000e+00  4.50385581e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.75629434e-06  1.75629434e-06  7.89776936e-03  1.00052267e+00  9.00000000e+00  4.50394502e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.79670596e-06  1.79670596e-06  8.07946849e-03  1.00053460e+00  9.00000000e+00  4.50403587e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.83346945e-06  1.83346945e-06  8.24476111e-03  1.00054545e+00  9.00000000e+00  4.50411852e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.87439518e-06  1.87439518e-06  8.42876232e-03  1.00055753e+00  9.00000000e+00  4.50421052e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.91964831e-06  1.91964831e-06  8.63221225e-03  1.00057089e+00  9.00000000e+00  4.50431224e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 1.97926761e-06  1.97926761e-06  8.90023819e-03  1.00058849e+00  9.00000000e+00  4.50444626e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.01882863e-06  2.01882863e-06  9.07808278e-03  1.00060016e+00  9.00000000e+00  4.50453518e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.05903006e-06  2.05903006e-06  9.25880134e-03  1.00061203e+00  9.00000000e+00  4.50462554e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.10346112e-06  2.10346112e-06  9.45852861e-03  1.00062514e+00  9.00000000e+00  4.50472540e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
 2.15583745e-06  2.15583745e-06  9.69396625e-03  1.00064060e+00  9.00000000e+00  4.50484312e+00  8.52024994e+00  7.08287274e-01  7.81196267e-03 
