time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0513589152,7.99108957,-8.78213369,0.0123911161,-8.78365216,7.9915472,-8.77931807,0.823864977,0.417940224,7.99999156,8.0,0.0,1.23580074,-2.51659287e-08,-4.57625982e-06,-0.00019700397,6.54384106e-08
0.0514589152,7.99239763,-9.38728209,-0.00281055168,-9.3858363,7.99194994,-9.39016819,0.823904511,0.410442373,7.99999196,8.0,0.0,1.23586114,-9.57263278e-08,4.47690277e-06,0.000196904045,8.75772652e-08
0.0515589152,7.99108961,-9.97724044,0.0124582338,-9.97875775,7.99154691,-9.97442376,0.823864955,0.417973042,7.99999156,8.0,0.0,1.2358007,-2.48698956e-08,-4.57304982e-06,-0.000196999633,6.53553775e-08
0.0516589152,7.99239746,-10.56328,-0.0012855497,-10.5618314,7.99194965,-10.5661633,0.823904707,0.411198449,7.99999196,8.0,0.0,1.23586131,-8.83725176e-08,4.47809766e-06,0.000196904131,8.50549417e-08
0.0517589152,7.99108965,-11.1329656,0.0125637337,-11.1344817,7.99154664,-11.1301478,0.823864938,0.418024866,7.99999156,8.0,0.0,1.23580067,-2.4399589e-08,-4.56993943e-06,-0.000196995431,6.52245185e-08
0.0518589152,7.9923973,-11.6975948,5.93431357e-05,-11.6961437,7.99194938,-11.7004756,0.823904872,0.411864739,7.99999196,8.0,0.0,1.23586145,-8.19564021e-08,4.47925952e-06,0.000196904217,8.28924121e-08
0.0519589152,7.99108969,-12.2447481,0.0127046795,-12.246263,7.99154638,-12.2419292,0.823864927,0.418094207,7.99999155,8.0,0.0,1.23580064,-2.37692979e-08,-4.56690995e-06,-0.00019699134,6.50498653e-08
0.0520589152,7.99239715,-12.7857501,0.00126046306,-12.7842967,7.99194911,-12.7886286,0.823905014,0.412459965,7.99999196,8.0,0.0,1.23586157,-7.626364e-08,4.48039845e-06,0.000196904309,8.10070558e-08
0.0521589152,7.99108973,-13.3082002,0.0128774141,-13.3097139,7.99154613,-13.3053802,0.82386492,0.41817924,7.99999155,8.0,0.0,1.23580062,-2.29960625e-08,-4.56394662e-06,-0.000196987343,6.48363458e-08
0.0522589152,7.99239701,-13.8234514,0.00235022955,-13.821996,7.99194886,-13.8263279,0.823905138,0.412999603,7.99999196,8.0,0.0,1.23586167,-7.11398936e-08,4.481522e-06,0.000196904411,7.93348434e-08
0.0523589152,7.99108979,-14.319125,0.013078598,-14.3206374,7.99154589,-14.3163038,0.823864918,0.418278299,7.99999155,8.0,0.0,1.23580061,-2.2095306e-08,-4.56103758e-06,-0.000196983424,6.45885005e-08
