 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 1.83364317e-03  1.83364317e-03  9.09368751e+00  9.72736141e+00  9.46360037e+00  1.15552685e+01  8.54008098e+00  9.32428801e+00  8.80418613e-01  5.01002942e-01  8.00053954e+00  8.00000000e+00  0.00000000e+00  1.32062909e+00  3.04700878e-06  5.53606570e-03  1.01408211e-01  2.34815292e-08 
 1.93364317e-03  1.93364317e-03  9.55696509e+00  1.01930524e+01  9.88617835e+00  1.21083566e+01  8.97730295e+00  9.76454408e+00  9.25490115e-01  5.23535954e-01  8.00097633e+00  8.00000000e+00  0.00000000e+00  1.38823798e+00  7.33067265e-06  5.79662568e-03  1.06537019e-01  5.61259185e-08 
 2.03364317e-03  2.03364317e-03  1.00387929e+01  1.06761849e+01  1.03234813e+01  1.26494952e+01  9.44268505e+00  1.02315834e+01  9.73459964e-01  5.47519644e-01  8.00144124e+00  8.00000000e+00  0.00000000e+00  1.46019704e+00  1.86517093e-05  5.96117908e-03  1.09906782e-01  1.41876410e-07 
 2.13364317e-03  2.13364317e-03  1.05191411e+01  1.11575662e+01  1.07586022e+01  1.31781503e+01  9.91162230e+00  1.07020422e+01  1.02178435e+00  5.71681303e-01  8.00190971e+00  8.00000000e+00  0.00000000e+00  1.53269457e+00  4.77953961e-05  6.07521645e-03  1.12550557e-01  3.61095948e-07 
 2.23364317e-03  2.23364317e-03  1.09827509e+01  1.16217881e+01  1.11779586e+01  1.36938001e+01  1.03667670e+01  1.11584370e+01  1.06865872e+00  5.95118279e-01  8.00236440e+00  8.00000000e+00  0.00000000e+00  1.60303276e+00  1.19012900e-04  6.15985106e-03  1.15243864e-01  8.93627800e-07 
 2.33364317e-03  2.33364317e-03  1.14119758e+01  1.20515781e+01  1.15660882e+01  1.41959358e+01  1.07898859e+01  1.15834131e+01  1.11217357e+00  6.16875617e-01  8.00278710e+00  8.00000000e+00  0.00000000e+00  1.66836393e+00  2.77380677e-04  6.22090741e-03  1.18752267e-01  2.07244983e-06 
 2.43364317e-03  2.43364317e-03  1.17870507e+01  1.24269039e+01  1.19049866e+01  1.46840619e+01  1.11610216e+01  1.19569602e+01  1.15023331e+00  6.35905453e-01  8.00315786e+00  8.00000000e+00  0.00000000e+00  1.72556597e+00  5.80599366e-04  6.26029812e-03  1.23962900e-01  4.32526406e-06 
 2.53364317e-03  2.53364317e-03  1.20952769e+01  1.27353501e+01  1.21835608e+01  1.51576965e+01  1.14672685e+01  1.22667436e+01  1.18148404e+00  6.51530804e-01  8.00346380e+00  8.00000000e+00  0.00000000e+00  1.77262108e+00  1.06265272e-03  6.28008916e-03  1.31411142e-01  7.91364068e-06 
 2.63364317e-03  2.63364317e-03  1.23393254e+01  1.29793815e+01  1.24040761e+01  1.56163723e+01  1.17108531e+01  1.25144703e+01  1.20616229e+00  6.63869923e-01  8.00370715e+00  8.00000000e+00  0.00000000e+00  1.80988015e+00  1.70892753e-03  6.28472603e-03  1.40997986e-01  1.27514947e-05 
 2.73364317e-03  2.73364317e-03  1.25314161e+01  1.31714829e+01  1.25778279e+01  1.60596367e+01  1.19034744e+01  1.27117975e+01  1.22550146e+00  6.73539506e-01  8.00389957e+00  8.00000000e+00  0.00000000e+00  1.83917807e+00  2.47482204e-03  6.27941819e-03  1.52175125e-01  1.85319845e-05 
 2.83364317e-03  2.83364317e-03  1.26849228e+01  1.33248554e+01  1.27166955e+01  1.64870521e+01  1.20580834e+01  1.28711122e+01  1.24086534e+00  6.81221442e-01  8.00405403e+00  8.00000000e+00  0.00000000e+00  1.86254454e+00  3.31554682e-03  6.26839412e-03  1.64360986e-01  2.49406855e-05 
 2.93364317e-03  2.93364317e-03  1.28101374e+01  1.34500034e+01  1.28301552e+01  1.68981968e+01  1.21846962e+01  1.30024567e+01  1.25330951e+00  6.87443526e-01  8.00418052e+00  8.00000000e+00  0.00000000e+00  1.88155012e+00  4.19561641e-03  6.25441171e-03  1.77079108e-01  3.17236131e-05 
 3.03364317e-03  3.03364317e-03  1.29144220e+01  1.35541263e+01  1.29246713e+01  1.72926650e+01  1.22905058e+01  1.31127234e+01  1.26359181e+00  6.92584676e-01  8.00428622e+00  8.00000000e+00  0.00000000e+00  1.89732250e+00  5.09033176e-03  6.23916218e-03  1.89997404e-01  3.86996523e-05 
 3.13364317e-03  3.13364317e-03  1.30027724e+01  1.36423906e+01  1.30049056e+01  1.76700675e+01  1.23804099e+01  1.32069195e+01  1.27222937e+00  6.96903457e-01  8.00437603e+00  8.00000000e+00  0.00000000e+00  1.91063055e+00  5.98181794e-03  6.22362596e-03  2.02870483e-01  4.57323131e-05 
 3.23364317e-03  3.23364317e-03  1.30824955e+01  1.37219584e+01  1.30772748e+01  1.80300317e+01  1.24616422e+01  1.32921500e+01  1.27998839e+00  7.00782965e-01  8.00445719e+00  8.00000000e+00  0.00000000e+00  1.92261217e+00  6.91478139e-03  6.20856476e-03  2.15758893e-01  5.31328988e-05 
 3.33364317e-03  3.33364317e-03  1.31472021e+01  1.37865785e+01  1.31361631e+01  1.83722024e+01  1.25278309e+01  1.33620960e+01  1.28619194e+00  7.03884738e-01  8.00452331e+00  8.00000000e+00  0.00000000e+00  1.93226314e+00  7.75161830e-03  6.19372177e-03  2.28094143e-01  5.99025059e-05 
 3.43364317e-03  3.43364317e-03  1.32045398e+01  1.38437749e+01  1.31884002e+01  1.86962421e+01  1.25865547e+01  1.34242387e+01  1.29164401e+00  7.06610773e-01  8.00458197e+00  8.00000000e+00  0.00000000e+00  1.94077681e+00  8.56584854e-03  6.17987665e-03  2.39940116e-01  6.65606416e-05 
 3.53364317e-03  3.53364317e-03  1.32551391e+01  1.38942975e+01  1.32345416e+01  1.90018307e+01  1.26384499e+01  1.34793451e+01  1.29641277e+00  7.08995156e-01  8.00463382e+00  8.00000000e+00  0.00000000e+00  1.94825399e+00  9.34582906e-03  6.16689877e-03  2.51299424e-01  7.29883203e-05 
 3.63364317e-03  3.63364317e-03  1.33000208e+01  1.39390567e+01  1.32755120e+01  1.92886669e+01  1.26845325e+01  1.35283375e+01  1.30060665e+00  7.11092095e-01  8.00467985e+00  8.00000000e+00  0.00000000e+00  1.95485526e+00  1.00847231e-02  6.15490302e-03  2.62062452e-01  7.91521673e-05 
 3.73364317e-03  3.73364317e-03  1.33398893e+01  1.39788596e+01  1.33119460e+01  1.95564675e+01  1.27255062e+01  1.35720172e+01  1.30430157e+00  7.12939553e-01  8.00472079e+00  8.00000000e+00  0.00000000e+00  1.96069264e+00  1.07823447e-02  6.14383622e-03  2.72224658e-01  8.50125863e-05 
 3.83364317e-03  3.83364317e-03  1.33753262e+01  1.40141927e+01  1.33443515e+01  1.98049682e+01  1.27619535e+01  1.36108987e+01  1.30756016e+00  7.14568851e-01  8.00475720e+00  8.00000000e+00  0.00000000e+00  1.96585863e+00  1.14336278e-02  6.13374116e-03  2.81714236e-01  9.05400161e-05 
 3.93364317e-03  3.93364317e-03  1.34067619e+01  1.40455743e+01  1.33731328e+01  2.00339238e+01  1.27943065e+01  1.36454894e+01  1.31042962e+00  7.16003580e-01  8.00478952e+00  8.00000000e+00  0.00000000e+00  1.97042255e+00  1.20382483e-02  6.12455799e-03  2.90526922e-01  9.57041843e-05 
 4.03364317e-03  4.03364317e-03  1.34345620e+01  1.40732884e+01  1.33985933e+01  2.02431083e+01  1.28229327e+01  1.36761049e+01  1.31294985e+00  7.17263694e-01  8.00481811e+00  8.00000000e+00  0.00000000e+00  1.97444312e+00  1.25929593e-02  6.11630249e-03  2.98613456e-01  1.00482247e-04 
 4.13364317e-03  4.13364317e-03  1.34589972e+01  1.40976810e+01  1.34210005e+01  2.04323154e+01  1.28481053e+01  1.37030774e+01  1.31515111e+00  7.18364323e-01  8.00484326e+00  8.00000000e+00  0.00000000e+00  1.97796457e+00  1.30973259e-02  6.10892185e-03  3.05969297e-01  1.04850344e-04 
 4.23364317e-03  4.23364317e-03  1.34803043e+01  1.41189190e+01  1.34405385e+01  2.06013582e+01  1.28700629e+01  1.37266046e+01  1.31705957e+00  7.19318552e-01  8.00486520e+00  8.00000000e+00  0.00000000e+00  1.98102528e+00  1.35492297e-02  6.10241961e-03  3.12560585e-01  1.08790806e-04 
 4.33364317e-03  4.33364317e-03  1.34986563e+01  1.41372396e+01  1.34573887e+01  2.07500699e+01  1.28889810e+01  1.37469083e+01  1.31869493e+00  7.20136236e-01  8.00488410e+00  8.00000000e+00  0.00000000e+00  1.98365391e+00  1.39482184e-02  6.09675405e-03  3.18382652e-01  1.12285021e-04 
 4.43364317e-03  4.43364317e-03  1.35142075e+01  1.41527376e+01  1.34716616e+01  2.08783038e+01  1.29050155e+01  1.37641115e+01  1.32007447e+00  7.20826006e-01  8.00490012e+00  8.00000000e+00  0.00000000e+00  1.98587568e+00  1.42929225e-02  6.09192355e-03  3.23412687e-01  1.15319741e-04 
 4.53364317e-03  4.53364317e-03  1.35270669e+01  1.41655768e+01  1.34834801e+01  2.09859334e+01  1.29182772e+01  1.37783618e+01  1.32121083e+00  7.21394186e-01  8.00491336e+00  8.00000000e+00  0.00000000e+00  1.98770890e+00  1.45829308e-02  6.08789781e-03  3.27646347e-01  1.17881024e-04 
 4.63364317e-03  4.63364317e-03  1.35373325e+01  1.41758042e+01  1.34929063e+01  2.10728524e+01  1.29288653e+01  1.37897312e+01  1.32211507e+00  7.21846303e-01  8.00492394e+00  8.00000000e+00  0.00000000e+00  1.98916968e+00  1.48174055e-02  6.08467375e-03  3.31069123e-01  1.19959692e-04 
 4.73364317e-03  4.73364317e-03  1.35450681e+01  1.41835305e+01  1.35000206e+01  2.11389750e+01  1.29368449e+01  1.37983143e+01  1.32279472e+00  7.22186128e-01  8.00493191e+00  8.00000000e+00  0.00000000e+00  1.99026887e+00  1.49960169e-02  6.08223162e-03  3.33677503e-01  1.21546178e-04 
 4.83364317e-03  4.83364317e-03  1.35503299e+01  1.41887687e+01  1.35048505e+01  2.11842360e+01  1.29422731e+01  1.38041450e+01  1.32325615e+00  7.22416843e-01  8.00493734e+00  8.00000000e+00  0.00000000e+00  1.99101574e+00  1.51183313e-02  6.08056901e-03  3.35463516e-01  1.22635218e-04 
