 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 3.09166216e-04  3.09166216e-04  1.80000000e+01  9.04658353e+00  9.04652606e+00  1.37326049e+01  4.65846128e-02  1.35164164e-01  9.03216446e+00  4.48632119e+00 -1.09411711e-03 
 3.19166216e-04  3.19166216e-04  1.80000000e+01  9.04535113e+00  9.04529543e+00  1.36249592e+01  4.53522604e-02  1.33942132e-01  9.02813651e+00  4.36761990e+00 -1.27626578e-03 
 3.29166216e-04  3.29166216e-04  1.80000000e+01  9.04393975e+00  9.04388606e+00  1.34990326e+01  4.39409232e-02  1.32542868e-01  9.02399725e+00  4.23095866e+00 -1.45341592e-03 
 3.39166216e-04  3.39166216e-04  1.80000000e+01  9.04235495e+00  9.04230349e+00  1.33553200e+01  4.23561714e-02  1.30971873e-01  9.01976300e+00  4.07687669e+00 -1.62479587e-03 
 3.49166216e-04  3.49166216e-04  1.80000000e+01  9.04060300e+00  9.04055395e+00  1.31943868e+01  4.06042590e-02  1.29235330e-01  9.01545044e+00  3.90598199e+00 -1.78979821e-03 
 3.59166216e-04  3.59166216e-04  1.80000000e+01  9.03869080e+00  9.03864433e+00  1.30168663e+01  3.86921002e-02  1.27340076e-01  9.01107662e+00  3.71894902e+00 -1.94770298e-03 
 3.69166216e-04  3.69166216e-04  1.80000000e+01  9.03662590e+00  9.03658215e+00  1.28234576e+01  3.66272414e-02  1.25293576e-01  9.00665881e+00  3.51651617e+00 -2.09794916e-03 
 3.79166216e-04  3.79166216e-04  1.80000000e+01  9.03441646e+00  9.03437553e+00  1.26149225e+01  3.44178316e-02  1.23103897e-01  9.00221447e+00  3.29948282e+00 -2.23987925e-03 
 3.89166216e-04  3.89166216e-04  1.80000000e+01  9.03207118e+00  9.03203318e+00  1.23920831e+01  3.20725903e-02  1.20779672e-01  8.99776119e+00  3.06870625e+00 -2.37298986e-03 
 3.99166216e-04  3.99166216e-04  1.80000000e+01  9.02959934e+00  9.02956434e+00  1.21558180e+01  2.96007731e-02  1.18330068e-01  8.99331656e+00  2.82509827e+00 -2.49669572e-03 
 4.09166216e-04  4.09166216e-04  1.80000000e+01  9.02701067e+00  9.02697875e+00  1.19070592e+01  2.70121353e-02  1.15764750e-01  8.98889817e+00  2.56962157e+00 -2.61056089e-03 
 4.19166216e-04  4.19166216e-04  1.80000000e+01  9.02431540e+00  9.02428661e+00  1.16467881e+01  2.43168928e-02  1.13093842e-01  8.98452350e+00  2.30328597e+00 -2.71408081e-03 
 4.29166216e-04  4.29166216e-04  1.80000000e+01  9.02152417e+00  9.02149854e+00  1.13760319e+01  2.15256827e-02  1.10327887e-01  8.98020984e+00  2.02714434e+00 -2.80689540e-03 
 4.39166216e-04  4.39166216e-04  1.80000000e+01  9.01864799e+00  9.01862556e+00  1.10958594e+01  1.86495206e-02  1.07477803e-01  8.97597425e+00  1.74228849e+00 -2.88858772e-03 
 4.49166216e-04  4.49166216e-04  1.80000000e+01  9.01569821e+00  9.01567901e+00  1.08073766e+01  1.56997573e-02  1.04554846e-01  8.97183348e+00  1.44984479e+00 -2.95888050e-03 
 4.59166216e-04  4.59166216e-04  1.80000000e+01  9.01268647e+00  9.01267052e+00  1.05117227e+01  1.26880343e-02  1.01570556e-01  8.96780391e+00  1.15096970e+00 -3.01744995e-03 
 4.69166216e-04  4.69166216e-04  1.80000000e+01  9.00962466e+00  9.00961198e+00  1.02100650e+01  9.62623737e-03  9.85367198e-02  8.96390146e+00  8.46845196e-01 -3.06410695e-03 
 4.79166216e-04  4.79166216e-04  1.80000000e+01  9.00652487e+00  9.00651546e+00  9.90359499e+00  6.52645009e-03  9.54653187e-02  8.96014156e+00  5.38674083e-01 -3.09862494e-03 
 4.89166216e-04  4.89166216e-04  1.80000000e+01  9.00339932e+00  9.00339319e+00  9.59352296e+00  3.40090590e-03  9.23684838e-02  8.95653906e+00  2.27675213e-01 -3.12090683e-03 
 4.99166216e-04  4.99166216e-04  1.80000000e+01  9.00026035e+00  9.00025751e+00  9.28107359e+00  2.61939880e-04  8.92584466e-02  8.95310821e+00 -8.49213418e-02 -3.13082589e-03 
 5.09166216e-04  5.09166216e-04  1.80000000e+01  8.99712035e+00  8.99712081e+00  8.96748098e+00 -2.87805989e-03  8.61474915e-02  8.94986256e+00 -3.97879160e-01 -3.12837941e-03 
 5.19166216e-04  5.19166216e-04  1.80000000e+01  8.99399171e+00  8.99399546e+00  8.65398375e+00 -6.00670128e-03  8.30479063e-02  8.94681494e+00 -7.09960372e-01 -3.11354158e-03 
 5.29166216e-04  5.29166216e-04  1.80000000e+01  8.99088679e+00  8.99089382e+00  8.34182020e+00 -9.11163696e-03  7.99719341e-02  8.94397738e+00 -1.01993056e+00 -3.08640492e-03 
 5.39166216e-04  5.39166216e-04  1.80000000e+01  8.98781782e+00  8.98782814e+00  8.03222333e+00 -1.21806132e-02  7.69317245e-02  8.94136109e+00 -1.32656365e+00 -3.04704412e-03 
 5.49166216e-04  5.49166216e-04  1.80000000e+01  8.98479693e+00  8.98481052e+00  7.72641598e+00 -1.52015181e-02  7.39392858e-02  8.93897640e+00 -1.62864677e+00 -2.99564620e-03 
 5.59166216e-04  5.59166216e-04  1.80000000e+01  8.98183603e+00  8.98185289e+00  7.42560603e+00 -1.81624295e-02  7.10064370e-02  8.93683273e+00 -1.92498504e+00 -2.93238450e-03 
 5.69166216e-04  5.69166216e-04  1.80000000e+01  8.97894682e+00  8.97896692e+00  7.13098154e+00 -2.10516621e-02  6.81447612e-02  8.93493853e+00 -2.21440634e+00 -2.85753831e-03 
 5.79166216e-04  5.79166216e-04  1.80000000e+01  8.97614069e+00  8.97616402e+00  6.84370612e+00 -2.38578135e-02  6.53655599e-02  8.93330128e+00 -2.49576590e+00 -2.77137621e-03 
 5.89166216e-04  5.89166216e-04  1.80000000e+01  8.97342872e+00  8.97345525e+00  6.56491424e+00 -2.65698089e-02  6.26798076e-02  8.93192743e+00 -2.76795091e+00 -2.67426610e-03 
 5.99166216e-04  5.99166216e-04  1.80000000e+01  8.97082161e+00  8.97085131e+00  6.29570679e+00 -2.91769455e-02  6.00981088e-02  8.93082238e+00 -3.02988486e+00 -2.56656699e-03 
 6.09166216e-04  6.09166216e-04  1.80000000e+01  8.96832965e+00  8.96836247e+00  6.03714667e+00 -3.16689340e-02  5.76306556e-02  8.92999047e+00 -3.28053189e+00 -2.44873023e-03 
 6.19166216e-04  6.19166216e-04  1.80000000e+01  8.96596268e+00  8.96599856e+00  5.79025459e+00 -3.40359397e-02  5.52871873e-02  8.92943497e+00 -3.51890082e+00 -2.32119910e-03 
 6.29166216e-04  6.29166216e-04  1.80000000e+01  8.96373004e+00  8.96376891e+00  5.55600502e+00 -3.62686210e-02  5.30769517e-02  8.92915803e+00 -3.74404917e+00 -2.18450188e-03 
 6.39166216e-04  6.39166216e-04  1.80000000e+01  8.96164053e+00  8.96168231e+00  5.33532230e+00 -3.83581667e-02  5.10086681e-02  8.92916070e+00 -3.95508685e+00 -2.03915857e-03 
 6.49166216e-04  6.49166216e-04  1.80000000e+01  8.95970240e+00  8.95974700e+00  5.12907699e+00 -4.02963302e-02  4.90904933e-02  8.92944293e+00 -4.15117971e+00 -1.88576647e-03 
 6.59166216e-04  6.59166216e-04  1.80000000e+01  8.95792331e+00  8.95797060e+00  4.93808237e+00 -4.20754626e-02  4.73299885e-02  8.93000357e+00 -4.33155286e+00 -1.72491354e-03 
 6.69166216e-04  6.69166216e-04  1.80000000e+01  8.95631028e+00  8.95636012e+00  4.76309129e+00 -4.36885422e-02  4.57340900e-02  8.93084032e+00 -4.49549372e+00 -1.55725687e-03 
 6.79166216e-04  6.79166216e-04  1.80000000e+01  8.95486966e+00  8.95492188e+00  4.60479313e+00 -4.51292032e-02  4.43090818e-02  8.93194985e+00 -4.64235487e+00 -1.38344226e-03 
 6.89166216e-04  6.89166216e-04  1.80000000e+01  8.95360715e+00  8.95366156e+00  4.46381115e+00 -4.63917598e-02  4.30605707e-02  8.93332772e+00 -4.77155652e+00 -1.20417611e-03 
 6.99166216e-04  6.99166216e-04  1.80000000e+01  8.95252773e+00  8.95258410e+00  4.34070003e+00 -4.74712294e-02  4.19934656e-02  8.93496843e+00 -4.88258883e+00 -1.02015073e-03 
 7.09166216e-04  7.09166216e-04  1.80000000e+01  8.95163565e+00  8.95169375e+00  4.23594376e+00 -4.83633517e-02  4.11119578e-02  8.93686548e+00 -4.97501384e+00 -8.32110242e-04 
 7.19166216e-04  7.19166216e-04  1.80000000e+01  8.95093445e+00  8.95099398e+00  4.14995380e+00 -4.90646059e-02  4.04195066e-02  8.93901134e+00 -5.04846709e+00 -6.40781235e-04 
 7.29166216e-04  7.29166216e-04  1.80000000e+01  8.95042688e+00  8.95048755e+00  4.08306758e+00 -4.95722246e-02  3.99188259e-02  8.94139753e+00 -5.10265896e+00 -4.46933270e-04 
