time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.295230326,5.0,4.27397406,4.27574294,0.91890255,0.0863123664,-3.48080686,0.364899073
0.295230421,5.0,4.27389303,4.27604113,0.963999884,0.0730913003,-3.49402011,0.410025558
0.295230611,5.0,4.27391323,4.27575611,0.92081835,0.0763918478,-3.49070394,0.366902328
0.295230836,5.0,4.27386065,4.27604785,0.965131505,0.0678063411,-3.499271,0.411284211
0.295231145,5.0,4.27390405,4.27575813,0.921206206,0.0748973055,-3.49215466,0.367453553
0.295231562,5.0,4.27385913,4.27604967,0.965181565,0.067554419,-3.49946321,0.411556821
0.295232355,5.0,4.27390414,4.27576053,0.921199163,0.0749133229,-3.4920392,0.367817139
0.295233869,5.0,4.27385915,4.2760541,0.96514546,0.0675585897,-3.49926949,0.412227173
0.295236898,5.0,4.27390414,4.27576939,0.921148109,0.0749129952,-3.49166624,0.369157154
0.295242956,5.0,4.27385918,4.27607176,0.965033223,0.0675623555,-3.49851919,0.414896283
0.295255071,5.0,4.27390417,4.27580472,0.920928836,0.0749183857,-3.49016788,0.374497411
0.295279302,5.0,4.27385925,4.27614239,0.96459263,0.067574238,-3.4955218,0.425562101
0.295327764,5.0,4.27390431,4.27594591,0.920050857,0.074941674,-3.48417533,0.395781766
0.295424687,5.0,4.27385954,4.27642443,0.962843744,0.0676212905,-3.48354324,0.467936767
0.295618534,5.0,4.27390489,4.27650865,0.916584038,0.0750365192,-3.46024552,0.479764161
0.296006228,5.0,4.27386072,4.27754482,0.956030315,0.0678142237,-3.43579233,0.632882106
0.296781616,5.0,4.27390734,4.27872832,0.90342458,0.0754355217,-3.36517654,0.79796611
0.297781616,5.0,4.27386469,4.28093838,0.936904382,0.0684639485,-3.29160275,1.09415457
0.298781616,5.0,4.27391248,4.28256151,0.883219165,0.0762757888,-3.20402482,1.284172
0.299781616,5.0,4.27387013,4.28484125,0.918063476,0.0693538671,-3.13195265,1.5451048
0.300781616,5.0,4.27391859,4.28641303,0.865722438,0.0772739647,-3.04580356,1.70252061
0.301781616,5.0,4.27387636,4.28874381,0.901746288,0.0703729795,-2.97523337,1.93316506
0.302781616,5.0,4.27392543,4.2902537,0.850573415,0.0783898253,-2.89049638,2.06257749
0.303781616,5.0,4.27388326,4.2926434,0.887615104,0.0715004713,-2.82140939,2.2671969
0.304781616,5.0,4.27393286,4.29408185,0.837457521,0.0796031349,-2.73806748,2.37255445
0.305781616,5.0,4.2738907,4.29653968,0.875377691,0.0727161836,-2.67044518,2.55481094
0.306781616,5.0,4.27394077,4.29789574,0.826102536,0.0808932614,-2.5884822,2.63950428
0.307781616,5.0,4.27389855,4.30043226,0.864781077,0.0739995725,-2.5223063,2.80254373
0.308781616,5.0,4.27394902,4.30169338,0.816272711,0.0822394097,-2.44170665,2.86948443
0.309781616,5.0,4.2739067,4.30432067,0.855606112,0.075330053,-2.37695901,3.01600933
0.310781616,5.0,4.27395749,4.30547249,0.80776375,0.0836210034,-2.2977074,3.06769756
0.311781616,5.0,4.27391501,4.30820431,0.847662829,0.0766873925,-2.23436984,3.20002963
0.312781616,5.0,4.27396607,4.30923047,0.800398533,0.0850180962,-2.15645104,3.23861219
0.313781616,5.0,4.27392337,4.31208248,0.840786489,0.0780521261,-2.09450522,3.35874618
0.314781616,5.0,4.27397462,4.31296437,0.794023448,0.0864117871,-2.01790376,3.38606645
0.315781616,5.0,4.27393166,4.31595431,0.834834192,0.0794059671,-1.95733106,3.49571627
0.316781616,5.0,4.27398305,4.31667087,0.788505255,0.0877846172,-1.88203095,3.51335707
0.317781616,5.0,4.27393979,4.31981873,0.829681967,0.0807321896,-1.82281237,3.61399545
0.318781616,5.0,4.27399125,4.32034618,0.783728378,0.089120922,-1.74879691,3.62331584
