time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.010628,0.00520335865,3.67130799,3.0216934,5.39067415,-1.38394889,0.00768848447,12.0,0.0
0.010728,0.00621525065,3.67206475,3.02204478,5.32418664,-1.44901992,0.00883262259,12.0,0.0
0.010828,0.00720588222,3.67278772,3.02241154,5.2649427,-1.50678596,0.00994190238,12.0,0.0
0.010928,0.00817062827,3.6734736,3.02279183,5.21346415,-1.55673275,0.011011946,12.0,0.0
0.011028,0.00910675248,3.67412107,3.02318369,5.16989567,-1.59872351,0.0120385306,12.0,0.0
0.011128,0.010009785,3.67472712,3.02358508,5.13462234,-1.63238128,0.0130176045,12.0,0.0
0.011228,0.0108770613,3.67529059,3.02399395,5.10766123,-1.65769735,0.0139453039,12.0,0.0
0.011328,0.0117043198,3.67580876,3.02440819,5.08925758,-1.67443493,0.0148179676,12.0,0.0
0.011428,0.0124890313,3.67628063,3.02482567,5.07930285,-1.68271109,0.0156321515,12.0,0.0
0.011528,0.0132272023,3.67670377,3.02524429,5.07790633,-1.68242504,0.0163846425,12.0,0.0
0.011628,0.013916507,3.67707741,3.02566195,5.08484181,-1.67381145,0.0170724707,12.0,0.0
0.011728,0.0145532831,3.6773994,3.02607657,5.10009208,-1.65689582,0.0176929217,12.0,0.0
0.011828,0.0151354795,3.67766921,3.02648613,5.12332555,-1.6320179,0.0182435469,12.0,0.0
0.011928,0.0156598276,3.67788504,3.02688867,5.15441208,-1.5993157,0.0187221731,12.0,0.0
0.012028,0.0161246202,3.6780466,3.02728229,5.19293009,-1.55921842,0.0191269114,12.0,0.0
0.012128,0.0165270427,3.67815245,3.02766518,5.23865283,-1.51196009,0.0194561645,12.0,0.0
0.012228,0.0168657961,3.67820261,3.02803562,5.29108605,-1.45804187,0.0197086331,12.0,0.0
0.012328,0.0171385738,3.67819601,3.02839197,5.34992446,-1.39777555,0.0198833207,12.0,0.0
0.012428,0.0173445426,3.67813299,3.02873274,5.41461948,-1.33171578,0.0199795379,12.0,0.0
0.012528,0.0174819493,3.6780129,3.02905651,5.48480621,-1.26023309,0.019996905,12.0,0.0
0.012628,0.0175504742,3.67783643,3.02936201,5.55990038,-1.18391683,0.0199353534,12.0,0.0
0.012728,0.0175489537,3.67760336,3.02964808,5.6394965,-1.10317717,0.0197951261,12.0,0.0
0.012828,0.0174776179,3.67731476,3.02991368,5.72299294,-1.01861983,0.0195767765,12.0,0.0
0.012928,0.0173359169,3.67697083,3.03015793,5.80996212,-0.930676001,0.0192811663,12.0,0.0
0.013028,0.017124655,3.67657307,3.03038003,5.89980249,-0.839950319,0.0189094622,12.0,0.0
0.013128,0.016842477,3.67612062,3.03057944,5.99128235,-0.747676641,0.018463131,12.0,0.0
0.013228,0.0164937152,3.67561831,3.03075566,6.08537607,-0.652882649,0.0179439343,12.0,0.0
0.013328,0.0160773487,3.67506561,3.03090818,6.18093651,-0.556717404,0.0173539211,12.0,0.0
0.013428,0.0155957835,3.67446523,3.03103675,6.27735022,-0.459795442,0.0166954199,12.0,0.0
0.013528,0.0150499053,3.67381831,3.03114119,6.37427774,-0.362456792,0.0159710295,12.0,0.0
0.013628,0.014442672,3.67312798,3.03122148,6.47115212,-0.265268552,0.0151836087,12.0,0.0
0.013728,0.0137755665,3.67239579,3.03127767,6.56766524,-0.168538527,0.0143362652,12.0,0.0
0.013828,0.0130520698,3.67162525,3.03130995,6.66330529,-0.0727778202,0.0134323429,12.0,0.0
0.013928,0.0122742215,3.67081832,3.03131857,6.75780417,0.0217465724,0.0124754094,12.0,0.0
0.014028,0.0114459848,3.66997887,3.03130389,6.85071089,0.114585126,0.0114692411,12.0,0.0
0.014128,0.0105699037,3.66910923,3.03126634,6.94180299,0.205517178,0.010417809,12.0,0.0
0.014228,0.00965037093,3.66821355,3.03120645,7.03069296,0.29415731,0.0093252625,12.0,0.0
0.014328,0.00869037257,3.66729453,3.0311248,7.11720654,0.380333645,0.00819591348,12.0,0.0
0.014428,0.00769466745,3.66635657,3.03102203,7.20101935,0.463724431,0.00703421893,12.0,0.0
0.014528,0.00666661252,3.66540263,3.03089885,7.28200502,0.544206133,0.00584476353,12.0,0.0
0.014628,0.0056112609,3.66443733,3.03075599,7.35989927,0.621517519,0.00463224152,12.0,0.0
0.014728,0.00453226177,3.66346382,3.03059427,7.4346207,0.6955804,0.00340143817,12.0,0.0
0.014828,0.00343488383,3.66248687,3.03041449,7.50595982,0.766188634,0.0021572109,12.0,0.0
0.014928,0.00232431655,3.66151117,3.03021742,7.57469073,0.834119389,0.000904470102,12.0,0.0
0.015028,0.00120305092,3.66053865,3.03000395,7.63895072,0.89751357,-0.000351840227,12.0,0.0
0.015128,7.57310929e-05,3.65957319,3.02977518,7.69889763,0.956533451,-0.001606762,12.0,0.0
0.015228,-0.00104911326,3.65862279,3.02953195,7.75655297,1.01320392,-0.00285534262,12.0,0.0
0.015328,-0.0021708578,3.65768744,3.02927509,7.80980581,1.06541745,-0.00409265451,12.0,0.0
0.015428,-0.00328273753,3.65677321,3.02900564,7.85925559,1.11377764,-0.00531381456,12.0,0.0
0.015528,-0.00438108352,3.65588306,3.02872453,7.90496891,1.15835489,-0.00651400341,12.0,0.0
0.015628,-0.00546033505,3.65502186,3.02843272,7.94684993,1.1990572,-0.00768848447,12.0,0.0
0.015728,-0.00651696277,3.65419243,3.02813116,7.98497118,1.23596095,-0.00883262259,12.0,0.0
0.015828,-0.00754562404,3.65339936,3.0278208,8.01925179,1.26898908,-0.00994190238,12.0,0.0
0.015928,-0.00854300937,3.65264524,3.02750259,8.0497657,1.29821939,-0.011011946,12.0,0.0
0.016028,-0.00950407328,3.65193434,3.02717748,8.07643899,1.32358177,-0.0120385306,12.0,0.0
0.016128,-0.0104258034,3.65126893,3.02684642,8.09934084,1.34514925,-0.0130176045,12.0,0.0
0.016228,-0.0113035245,3.65065288,3.02651037,8.11839733,1.36285175,-0.0139453039,12.0,0.0
0.016328,-0.0121345917,3.65008807,3.02617027,8.13366782,1.37675244,-0.0148179676,12.0,0.0
0.016428,-0.0129147665,3.64957794,3.02582708,8.14507272,1.38677557,-0.0156321515,12.0,0.0
0.016528,-0.0136418335,3.64912388,3.02548176,8.15265778,1.39297076,-0.0163846425,12.0,0.0
0.016628,-0.0143120483,3.64872883,3.02513527,8.1563335,1.39525237,-0.0170724707,12.0,0.0
0.016728,-0.0149236785,3.64839368,3.02478857,8.15612974,1.39365415,-0.0176929217,12.0,0.0
0.016828,-0.015473522,3.6481208,3.02444265,8.15194457,1.38807812,-0.0182435469,12.0,0.0
0.016928,-0.0159603719,3.64791054,3.02409849,8.14379137,1.37854161,-0.0187221731,12.0,0.0
0.017028,-0.0163816058,3.64776466,3.0237571,8.1315552,1.3649337,-0.0191269114,12.0,0.0
0.017128,-0.0167365738,3.64768294,3.02341948,8.11523439,1.3472568,-0.0194561645,12.0,0.0
0.017228,-0.0170232592,3.6476665,3.02308666,8.09470263,1.32538871,-0.0197086331,12.0,0.0
0.017328,-0.0172415877,3.64771453,3.0227597,8.06994707,1.2993208,-0.0198833207,12.0,0.0
0.017428,-0.0173901615,3.64782751,3.02243964,8.04083431,1.26892392,-0.0199795379,12.0,0.0
0.017528,-0.0174694875,3.64800402,3.02212758,8.00734694,1.23418499,-0.019996905,12.0,0.0
0.017628,-0.0174787864,3.64824392,3.02182461,7.96935176,1.19497524,-0.0199353534,12.0,0.0
0.017728,-0.0174191381,3.6485452,3.02153185,7.92683654,1.15128688,-0.0197951261,12.0,0.0
0.017828,-0.0172903673,3.64890709,3.02125043,7.87967894,1.10300214,-0.0195767765,12.0,0.0
0.017928,-0.017094104,3.64932703,3.0209815,7.82788491,1.05013154,-0.0192811663,12.0,0.0
0.018028,-0.0168307485,3.64980367,3.02072621,7.77135692,0.992582191,-0.0189094622,12.0,0.0
0.018128,-0.0165024442,3.65033395,3.02048573,7.71013525,0.930399031,-0.018463131,12.0,0.0
0.018228,-0.0161101252,3.65091599,3.02026121,7.64416405,0.863530868,-0.0179439343,12.0,0.0
0.018328,-0.015657891,3.65154472,3.02005394,7.5726197,0.791159168,-0.0173539211,12.0,0.0
0.018428,-0.0151441456,3.65222083,3.01986507,7.49727212,0.715058483,-0.0166954199,12.0,0.0
0.018528,-0.0145736317,3.65293878,3.0196956,7.41746879,0.634580338,-0.0159710295,12.0,0.0
0.018628,-0.0139477371,3.65369633,3.01954664,7.33324849,0.549767857,-0.0151836087,12.0,0.0
0.018728,-0.0132702434,3.65448892,3.01941922,7.24491516,0.460929181,-0.0143362652,12.0,0.0
0.018828,-0.0125429089,3.65531403,3.01931434,7.15260101,0.368200466,-0.0134323429,12.0,0.0
0.018928,-0.0117697674,3.65616692,3.01923292,7.05671444,0.2719938,-0.0124754094,12.0,0.0
0.019028,-0.0109528831,3.65704491,3.01917581,6.95749127,0.172548356,-0.0114692411,12.0,0.0
0.019128,-0.0100964768,3.6579432,3.01914376,6.85545036,0.0703859819,-0.010417809,12.0,0.0
0.019228,-0.00920285804,3.658859,3.0191374,6.75093303,-0.034149464,-0.0093252625,12.0,0.0
0.019328,-0.00827637731,3.65978758,3.01915726,6.64456492,-0.14043029,-0.00819591348,12.0,0.0
0.019428,-0.00731953879,3.66072613,3.01920373,6.53678452,-0.248016468,-0.00703421893,12.0,0.0
0.019528,-0.00633677567,3.66167003,3.01927704,6.4283096,-0.356189278,-0.00584476353,12.0,0.0
0.019628,-0.00533074655,3.66261653,3.0193773,6.31965697,-0.464431602,-0.00463224152,12.0,0.0
0.019728,-0.00430593245,3.6635612,3.01950442,6.21161149,-0.571958884,-0.00340143817,12.0,0.0
