 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 4.70449917e-04  4.70449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  7.66864933e-03  7.49530280e-03  3.09155233e-02  3.54007799e-03  4.19300079e-03  3.14089475e-02  3.69207458e-03 
 4.80449917e-04  4.80449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.48108973e-03  6.30907074e-03  8.37464091e-03  2.35373305e-03  4.19312393e-03  8.87280689e-03  2.45056229e-03 
 4.90449917e-04  4.90449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.28480619e-03  5.11386083e-03 -1.43356589e-02  1.15812238e-03  4.19319294e-03 -1.38346948e-02  1.19937875e-03 
 5.00449917e-04  5.00449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.08451977e-03  3.91440832e-03 -3.71256053e-02 -4.20358491e-05  4.19320753e-03 -3.66238467e-02 -5.65381874e-05 
 5.10449917e-04  5.10449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.88496802e-03  2.71542928e-03 -5.99053880e-02 -1.24200482e-03  4.19316761e-03 -5.94047853e-02 -1.31223199e-03 
 5.20449917e-04  5.20449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.69088490e-03  1.52167337e-03 -8.25849679e-02 -2.43704917e-03  4.19307331e-03 -8.20875298e-02 -2.56274702e-03 
 5.30449917e-04  5.30449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.06983481e-04  3.37834628e-04 -1.05074965e-01 -3.62245226e-03  4.19292498e-03 -1.04582619e-01 -3.80314806e-03 
 5.40449917e-04  5.40449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -6.62064053e-04 -8.31397459e-04 -1.27286488e-01 -4.79353622e-03  4.19272318e-03 -1.26801216e-01 -5.02853981e-03 
 5.50449917e-04  5.50449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.81164343e-03 -1.98142526e-03 -1.49132000e-01 -5.94567895e-03  4.19246868e-03 -1.48655676e-01 -6.23408620e-03 
 5.60449917e-04  5.60449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -2.93721791e-03 -3.10769308e-03 -1.70525159e-01 -7.07433384e-03  4.19216246e-03 -1.70059706e-01 -7.41502951e-03 
 5.70449917e-04  5.70449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -4.03434480e-03 -4.20577250e-03 -1.91381652e-01 -8.17504628e-03  4.19180570e-03 -1.90928862e-01 -8.56670909e-03 
 5.80449917e-04  5.80449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -5.09869436e-03 -5.27131318e-03 -2.11619044e-01 -9.24347260e-03  4.19139978e-03 -2.11180750e-01 -9.68457977e-03 
 5.90449917e-04  5.90449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -6.12606553e-03 -6.30012603e-03 -2.31157580e-01 -1.02753959e-02  4.19094629e-03 -2.30735466e-01 -1.07642298e-02 
 6.00449917e-04  6.00449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -7.11240387e-03 -7.28813441e-03 -2.49920030e-01 -1.12667439e-02  4.19044698e-03 -2.49515809e-01 -1.18013984e-02 
 6.10449917e-04  6.10449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -8.05381618e-03 -8.23145489e-03 -2.67832457e-01 -1.22136041e-02  4.18990380e-03 -2.67447676e-01 -1.27919923e-02 
 6.20449917e-04  6.20449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -8.94658726e-03 -9.12634852e-03 -2.84824051e-01 -1.31122398e-02  4.18931886e-03 -2.84460277e-01 -1.37321020e-02 
 6.30449917e-04  6.30449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -9.78719319e-03 -9.96929910e-03 -3.00827861e-01 -1.39591042e-02  4.18869446e-03 -3.00486481e-01 -1.46180173e-02 
 6.40449917e-04  6.40449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.05723166e-02 -1.07569640e-02 -3.15780612e-01 -1.47508556e-02  4.18803303e-03 -3.15463024e-01 -1.54462421e-02 
