time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.00112472948,0.705903872,-9.0,-8.99999797,-8.99999801,0.372884768,-0.791944028,-0.12239523,4.13328339
0.00112572948,0.710340337,-9.0,-8.99999797,-8.99999801,0.372885138,-0.79194385,-0.122395917,4.1305695
0.00112672948,0.714748759,-9.0,-8.99999797,-8.99999801,0.372885547,-0.791943668,-0.122396788,4.12785598
0.00112772948,0.719128964,-9.0,-8.99999797,-8.99999801,0.372886002,-0.791943482,-0.122397873,4.12514281
0.00112872948,0.723480778,-9.0,-8.99999797,-8.99999801,0.372886513,-0.791943291,-0.122399209,4.12242995
0.00112972948,0.727804032,-9.0,-8.99999797,-8.99999801,0.372887088,-0.791943093,-0.122400837,4.11971735
0.00113072948,0.732098552,-9.0,-8.99999797,-8.99999801,0.372887738,-0.791942889,-0.122402806,4.11700498
0.00113172948,0.736364171,-9.0,-8.99999797,-8.99999801,0.372888477,-0.791942676,-0.122405173,4.11429276
0.00113272948,0.740600719,-9.0,-8.99999797,-8.99999801,0.372889319,-0.791942454,-0.122408001,4.11158065
0.00113372948,0.74480803,-9.0,-8.99999797,-8.99999801,0.372890282,-0.79194222,-0.122411365,4.10886856
0.00113472948,0.748985937,-9.0,-8.99999797,-8.99999801,0.372891387,-0.791941974,-0.12241535,4.10615641
0.00113572948,0.753134275,-9.0,-8.99999797,-8.99999801,0.372892657,-0.791941713,-0.122420055,4.1034441
0.00113672948,0.757252881,-9.0,-8.99999797,-8.99999801,0.372894119,-0.791941434,-0.122425593,4.10073152
0.00113772948,0.761341592,-9.0,-8.99999797,-8.99999801,0.372895804,-0.791941136,-0.122432093,4.09801854
0.00113872948,0.765400246,-9.0,-8.99999797,-8.99999801,0.372897749,-0.791940814,-0.122439703,4.09530501
0.00113972948,0.769428683,-9.0,-8.99999797,-8.99999801,0.372899995,-0.791940466,-0.12244859,4.09259076
0.00114072948,0.773426745,-9.0,-8.99999797,-8.99999801,0.37290259,-0.791940088,-0.122458948,4.0898756
0.00114172948,0.777394273,-9.0,-8.99999797,-8.99999801,0.37290559,-0.791939674,-0.122470995,4.08715931
0.00114272948,0.781331112,-9.0,-8.99999797,-8.99999801,0.372909056,-0.791939221,-0.122484981,4.08444165
0.00114372948,0.785237104,-9.0,-8.99999797,-8.99999801,0.372913061,-0.791938721,-0.122501189,4.08172232
0.00114472948,0.789112097,-9.0,-8.99999797,-8.99999801,0.372917688,-0.79193817,-0.122519939,4.07900102
0.00114572948,0.792955936,-9.0,-8.99999797,-8.99999801,0.37292303,-0.791937558,-0.122541595,4.07627737
0.00114672948,0.796768472,-9.0,-8.99999797,-8.99999801,0.372929194,-0.791936878,-0.122566566,4.07355097
