 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 3.32800000e-02  3.32800000e-02  0.00000000e+00  9.00000000e+00  7.27838436e+00  7.27837678e+00  7.50604111e-01  1.52075089e-01  7.50727190e-01  1.51801804e-01  1.51623602e-02  1.51629255e-02 
 3.42800000e-02  3.42800000e-02  0.00000000e+00  9.00000000e+00  7.27837408e+00  7.27838701e+00  7.50770520e-01  1.51704516e-01  7.50560627e-01  1.52170560e-01  1.51631267e-02  1.51621627e-02 
 3.52800000e-02  3.52800000e-02  0.00000000e+00  9.00000000e+00  7.27839149e+00  7.27836945e+00  7.50486383e-01  1.52332256e-01  7.50844317e-01  1.51537534e-01  1.51618282e-02  1.51634722e-02 
 3.62800000e-02  3.62800000e-02  0.00000000e+00  9.00000000e+00  7.27836146e+00  7.27839905e+00  7.50969869e-01  1.51249714e-01  7.50359531e-01  1.52604708e-01  1.51640677e-02  1.51612647e-02 
 3.72800000e-02  3.72800000e-02  0.00000000e+00  9.00000000e+00  7.27841167e+00  7.27834760e+00  7.50142570e-01  1.53059506e-01  7.51183054e-01  1.50750263e-01  1.51603242e-02  1.51651012e-02 
 3.82800000e-02  3.82800000e-02  0.00000000e+00  9.00000000e+00  7.27832707e+00  7.27843647e+00  7.51567913e-01  1.50009950e-01  7.49793056e-01  1.53953365e-01  1.51666322e-02  1.51584747e-02 
 3.92800000e-02  3.92800000e-02  0.00000000e+00  9.00000000e+00  7.27847993e+00  7.27829198e+00  7.49161714e-01  1.55519503e-01  7.52198496e-01  1.48745293e-01  1.51552350e-02  1.51692483e-02 
 4.02800000e-02  4.02800000e-02  0.00000000e+00  9.00000000e+00  7.27823246e+00  7.27855940e+00  7.53330502e-01  1.46599617e-01  7.48095418e-01  1.58383641e-01  1.51736871e-02  1.51493103e-02 
 4.12800000e-02  4.12800000e-02  0.00000000e+00  9.00000000e+00  7.27872769e+00  7.27813497e+00  7.46222304e-01  1.64447636e-01  7.55452425e-01  1.43084900e-01  1.51367661e-02  1.51809576e-02 
 4.22800000e-02  4.22800000e-02  0.00000000e+00  9.00000000e+00  7.27794190e+00  7.27926203e+00  7.60610767e-01  1.36122780e-01  7.42466879e-01  1.83693046e-01  1.51953598e-02  1.50969553e-02 
 4.32767305e-02  4.32767305e-02  0.00000000e+00  9.00000000e+00  7.37951889e+00  7.27597977e+00  6.78975055e-01  3.51725995e+00  1.33362510e+00  6.52778975e-02  8.21757244e-03  1.53419189e-02 
 4.41038517e-02  4.41038517e-02  0.00000000e+00  9.00000000e+00  7.27590225e+00  7.39262851e+00  1.51251054e+00  6.24755797e-02 -4.34958586e+00  3.90114786e+00  1.53477163e-02  7.42870853e-03 
 4.47379113e-02  4.47379113e-02  0.00000000e+00  9.00000000e+00  7.27638376e+00  7.50591165e+00  9.84408820e-01  7.98780164e-02 -4.15341010e+00  6.44426807e+00  1.53117143e-02  2.25883663e-03 
 4.53357198e-02  4.53357198e-02  0.00000000e+00  9.00000000e+00  7.27695341e+00  7.57488561e+00  8.32870273e-01  1.00453279e-01 -3.96671983e+00  7.20385897e+00  1.52691494e-02  7.91007703e-04 
 4.59525944e-02  4.59525944e-02  0.00000000e+00  9.00000000e+00  7.27746809e+00  7.63004214e+00  7.82502532e-01  1.19030906e-01 -3.77918578e+00  7.48932357e+00  1.52307176e-02  2.99403379e-04 
 4.68981985e-02  4.68981985e-02  0.00000000e+00  9.00000000e+00  7.27798362e+00  7.69105158e+00  7.60200194e-01  1.37627742e-01 -3.50622926e+00  7.64993779e+00  1.51922494e-02  9.59064848e-05 
