time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.198267834,5.0,4.27406406,4.39611836,0.837972194,0.100949177,0.0529503461,4.35895429
0.199267834,5.0,4.27403187,4.36526747,0.716772348,0.0957195226,0.0953594,4.24399695
0.200267834,5.0,4.27406569,4.40123981,0.837589246,0.101212485,0.148031338,4.37079172
0.201267834,5.0,4.27403269,4.36708207,0.716283241,0.0958535831,0.189396645,4.25509772
0.202267834,5.0,4.27406692,4.4063836,0.837262152,0.101412824,0.241229467,4.38147053
0.203267834,5.0,4.27403341,4.36872704,0.715836692,0.0959697397,0.281613997,4.26510931
0.204267834,5.0,4.27406782,4.41151871,0.836982591,0.101558168,0.332588306,4.39114073
0.205267834,5.0,4.27403403,4.37020512,0.715425562,0.0960709238,0.372049557,4.27416953
0.206267834,5.0,4.27406842,4.41661089,0.836743102,0.101656328,0.422150408,4.39992721
0.207267834,5.0,4.27403468,4.37152797,0.715015385,0.0961759813,0.460755968,4.28234014
0.208267834,5.0,4.2740688,4.42158923,0.836534477,0.10171821,0.509959449,4.4078794
0.209267834,5.0,4.27403854,4.37241859,0.713729348,0.096803106,0.548273276,4.28803997
0.210267834,5.0,4.27406963,4.4252641,0.836275702,0.10185275,0.596133816,4.41338855
0.210392834,5.0,4.27404812,4.39327493,0.774376495,0.0983595569,0.597960065,4.35170245
0.210609883,5.0,4.27405015,4.39323089,0.773966424,0.0986902389,0.60751669,4.35158757
0.210776975,5.0,4.27405265,4.39310557,0.773530388,0.099095717,0.615009769,4.35126013
0.210960119,5.0,4.27405627,4.39283292,0.772865068,0.0996844928,0.623351582,4.35054396
0.211326408,5.0,4.27407059,4.39158375,0.770550726,0.102009329,0.641128765,4.34720663
0.21141798,5.0,4.27407709,4.39102064,0.769589784,0.103064045,0.64603179,4.34566258
0.211601124,5.0,4.27410168,4.38930815,0.766425963,0.107051336,0.657701786,4.340845
0.211606277,5.0,4.27421463,4.38622132,0.757334485,0.125322138,0.676186891,4.33161523
0.211616583,5.0,4.27419653,4.38664969,0.758922438,0.122399395,0.673692987,4.33294053
0.211622078,5.0,4.27420857,4.38616854,0.757571698,0.124344348,0.675866639,4.33145076
0.211627459,5.0,4.27418649,4.38679437,0.759639029,0.120777937,0.672524206,4.33338519
0.211637396,5.0,4.27420363,4.3860926,0.75771288,0.12354602,0.675705939,4.33121467
0.21164683,5.0,4.27416097,4.38725447,0.761502052,0.116652217,0.669205086,4.33478648
0.211659731,5.0,4.27419534,4.38602568,0.758015122,0.122207632,0.675297876,4.33100536
0.211659807,5.0,4.27420355,4.38574805,0.757145591,0.123532602,0.676626021,4.33013375
0.211659826,5.0,4.27420594,4.38566544,0.756885385,0.123918661,0.677012873,4.32987301
0.211659864,5.0,4.27421138,4.38547672,0.756290573,0.124797957,0.677893756,4.32927712
0.211659941,5.0,4.27423073,4.38475983,0.75399567,0.12791928,0.681018247,4.32697987
0.21165996,5.0,4.2742397,4.38439645,0.752853997,0.12936608,0.682465838,4.32583754
0.211659998,5.0,4.27426799,4.3832075,0.74887357,0.133926081,0.687027418,4.32185566
0.211660008,5.0,4.27428106,4.38260355,0.746818734,0.136031032,0.689132761,4.31980039
0.211660027,5.0,4.27432637,4.38027318,0.738567334,0.143318375,0.696420887,4.31154799
0.211660045,5.0,4.27556355,4.27447726,-3.40547957,0.33750075,0.8906018,0.167498434
0.211660057,5.0,4.27617763,4.27417267,-3.4544334,0.430510702,0.983607951,0.11854357
0.211660068,5.0,4.27557963,4.27420001,-3.45001401,0.339964617,0.893058357,0.122962041
0.211660082,5.0,4.2761748,4.27405104,-3.47414073,0.430086672,0.983176335,0.0988342132
0.211660105,5.0,4.27559267,4.27408802,-3.46813576,0.341961371,0.895043879,0.104837292
0.211660139,5.0,4.27618039,4.27394879,-3.49077679,0.430923665,0.983995777,0.0821934578
0.211660205,5.0,4.275607,4.27398988,-3.48407597,0.344154166,0.89720598,0.0888888569
0.211660338,5.0,4.27619485,4.27386109,-3.50508465,0.433087379,0.986098642,0.0678692778
0.211660554,5.0,4.27562044,4.27393098,-3.49364807,0.346209373,0.899154464,0.079288121
0.211660786,5.0,4.27619466,4.27383837,-3.50874023,0.434020237,0.986894257,0.064176854
0.211661123,5.0,4.275617,4.27392563,-3.49445043,0.346649586,0.899420452,0.0784389818
0.211661602,5.0,4.27619618,4.2738376,-3.50880178,0.434263498,0.986887592,0.0640481984
0.211662561,5.0,4.27561995,4.27392562,-3.49433304,0.347095003,0.899425538,0.078438123
0.211664478,5.0,4.27620169,4.27383763,-3.50856024,0.435096118,0.986839629,0.0640532432
0.211668314,5.0,4.27563118,4.27392562,-3.49386057,0.348792617,0.899362301,0.0784376138
0.211675984,5.0,4.27622403,4.27383766,-3.5076095,0.4384738,0.986696878,0.0640580627
0.211691325,5.0,4.27567591,4.27392566,-3.49196213,0.355551266,0.899085156,0.0784444015
0.211722006,5.0,4.27631344,4.27383775,-3.50381183,0.451967525,0.986139274,0.0640731443
0.211783369,5.0,4.2758546,4.27392584,-3.48437023,0.382463022,0.897975094,0.0784739343
0.211906095,5.0,4.27667032,4.27383812,-3.48863859,0.505480665,0.983930451,0.0641329053
0.212151546,5.0,4.27656616,4.27392658,-3.45406749,0.488265348,0.893606869,0.0785946856
0.212642449,5.0,4.27808551,4.27383963,-3.42820746,0.712287267,0.975384993,0.0643794637
0.213624254,5.0,4.27936209,4.27392972,-3.33389831,0.883463078,0.877252942,0.0791087008
0.214624254,5.0,4.28189987,4.2738442,-3.2676018,1.21533465,0.954496307,0.0651271434
0.215624254,5.0,4.2831914,4.2739352,-3.17322442,1.3546985,0.857648252,0.0800034436
0.216624254,5.0,4.28582746,4.27384977,-3.10845679,1.65240085,0.936204851,0.0660395272
0.217624254,5.0,4.28701249,4.27394153,-3.01549202,1.76018999,0.84067448,0.0810355106
0.218624254,5.0,4.28975625,4.2738561,-2.95223796,2.02853295,0.920363171,0.0670761566
0.219624254,5.0,4.29081758,4.27394855,-2.86066844,2.10920141,0.825978845,0.0821809589
0.220624254,5.0,4.29368582,4.27386308,-2.79890893,2.35231629,0.906643554,0.068217164
0.221624254,5.0,4.29460427,4.27395614,-2.70871812,2.40968862,0.813256017,0.0834194609
0.222624254,5.0,4.29761626,4.27387057,-2.64843436,2.63112445,0.894762494,0.0694423145
0.223624254,5.0,4.29836985,4.27396418,-2.55960656,2.66848458,0.802241718,0.0847302915
0.224624254,5.0,4.3015476,4.27387845,-2.50077994,2.87129037,0.884474535,0.0707310376
0.225624254,5.0,4.30211118,4.27397254,-2.41329997,2.89145789,0.792707032,0.0860926555
0.226624254,5.0,4.3054798,4.27388659,-2.35591197,3.07825323,0.87556701,0.0720627856
0.227624254,5.0,4.30582464,4.27398109,-2.26976492,3.08364894,0.784453558,0.08748608
0.228624254,5.0,4.30941266,4.27389488,-2.21379699,3.25668464,0.867855552,0.0734174336
0.229624254,5.0,4.30950611,4.27398972,-2.12896788,3.24938687,0.77730926,0.0888908302
0.230624254,5.0,4.3133458,4.27390319,-2.07440133,3.41059703,0.861180263,0.0747756956
0.231624254,5.0,4.31315085,4.2739983,-1.99087482,3.39238999,0.771124923,0.0902883246
0.232624254,5.0,4.31727854,4.27391142,-1.93769076,3.5434367,0.855402433,0.076119534
0.233624254,5.0,4.31675351,4.27400674,-1.85545082,3.51585201,0.765771109,0.0916615231
