 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)        
 6.80113314e-02  6.80113314e-02  5.00000000e+00  4.27404239e+00  4.38842963e+00  7.75864781e-01  9.74298477e-02  3.71468491e-01  4.33835869e+00 
 6.90113314e-02  6.90113314e-02  5.00000000e+00  4.27404350e+00  4.38970786e+00  7.75703913e-01  9.76087882e-02  4.16194489e-01  4.34204811e+00 
 7.00113314e-02  7.00113314e-02  5.00000000e+00  4.27404285e+00  4.39097385e+00  7.75581611e-01  9.75032550e-02  4.60206851e-01  4.34558959e+00 
 7.10113314e-02  7.10113314e-02  5.00000000e+00  4.27404394e+00  4.39220057e+00  7.75425914e-01  9.76811043e-02  5.04077389e-01  4.34891522e+00 
 7.20113314e-02  7.20113314e-02  5.00000000e+00  4.27404348e+00  4.39338209e+00  7.75268319e-01  9.76065574e-02  5.47273563e-01  4.35202600e+00 
 7.30113314e-02  7.30113314e-02  5.00000000e+00  4.27404768e+00  4.39410837e+00  7.74535150e-01  9.82891462e-02  5.90800914e-01  4.35385572e+00 
 7.40113314e-02  7.40113314e-02  5.00000000e+00  4.27406503e+00  4.39260803e+00  7.71347529e-01  1.01105816e-01  6.36004394e-01  4.34994970e+00 
 7.41363314e-02  7.41363314e-02  5.00000000e+00  4.27407215e+00  4.39196389e+00  7.70279333e-01  1.02262785e-01  6.42420010e-01  4.34823084e+00 
 7.43863314e-02  7.43863314e-02  5.00000000e+00  4.27410235e+00  4.38977206e+00  7.66347569e-01  1.07160602e-01  6.57810408e-01  4.34217043e+00 
 7.43937604e-02  7.43937604e-02  5.00000000e+00  4.27421113e+00  4.38674459e+00  7.57605253e-01  1.24757610e-01  6.75716452e-01  4.33323214e+00 
 7.44086186e-02  7.44086186e-02  5.00000000e+00  4.27419422e+00  4.38706167e+00  7.58949367e-01  1.22025707e-01  6.73602901e-01  4.33420119e+00 
 7.44164338e-02  7.44164338e-02  5.00000000e+00  4.27420047e+00  4.38673394e+00  7.58141331e-01  1.23036584e-01  6.74939076e-01  4.33319929e+00 
 7.44240812e-02  7.44240812e-02  5.00000000e+00  4.27418233e+00  4.38719524e+00  7.59733960e-01  1.20105805e-01  6.72326688e-01  4.33460720e+00 
 7.44393758e-02  7.44393758e-02  5.00000000e+00  4.27418897e+00  4.38675296e+00  7.58746355e-01  1.21178963e-01  6.74036739e-01  4.33325770e+00 
 7.44394738e-02  7.44394738e-02  5.00000000e+00  4.27419307e+00  4.38662023e+00  7.58342551e-01  1.21840939e-01  6.74702790e-01  4.33285143e+00 
 7.44396696e-02  7.44396696e-02  5.00000000e+00  4.27421197e+00  4.38597003e+00  7.56328278e-01  1.24891994e-01  6.77761988e-01  4.33083188e+00 
 7.44396763e-02  7.44396763e-02  5.00000000e+00  4.27421307e+00  4.38592926e+00  7.56200079e-01  1.25070546e-01  6.77940820e-01  4.33070349e+00 
 7.44396899e-02  7.44396899e-02  5.00000000e+00  4.27421543e+00  4.38584418e+00  7.55933165e-01  1.25451440e-01  6.78322277e-01  4.33043618e+00 
 7.44397169e-02  7.44397169e-02  5.00000000e+00  4.27422102e+00  4.38564103e+00  7.55295336e-01  1.26352684e-01  6.79224644e-01  4.32979754e+00 
 7.44397711e-02  7.44397711e-02  5.00000000e+00  4.27423927e+00  4.38493299e+00  7.53037930e-01  1.29297524e-01  6.82171729e-01  4.32753838e+00 
 7.44397846e-02  7.44397846e-02  5.00000000e+00  4.27424648e+00  4.38464477e+00  7.52113187e-01  1.30460086e-01  6.83334851e-01  4.32661315e+00 
 7.44398117e-02  7.44398117e-02  5.00000000e+00  4.27426696e+00  4.38375429e+00  7.49184873e-01  1.33760039e-01  6.86635923e-01  4.32368380e+00 
 7.44398370e-02  7.44398370e-02  5.00000000e+00  4.27551287e+00  4.27442532e+00 -3.41530466e+00  3.29726595e-01  8.82600625e-01  1.59190698e-01 
 7.44398550e-02  7.44398550e-02  5.00000000e+00  4.27623632e+00  4.27412119e+00 -3.46428025e+00  4.39285948e-01  9.92154480e-01  1.10213619e-01 
 7.44398716e-02  7.44398716e-02  5.00000000e+00  4.27552891e+00  4.27415048e+00 -3.45953637e+00  3.32188880e-01  8.85052302e-01  1.14956157e-01 
 7.44398918e-02  7.44398918e-02  5.00000000e+00  4.27623740e+00  4.27400144e+00 -3.48371998e+00  4.39447061e-01  9.92304309e-01  9.07708760e-02 
 7.44399300e-02  7.44399300e-02  5.00000000e+00  4.27554241e+00  4.27404137e+00 -3.47722398e+00  3.34260128e-01  8.87105677e-01  9.72637641e-02 
 7.44399876e-02  7.44399876e-02  5.00000000e+00  4.27624702e+00  4.27390326e+00 -3.49971986e+00  4.40883392e-01  9.93711293e-01  7.47631262e-02 
 7.44401029e-02  7.44401029e-02  5.00000000e+00  4.27555764e+00  4.27395717e+00 -3.49091282e+00  3.36595496e-01  8.89388076e-01  8.35607156e-02 
 7.44403120e-02  7.44403120e-02  5.00000000e+00  4.27626006e+00  4.27384198e+00 -3.50971560e+00  4.42828752e-01  9.95557313e-01  6.47407285e-02 
 7.44405428e-02  7.44405428e-02  5.00000000e+00  4.27555637e+00  4.27392893e+00 -3.49545950e+00  3.37832177e-01  8.90490053e-01  7.89778684e-02 
 7.44408658e-02  7.44408658e-02  5.00000000e+00  4.27625302e+00  4.27383549e+00 -3.51070511e+00  4.43194194e-01  9.95753166e-01  6.37056690e-02 
 7.44413120e-02  7.44413120e-02  5.00000000e+00  4.27555871e+00  4.27392759e+00 -3.49561129e+00  3.38153060e-01  8.90575426e-01  7.87628274e-02 
 7.44422043e-02  7.44422043e-02  5.00000000e+00  4.27625543e+00  4.27383566e+00 -3.51056824e+00  4.43554000e-01  9.95703202e-01  6.37324735e-02 
 7.44439889e-02  7.44439889e-02  5.00000000e+00  4.27556403e+00  4.27392756e+00 -3.49539628e+00  3.38956193e-01  8.90559088e-01  7.87576994e-02 
 7.44475580e-02  7.44475580e-02  5.00000000e+00  4.27626579e+00  4.27383569e+00 -3.51012345e+00  4.45119788e-01  9.95630321e-01  6.37370087e-02 
 7.44546964e-02  7.44546964e-02  5.00000000e+00  4.27558487e+00  4.27392758e+00 -3.49451385e+00  3.42106622e-01  8.90433279e-01  7.87596672e-02 
 7.44689730e-02  7.44689730e-02  5.00000000e+00  4.27630739e+00  4.27383573e+00 -3.50835510e+00  4.51406428e-01  9.95368878e-01  6.37445803e-02 
 7.44975264e-02  7.44975264e-02  5.00000000e+00  4.27566809e+00  4.27392766e+00 -3.49097949e+00  3.54667999e-01  8.89916039e-01  7.87730721e-02 
 7.45546331e-02  7.45546331e-02  5.00000000e+00  4.27647370e+00  4.27383590e+00 -3.50128785e+00  4.76459332e-01  9.94334584e-01  6.37723649e-02 
 7.46688465e-02  7.46688465e-02  5.00000000e+00  4.27600023e+00  4.27392800e+00 -3.47685488e+00  4.04506971e-01  8.87859397e-01  7.88285113e-02 
 7.48972733e-02  7.48972733e-02  5.00000000e+00  4.27713627e+00  4.27383659e+00 -3.47307627e+00  5.75074581e-01  9.90262992e-01  6.38845759e-02 
 7.53541270e-02  7.53541270e-02  5.00000000e+00  4.27731772e+00  4.27392940e+00 -3.42058252e+00  5.97571146e-01  8.79883035e-01  7.90575976e-02 
 7.62678342e-02  7.62678342e-02  5.00000000e+00  4.27974445e+00  4.27383949e+00 -3.36113395e+00  9.45161650e-01  9.74950164e-01  6.43592595e-02 
 7.72678342e-02  7.72678342e-02  5.00000000e+00  4.28098045e+00  4.27393442e+00 -3.26524446e+00  1.08703203e+00  8.59589207e-01  7.98504191e-02 
 7.82678342e-02  7.82678342e-02  5.00000000e+00  4.28366470e+00  4.27384457e+00 -3.20028336e+00  1.42118129e+00  9.55108387e-01  6.51909558e-02 
 7.92678342e-02  7.92678342e-02  5.00000000e+00  4.28476929e+00  4.27393978e+00 -3.10587123e+00  1.52862069e+00  8.41167481e-01  8.07532312e-02 
 8.02678342e-02  8.02678342e-02  5.00000000e+00  4.28759987e+00  4.27385048e+00 -3.04238105e+00  1.83077083e+00  9.37920575e-01  6.61570617e-02 
 8.12678342e-02  8.12678342e-02  5.00000000e+00  4.28857089e+00  4.27394642e+00 -2.94937291e+00  1.90864129e+00  8.25217401e-01  8.18356511e-02 
 8.22678342e-02  8.22678342e-02  5.00000000e+00  4.29154013e+00  4.27385710e+00 -2.88738647e+00  2.18329769e+00  9.23034886e-01  6.72419994e-02 
 8.32678342e-02  8.32678342e-02  5.00000000e+00  4.29235344e+00  4.27395370e+00 -2.79576819e+00  2.23576953e+00  8.11407964e-01  8.30229936e-02 
 8.42678342e-02  8.42678342e-02  5.00000000e+00  4.29548270e+00  4.27386432e+00 -2.73526686e+00  2.48680100e+00  9.10143715e-01  6.84225871e-02 
 8.52678342e-02  8.52678342e-02  5.00000000e+00  4.29611391e+00  4.27396149e+00 -2.64502218e+00  2.51745481e+00  7.99452334e-01  8.42945265e-02 
 8.62678342e-02  8.62678342e-02  5.00000000e+00  4.29942778e+00  4.27387200e+00 -2.58598739e+00  2.74818498e+00  8.98980706e-01  6.96783770e-02 
 8.72678342e-02  8.72678342e-02  5.00000000e+00  4.29984896e+00  4.27396968e+00 -2.49710069e+00  2.76009511e+00  7.89102154e-01  8.56294683e-02 
 8.82678342e-02  8.82678342e-02  5.00000000e+00  4.30337548e+00  4.27388001e+00 -2.43951405e+00  2.97337943e+00  8.89315178e-01  7.09887457e-02 
 8.92678342e-02  8.92678342e-02  5.00000000e+00  4.30355472e+00  4.27397814e+00 -2.35197014e+00  2.96918543e+00  7.80142234e-01  8.70071366e-02 
 9.02678342e-02  9.02678342e-02  5.00000000e+00  4.30732577e+00  4.27388823e+00 -2.29581332e+00  3.16747731e+00  8.80947209e-01  7.23332613e-02 
 9.12678342e-02  9.12678342e-02  5.00000000e+00  4.30722676e+00  4.27398674e+00 -2.20959704e+00  3.14944528e+00  7.72386021e-01  8.84073524e-02 
 9.22678342e-02  9.22678342e-02  5.00000000e+00  4.31127842e+00  4.27389655e+00 -2.15485169e+00  3.33485282e+00  8.73703451e-01  7.36920935e-02 
 9.32678342e-02  9.32678342e-02  5.00000000e+00  4.31085999e+00  4.27399536e+00 -2.06994766e+00  3.30492817e+00  7.65671726e-01  8.98108593e-02 
 9.42678342e-02  9.42678342e-02  5.00000000e+00  4.31523289e+00  4.27390484e+00 -2.01659532e+00  3.47926294e+00  8.67433542e-01  7.50464307e-02 
 9.52678342e-02  9.52678342e-02  5.00000000e+00  4.31444859e+00  4.27400389e+00 -1.93298759e+00  3.43911563e+00  7.59859002e-01  9.11997304e-02 
 9.62678342e-02  9.62678342e-02  5.00000000e+00  4.31918824e+00  4.27391300e+00 -1.88100960e+00  3.60393452e+00  8.62007034e-01  7.63788777e-02 
 9.72678342e-02  9.72678342e-02  5.00000000e+00  4.31798600e+00  4.27401224e+00 -1.79868139e+00  3.55499795e+00  7.54826094e-01  9.25577382e-02 
 9.82678342e-02  9.82678342e-02  5.00000000e+00  4.32314295e+00  4.27392093e+00 -1.74805881e+00  3.71163909e+00  8.57310749e-01  7.76738124e-02 
 9.92678342e-02  9.92678342e-02  5.00000000e+00  4.32146484e+00  4.27402031e+00 -1.66699230e+00  3.65514346e+00  7.50467379e-01  9.38706663e-02 
 1.00267834e-01  1.00267834e-01  5.00000000e+00  4.32709479e+00  4.27392855e+00 -1.61770592e+00  3.80475705e+00  8.53246500e-01  7.89176766e-02 
 1.01267834e-01  1.01267834e-01  5.00000000e+00  4.32487694e+00  4.27402803e+00 -1.53788205e+00  3.74175802e+00  7.46691247e-01  9.51265418e-02 
 1.02267834e-01  1.02267834e-01  5.00000000e+00  4.33104062e+00  4.27393578e+00 -1.48991232e+00  3.88533278e+00  8.49729113e-01  8.00991873e-02 
 1.03267834e-01  1.03267834e-01  5.00000000e+00  4.32821339e+00  4.27403535e+00 -1.41131073e+00  3.81673609e+00  7.43418257e-01  9.63157759e-02 
 1.04267834e-01  1.04267834e-01  5.00000000e+00  4.33497617e+00  4.27394259e+00 -1.36463779e+00  3.95512198e+00  8.46684718e-01  8.12094537e-02 
 1.05267834e-01  1.05267834e-01  5.00000000e+00  4.33146466e+00  4.27404221e+00 -1.28723679e+00  3.88170455e+00  7.40579551e-01  9.74312044e-02 
 1.06267834e-01  1.06267834e-01  5.00000000e+00  4.33889583e+00  4.27394892e+00 -1.24184050e+00  4.01563223e+00  8.44049256e-01  8.22419985e-02 
 1.07267834e-01  1.07267834e-01  5.00000000e+00  4.33462083e+00  4.27404859e+00 -1.16561712e+00  3.93806032e+00  7.38115475e-01  9.84680285e-02 
 1.08267834e-01  1.08267834e-01  5.00000000e+00  4.34279252e+00  4.27395475e+00 -1.12147710e+00  4.06815786e+00  8.41767186e-01  8.31926849e-02 
 1.09267834e-01  1.09267834e-01  5.00000000e+00  4.33767190e+00  4.27405448e+00 -1.04640725e+00  3.98700273e+00  7.35974383e-01  9.94236639e-02 
 1.10267834e-01  1.10267834e-01  5.00000000e+00  4.34845791e+00  4.27395978e+00 -1.00357648e+00  4.11391659e+00  8.39830319e-01  8.39856346e-02 
 1.11267834e-01  1.11267834e-01  5.00000000e+00  4.34016641e+00  4.27405993e+00 -9.29548859e-01  4.02965036e+00  7.34088217e-01  1.00309581e-01 
 1.12267834e-01  1.12267834e-01  5.00000000e+00  4.35267265e+00  4.27396452e+00 -8.87956134e-01  4.15376428e+00  8.38130260e-01  8.47576794e-02 
 1.13267834e-01  1.13267834e-01  5.00000000e+00  4.34280416e+00  4.27406486e+00 -8.15013155e-01  4.06679907e+00  7.32452919e-01  1.01109927e-01 
