time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
0.711544913,5.0,4.32514925,4.2740013,-1.56434089,3.74612677,0.767072257,0.0907472208,0.00214452813,0.0154935337
0.712544913,5.0,4.33006651,4.2739604,-1.50779043,3.85135586,0.830625498,0.0840862158,0.00177323679,0.0155180525
0.713544913,5.0,4.32866318,4.27400942,-1.43721106,3.82319575,0.763687679,0.0920688751,0.0018721033,0.0154886688
0.714544913,5.0,4.33401703,4.27396664,-1.38218643,3.9231332,0.827519884,0.085104157,0.00152206829,0.0155143055
0.715544913,5.0,4.33212486,4.2740171,-1.31258507,3.88997679,0.760753071,0.0933188245,0.00163759051,0.0154840678
0.716544913,5.0,4.33797183,4.27397243,-1.25906613,3.98537054,0.824832826,0.0860464056,0.0013062596,0.0155108371
0.717544913,5.0,4.33552911,4.27402431,-1.19042203,3.9479103,0.758207089,0.0944899034,0.00143563783,0.0154797572
0.718544913,5.0,4.34193086,4.27397773,-1.13838509,4.03940334,0.822507603,0.0869097778,0.00112086661,0.0155076591
0.719544913,5.0,4.33887066,4.27403099,-1.07067955,3.99823371,0.755996584,0.0955773053,0.00126164582,0.0154757545
0.720544913,5.0,4.34589378,4.27398254,-1.02009772,4.08637889,0.820495124,0.0876930887,0.000961641234,0.0155047758
0.721544913,5.0,4.34214413,4.27403715,-0.953313865,4.04201008,0.754075523,0.0965784542,0.00111166235,0.0154720694
0.722544913,5.0,4.34985989,4.27398686,-0.904157545,4.12728287,0.818752922,0.088396901,0.000824932967,0.0155021851
0.723544913,5.0,4.34534421,4.27404278,-0.838280047,4.08015264,0.752404059,0.0974928015,0.000982292475,0.0154687038
0.724544913,5.0,4.35382802,4.27399071,-0.790517505,4.16296201,0.817244264,0.0890232428,0.000707604057,0.0154998796
0.725544913,5.0,4.34846564,4.27404788,-0.725532302,4.11344584,0.750947715,0.0983215678,0.000870621194,0.0154656532
0.726544913,5.0,4.35779641,4.2739941,-0.67913028,4.19414365,0.815937389,0.0895753138,0.000606956581,0.0154978475
0.727544913,5.0,4.35150335,4.27405247,-0.615024261,4.1425635,0.749676678,0.0990674489,0.000774147023,0.0154629077
0.728544913,5.0,4.36176257,4.27399706,-0.569948565,4.22145249,0.814804833,0.0900571988,0.000520669637,0.0154960737
0.729544913,5.0,4.35445248,4.27405658,-0.506709296,4.16808433,0.748565183,0.0997343085,0.000690724791,0.0154604531
0.730544913,5.0,4.36572319,4.27399962,-0.462925345,4.24542498,0.813822846,0.0904736006,0.000446745317,0.015494541
0.731544913,5.0,4.35730844,4.27406023,-0.40054082,4.19050523,0.747590977,0.100326874,0.000618516036,0.0154582719
0.732544913,5.0,4.36967399,4.2740018,-0.358014125,4.26652168,0.812970888,0.0908296043,0.000383462274,0.0154932306
0.733544913,5.0,4.360067,4.27406346,-0.296472563,4.21025282,0.746734857,0.100850455,0.000555945734,0.0154563447
0.734544913,5.0,4.37360967,4.27400365,-0.255169126,4.28513787,0.812231187,0.0911304752,0.000329335919,0.0154921231
0.735544913,5.0,4.36272435,4.27406629,-0.19445882,4.22769322,0.745980263,0.101310682,0.000501664287,0.0154546507
0.736544913,5.0,4.37752389,4.27400519,-0.154345429,4.30161267,0.811588358,0.0913814947,0.000283084397,0.0154911992
