 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.46121188e-03  1.46121188e-03  5.00000000e+00  4.30429946e+00  4.27393553e+00 -3.17676155e+00  3.00809188e+00  8.33586895e-01  8.00312652e-02  4.80195296e-03  1.55329788e-02 
 1.79639466e-03  1.79639466e-03  5.00000000e+00  4.30493954e+00  4.27393757e+00 -3.14996728e+00  3.04049750e+00  8.32175112e-01  8.03630679e-02  4.68457702e-03  1.55317574e-02 
 2.46676020e-03  2.46676020e-03  5.00000000e+00  4.30620004e+00  4.27393967e+00 -3.09695780e+00  3.10300441e+00  8.29503957e-01  8.07063136e-02  4.46175370e-03  1.55304940e-02 
 3.46676020e-03  3.46676020e-03  5.00000000e+00  4.30807320e+00  4.27394444e+00 -3.01825286e+00  3.19064318e+00  8.25707521e-01  8.14847058e-02  4.15005272e-03  1.55276289e-02 
 4.46676020e-03  4.46676020e-03  5.00000000e+00  4.30997990e+00  4.27394798e+00 -2.94050546e+00  3.27206738e+00  8.22208838e-01  8.20620989e-02  3.85512471e-03  1.55255034e-02 
 5.46676020e-03  5.46676020e-03  5.00000000e+00  4.31188486e+00  4.27395293e+00 -2.86327878e+00  3.34766279e+00  8.18917938e-01  8.28681605e-02  3.58139670e-03  1.55225364e-02 
 6.46676020e-03  6.46676020e-03  5.00000000e+00  4.31378711e+00  4.27395636e+00 -2.78704002e+00  3.41792663e+00  8.15892475e-01  8.34284010e-02  3.32745435e-03  1.55204741e-02 
 7.46676020e-03  7.46676020e-03  5.00000000e+00  4.31568441e+00  4.27396134e+00 -2.71128583e+00  3.48317411e+00  8.13040243e-01  8.42390462e-02  3.09210878e-03  1.55174902e-02 
 8.46676020e-03  8.46676020e-03  5.00000000e+00  4.31757848e+00  4.27396461e+00 -2.63653714e+00  3.54384599e+00  8.10424383e-01  8.47719728e-02  2.87376791e-03  1.55155284e-02 
 9.46676020e-03  9.46676020e-03  5.00000000e+00  4.31946687e+00  4.27396956e+00 -2.56223424e+00  3.60019917e+00  8.07951705e-01  8.55798479e-02  2.67143064e-03  1.55125548e-02 
 1.04667602e-02  1.04667602e-02  5.00000000e+00  4.32135167e+00  4.27397262e+00 -2.48895542e+00  3.65262624e+00  8.05690316e-01  8.60772929e-02  2.48368456e-03  1.55107235e-02 
 1.14667602e-02  1.14667602e-02  5.00000000e+00  4.32322998e+00  4.27397752e+00 -2.41608211e+00  3.70133378e+00  8.03545940e-01  8.68759577e-02  2.30971265e-03  1.55077838e-02 
 1.24667602e-02  1.24667602e-02  5.00000000e+00  4.32510431e+00  4.27398031e+00 -2.34425217e+00  3.74667327e+00  8.01591210e-01  8.73309752e-02  2.14825782e-03  1.55061087e-02 
 1.34667602e-02  1.34667602e-02  5.00000000e+00  4.32697122e+00  4.27398513e+00 -2.27278620e+00  3.78880782e+00  7.99730706e-01  8.81149503e-02  1.99866163e-03  1.55032231e-02 
 1.44667602e-02  1.44667602e-02  5.00000000e+00  4.32883373e+00  4.27398763e+00 -2.20238325e+00  3.82805381e+00  7.98041178e-01  8.85219233e-02  1.85980007e-03  1.55017249e-02 
 1.54667602e-02  1.54667602e-02  5.00000000e+00  4.33068779e+00  4.27399232e+00 -2.13230178e+00  3.86453681e+00  7.96426038e-01  8.92867389e-02  1.73115111e-03  1.54989098e-02 
 1.64667602e-02  1.64667602e-02  5.00000000e+00  4.33253697e+00  4.27399450e+00 -2.06330297e+00  3.89854325e+00  7.94965781e-01  8.96414339e-02  1.61170488e-03  1.54976040e-02 
 1.74667602e-02  1.74667602e-02  5.00000000e+00  4.33437657e+00  4.27399906e+00 -1.99458260e+00  3.93016628e+00  7.93562643e-01  9.03836382e-02  1.50105664e-03  1.54948722e-02 
