time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
0.66128,0.0,10.32256,1.1648623,8.78566977,0.0118760067,9.69368376,10.0081219,10.3223908,10.3225599,10.3224753,8.69661495,1.16485628,0.832515266,0.141116164,0.0118760354,8.70692565,10.3225598,-6.01032547e-09,-3.59908253e-06,3.59908203e-06,3.59908203e-06,-1.03323908e-11,1.03353687e-11,1.03323908e-11,0.00855549901,7.8750134e-05,6.01948374e-09
0.66228,0.0,10.32456,1.16486233,8.78765669,0.0120311943,9.6944098,10.0094849,10.3243908,10.3245599,10.3244753,8.69858336,1.16485631,0.832521701,0.141116155,0.012031223,8.70889296,10.3245598,-6.01032715e-09,-3.6461124e-06,3.6461119e-06,3.6461119e-06,-1.03343908e-11,1.03329643e-11,1.03343908e-11,0.00855746743,7.87697428e-05,6.01948733e-09
0.66328,0.0,10.32656,1.16486236,8.78964362,0.0121882475,9.69513711,10.0108486,10.3263907,10.3265599,10.3264753,8.70055178,1.16485634,0.832528135,0.141116146,0.0121882761,8.71086028,10.3265598,-6.01032883e-09,-3.6937076e-06,3.69370711e-06,3.6937071e-06,-1.03363907e-11,1.03398275e-11,1.03363907e-11,0.00855943586,7.87893517e-05,6.01949102e-09
0.66428,0.0,10.32856,1.16486239,8.79163055,0.0123471846,9.69586572,10.0122129,10.3283907,10.3285599,10.3284753,8.7025202,1.16485637,0.832534568,0.141116138,0.0123472133,8.71282761,10.3285598,-6.01033053e-09,-3.74187376e-06,3.74187326e-06,3.74187326e-06,-1.03383907e-11,1.03364838e-11,1.03383907e-11,0.00856140429,7.88089606e-05,6.01949433e-09
0.66528,0.0,10.33056,1.16486242,8.79361749,0.0125080246,9.69659563,10.0135778,10.3303906,10.3305599,10.3304753,8.70448862,1.1648564,0.832541,0.141116131,0.0125080533,8.71479493,10.3305598,-6.01033218e-09,-3.79061653e-06,3.79061603e-06,3.79061603e-06,-1.03403906e-11,1.03432073e-11,1.03403906e-11,0.00856337272,7.88285695e-05,6.01949818e-09
0.66628,0.0,10.33256,1.16486246,8.79560443,0.012670786,9.69732687,10.0149434,10.3323906,10.3325599,10.3324752,8.70645705,1.16485644,0.83254743,0.141116123,0.0126708147,8.71676226,10.3325598,-6.01033388e-09,-3.83994159e-06,3.83994109e-06,3.83994109e-06,-1.03423906e-11,1.03457507e-11,1.03423906e-11,0.00856534115,7.88481785e-05,6.01950218e-09
0.66728,0.0,10.33456,1.16486249,8.79759137,0.0128354877,9.69805943,10.0163097,10.3343906,10.3345599,10.3344753,8.70842548,1.16485647,0.832553858,0.141116116,0.0128355164,8.71872959,10.3345598,-6.01033555e-09,-3.88985465e-06,3.88985416e-06,3.88985416e-06,-1.03443906e-11,1.03426327e-11,1.03443906e-11,0.00856730959,7.88677875e-05,6.01950577e-09
0.66828,0.0,10.33656,1.16486252,8.79957831,0.0130021487,9.69879334,10.0176767,10.3363905,10.3365599,10.3364752,8.71039391,1.1648565,0.832560285,0.14111611,0.0130021774,8.72069693,10.3365598,-6.01033725e-09,-3.94036146e-06,3.94036097e-06,3.94036097e-06,-1.03463905e-11,1.03486367e-11,1.03463905e-11,0.00856927803,7.88873966e-05,6.01950943e-09
0.66928,0.0,10.33856,1.16486255,8.80156526,0.013170788,9.69952861,10.0190443,10.3383905,10.3385599,10.3384752,8.71236235,1.16485653,0.832566711,0.141116104,0.0131708167,8.72266426,10.3385598,-6.01033891e-09,-3.99146778e-06,3.99146729e-06,3.99146729e-06,-1.03483905e-11,1.03467008e-11,1.03483905e-11,0.00857124647,7.89070057e-05,6.0195132e-09
0.67028,0.0,10.34056,1.16486258,8.80355221,0.0133414248,9.70026525,10.0204126,10.3403905,10.3405599,10.3404752,8.71433078,1.16485656,0.832573136,0.141116098,0.0133414535,8.7246316,10.3405598,-6.01034062e-09,-4.0431794e-06,4.04317891e-06,4.04317891e-06,-1.03503905e-11,1.03544753e-11,1.03503905e-11,0.00857321491,7.89266149e-05,6.01951646e-09
0.67128,0.0,10.34256,1.16486261,8.80553916,0.0135140781,9.70100327,10.0217816,10.3423905,10.3425599,10.3424752,8.71629922,1.16485659,0.832579559,0.141116093,0.0135141068,8.72659895,10.3425598,-6.01034226e-09,-4.09550214e-06,4.09550165e-06,4.09550165e-06,-1.03523905e-11,1.03509531e-11,1.03523905e-11,0.00857518335,7.89462241e-05,6.01952035e-09
0.67228,0.0,10.34456,1.16486265,8.80752612,0.0136887673,9.7017427,10.0231513,10.3443904,10.3445599,10.3444751,8.71826766,1.16485663,0.832585981,0.141116089,0.013688796,8.7285663,10.3445598,-6.01034399e-09,-4.14844184e-06,4.14844135e-06,4.14844135e-06,-1.03543904e-11,1.03584376e-11,1.03543904e-11,0.0085771518,7.89658334e-05,6.01952405e-09
0.67328,0.0,10.34656,1.16486268,8.80951308,0.0138655118,9.70248353,10.0245218,10.3463904,10.3465599,10.3464751,8.72023611,1.16485666,0.832592401,0.141116084,0.0138655405,8.73053365,10.3465598,-6.01034562e-09,-4.20200437e-06,4.20200388e-06,4.20200388e-06,-1.03563904e-11,1.03590196e-11,1.03563904e-11,0.00857912025,7.89854427e-05,6.01952792e-09
0.67428,0.0,10.34856,1.16486271,8.81150004,0.014044331,9.70322579,10.0258929,10.3483904,10.3485599,10.3484751,8.72220456,1.16485669,0.83259882,0.14111608,0.0140443597,8.732501,10.3485598,-6.01034736e-09,-4.25619563e-06,4.25619514e-06,4.25619514e-06,-1.03583904e-11,1.03574538e-11,1.03583904e-11,0.0085810887,7.9005052e-05,6.01953156e-09
0.67528,0.0,10.35056,1.16486274,8.813487,0.0142252444,9.70396949,10.0272647,10.3503903,10.3505599,10.3504751,8.72417301,1.16485672,0.832605238,0.141116077,0.0142252731,8.73446836,10.3505598,-6.01034899e-09,-4.31102153e-06,4.31102104e-06,4.31102104e-06,-1.03603903e-11,1.03629782e-11,1.03603903e-11,0.00858305716,7.90246614e-05,6.01953513e-09
0.67628,0.0,10.35256,1.16486277,8.81547397,0.0144082716,9.70471464,10.0286373,10.3523903,10.3525599,10.3524751,8.72614146,1.16485675,0.832611654,0.141116074,0.0144083004,8.73643572,10.3525598,-6.01035072e-09,-4.366488e-06,4.36648752e-06,4.36648752e-06,-1.03623903e-11,1.03599772e-11,1.03623903e-11,0.00858502561,7.90442709e-05,6.01953891e-09
0.67728,0.0,10.35456,1.16486281,8.81746095,0.0145934324,9.70546126,10.0300106,10.3543903,10.3545599,10.3544751,8.72810992,1.16485679,0.832618069,0.141116071,0.0145934611,8.73840308,10.3545598,-6.01035236e-09,-4.42260102e-06,4.42260054e-06,4.42260054e-06,-1.03643903e-11,1.0366774e-11,1.03643903e-11,0.00858699407,7.90638803e-05,6.01954256e-09
0.67828,0.0,10.35656,1.16486284,8.81944792,0.0147807464,9.70620936,10.0313847,10.3563902,10.3565599,10.3564751,8.73007837,1.16485682,0.832624482,0.141116068,0.0147807752,8.74037044,10.3565598,-6.01035408e-09,-4.47936657e-06,4.47936609e-06,4.47936609e-06,-1.03663902e-11,1.03658015e-11,1.03663902e-11,0.00858896253,7.90834899e-05,6.01954627e-09
0.67928,0.0,10.35856,1.16486287,8.8214349,0.0149702335,9.70695895,10.0327595,10.3583902,10.3585599,10.358475,8.73204683,1.16485685,0.832630895,0.141116067,0.0149702623,8.74233781,10.3585598,-6.01035572e-09,-4.53679065e-06,4.53679017e-06,4.53679017e-06,-1.03683902e-11,1.03707913e-11,1.03683902e-11,0.00859093099,7.91030994e-05,6.01955019e-09
