time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@dled12_1[id],@dled12_2[id]
2.20787183,0.0,9.0,7.27978389,7.82130935,0.733732146,0.202476782,0.608300814,7.81761907,0.0150581002,7.85167119e-06
2.20787183,0.0,9.0,7.27978443,7.82130055,0.733722711,0.202496012,0.608320045,7.81760963,0.0150580605,7.85300613e-06
2.20787183,0.0,9.0,7.2797855,7.82128286,0.733703765,0.202534563,0.608358596,7.81759069,0.0150579807,7.85568737e-06
2.20787183,0.0,9.0,7.27978765,7.8212473,0.733665668,0.202612026,0.608436061,7.81755259,0.0150578205,7.8610816e-06
2.20787183,0.0,9.0,7.279792,7.82117543,0.733588669,0.202768422,0.608592459,7.81747559,0.015057497,7.87199434e-06
2.20787183,0.0,9.0,7.27980086,7.82102848,0.733431213,0.203087238,0.60891128,7.81731813,0.0150568375,7.89435409e-06
2.20787183,0.0,9.0,7.27981929,7.82072094,0.733101591,0.203750261,0.609574313,7.8169885,0.015055466,7.94135426e-06
2.20787183,0.0,9.0,7.27985929,7.82004464,0.732376258,0.205189624,0.611013696,7.81626316,0.0150524887,8.04569702e-06
2.20787184,0.0,9.0,7.27995536,7.81837446,0.730582219,0.20864601,0.614470119,7.81446909,0.015045339,8.30928067e-06
2.20787184,0.0,9.0,7.2799841,7.81786102,0.730029902,0.209679919,0.615504036,7.81391677,0.0150432004,8.3920288e-06
2.20787184,0.0,9.0,7.27998502,7.81784489,0.730012535,0.209712796,0.615536914,7.8138994,0.0150431324,8.39464301e-06
2.20787184,0.0,9.0,7.27998685,7.81781252,0.729977706,0.209778727,0.615602845,7.81386457,0.015042996,8.39988823e-06
2.20787184,0.0,9.0,7.27999054,7.81774728,0.729907486,0.209911448,0.615735568,7.81379435,0.0150427215,8.41047233e-06
2.20787184,0.0,9.0,7.27999802,7.81761468,0.729764761,0.210180405,0.616004526,7.81365163,0.0150421651,8.43202321e-06
2.20787184,0.0,9.0,7.27999825,7.81761049,0.729760251,0.210188887,0.616013009,7.81364712,0.0150421476,8.43270501e-06
2.20787184,0.0,9.0,7.27999872,7.81760211,0.729751229,0.210205864,0.616029986,7.8136381,0.0150421125,8.43406909e-06
