 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 7.47111894e-01  7.47111894e-01  0.00000000e+00  9.00000000e+00  7.87237991e+00  7.28085160e+00  6.44275627e-01  7.87100360e+00  7.11008071e-01  2.40870125e-01  2.92830304e-06  1.49786840e-02 
 7.47111894e-01  7.47111894e-01  0.00000000e+00  9.00000000e+00  7.87228922e+00  7.28085656e+00  6.44453823e-01  7.87091051e+00  7.10914975e-01  2.41048321e-01  2.93343803e-06  1.49783154e-02 
 7.47111894e-01  7.47111894e-01  0.00000000e+00  9.00000000e+00  7.87210554e+00  7.28086655e+00  6.44812703e-01  7.87072193e+00  7.10726396e-01  2.41407201e-01  2.94386651e-06  1.49775731e-02 
 7.47111894e-01  7.47111894e-01  0.00000000e+00  9.00000000e+00  7.87172879e+00  7.28088681e+00  6.45540738e-01  7.87033507e+00  7.10339542e-01  2.42135236e-01  2.96537269e-06  1.49760672e-02 
 7.47111894e-01  7.47111894e-01  0.00000000e+00  9.00000000e+00  7.87093658e+00  7.28092854e+00  6.47040430e-01  7.86952136e+00  7.09525842e-01  2.43634928e-01  3.01110851e-06  1.49729651e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86918679e+00  7.28101745e+00  6.50234700e-01  7.86772291e+00  7.07727406e-01  2.46829198e-01  3.11464085e-06  1.49663580e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86870624e+00  7.28104101e+00  6.51081163e-01  7.86722871e+00  7.07233210e-01  2.47675662e-01  3.14369158e-06  1.49646071e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86858503e+00  7.28104696e+00  6.51295158e-01  7.86710403e+00  7.07108537e-01  2.47889656e-01  3.15106184e-06  1.49641645e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86834056e+00  7.28105897e+00  6.51726379e-01  7.86685255e+00  7.06857056e-01  2.48320878e-01  3.16597968e-06  1.49632725e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86783954e+00  7.28108339e+00  6.52603797e-01  7.86633706e+00  7.06341568e-01  2.49198296e-01  3.19677310e-06  1.49614576e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86678718e+00  7.28113399e+00  6.54421360e-01  7.86525384e+00  7.05258355e-01  2.51015859e-01  3.26243098e-06  1.49576981e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86675316e+00  7.28113561e+00  6.54479566e-01  7.86521881e+00  7.05223330e-01  2.51074065e-01  3.26457567e-06  1.49575777e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86668498e+00  7.28113885e+00  6.54596205e-01  7.86514860e+00  7.05153122e-01  2.51190704e-01  3.26887890e-06  1.49573365e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86654777e+00  7.28114538e+00  6.54830532e-01  7.86500732e+00  7.05011837e-01  2.51425031e-01  3.27755531e-06  1.49568518e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86651326e+00  7.28114701e+00  6.54889351e-01  7.86497178e+00  7.04976304e-01  2.51483850e-01  3.27974090e-06  1.49567301e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86644411e+00  7.28115030e+00  6.55007219e-01  7.86490057e+00  7.04905087e-01  2.51601718e-01  3.28412567e-06  1.49564863e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86630493e+00  7.28115689e+00  6.55244020e-01  7.86475724e+00  7.04761762e-01  2.51838519e-01  3.29296737e-06  1.49559965e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86626993e+00  7.28115854e+00  6.55303461e-01  7.86472119e+00  7.04725715e-01  2.51897960e-01  3.29519470e-06  1.49558736e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86619978e+00  7.28116186e+00  6.55422577e-01  7.86464893e+00  7.04653457e-01  2.52017077e-01  3.29966395e-06  1.49556272e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86605860e+00  7.28116852e+00  6.55661892e-01  7.86450352e+00  7.04508044e-01  2.52256392e-01  3.30867574e-06  1.49551322e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86602309e+00  7.28117019e+00  6.55721966e-01  7.86446695e+00  7.04471474e-01  2.52316466e-01  3.31094592e-06  1.49550079e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86595194e+00  7.28117354e+00  6.55842351e-01  7.86439366e+00  7.04398180e-01  2.52436851e-01  3.31550029e-06  1.49547589e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86580874e+00  7.28118028e+00  6.56084220e-01  7.86424614e+00  7.04250665e-01  2.52678720e-01  3.32468510e-06  1.49542586e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86551879e+00  7.28119387e+00  6.56572407e-01  7.86394741e+00  7.03951938e-01  2.53166907e-01  3.34336061e-06  1.49532489e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86492442e+00  7.28122156e+00  6.57566960e-01  7.86333489e+00  7.03339426e-01  2.54161461e-01  3.38197168e-06  1.49511917e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86477219e+00  7.28122860e+00  6.57819776e-01  7.86317798e+00  7.03182514e-01  2.54414276e-01  3.39193239e-06  1.49506688e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86473405e+00  7.28123036e+00  6.57883167e-01  7.86313867e+00  7.03143201e-01  2.54477668e-01  3.39443236e-06  1.49505376e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86465759e+00  7.28123390e+00  6.58010206e-01  7.86305985e+00  7.03064388e-01  2.54604706e-01  3.39944969e-06  1.49502749e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86450374e+00  7.28124100e+00  6.58265472e-01  7.86290124e+00  7.02905780e-01  2.54859972e-01  3.40956856e-06  1.49497469e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86419221e+00  7.28125535e+00  6.58780810e-01  7.86258004e+00  7.02584581e-01  2.55375311e-01  3.43015003e-06  1.49486809e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86355346e+00  7.28128460e+00  6.59831119e-01  7.86192127e+00  7.01925813e-01  2.56425621e-01  3.47273922e-06  1.49465085e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.86221013e+00  7.28134537e+00  6.62013643e-01  7.86053504e+00  7.00539589e-01  2.58608145e-01  3.56403768e-06  1.49419941e-02 
 7.47111895e-01  7.47111895e-01  0.00000000e+00  9.00000000e+00  7.85923343e+00  7.28147684e+00  6.66735028e-01  7.85745919e+00  6.97463758e-01  2.63329533e-01  3.77498568e-06  1.49322283e-02 
 7.47111896e-01  7.47111896e-01  0.00000000e+00  9.00000000e+00  7.85185632e+00  7.28178691e+00  6.77866322e-01  7.84981035e+00  6.89814969e-01  2.74460834e-01  4.35312162e-06  1.49092044e-02 
 7.47111896e-01  7.47111896e-01  0.00000000e+00  9.00000000e+00  7.82819823e+00  7.28267689e+00  7.09792854e-01  7.82496745e+00  6.64972183e-01  3.06387390e-01  6.87399305e-06  1.48431691e-02 
 7.47111897e-01  7.47111897e-01  0.00000000e+00  9.00000000e+00  7.81925228e+00  7.28298420e+00  7.20808702e-01  7.81541252e+00  6.55417290e-01  3.17403248e-01  8.16968788e-06  1.48203850e-02 
 7.47111897e-01  7.47111897e-01  0.00000000e+00  9.00000000e+00  7.81691799e+00  7.28306437e+00  7.23681872e-01  7.81290130e+00  6.52906072e-01  3.20276421e-01  8.54616334e-06  1.48144424e-02 
 7.47111897e-01  7.47111897e-01  0.00000000e+00  9.00000000e+00  7.81205117e+00  7.28323011e+00  7.29620717e-01  7.80763895e+00  6.47643744e-01  3.26215271e-01  9.38770891e-06  1.48021592e-02 
 7.47111897e-01  7.47111897e-01  0.00000000e+00  9.00000000e+00  7.81076068e+00  7.28327330e+00  7.31168108e-01  7.80623720e+00  6.46242005e-01  3.27762663e-01  9.62440777e-06  1.47989588e-02 
 7.47111897e-01  7.47111897e-01  0.00000000e+00  9.00000000e+00  7.80812893e+00  7.28336113e+00  7.34314725e-01  7.80336984e+00  6.43374650e-01  3.30909283e-01  1.01257345e-05  1.47924507e-02 
 7.47111897e-01  7.47111897e-01  0.00000000e+00  9.00000000e+00  7.80255342e+00  7.28354493e+00  7.40898050e-01  7.79725389e+00  6.37258727e-01  3.37492614e-01  1.12755800e-05  1.47788347e-02 
 7.47111897e-01  7.47111897e-01  0.00000000e+00  9.00000000e+00  7.79008148e+00  7.28394884e+00  7.55359970e-01  7.78334106e+00  6.23345940e-01  3.51954547e-01  1.43413114e-05  1.47489240e-02 
 7.47111898e-01  7.47111898e-01  0.00000000e+00  9.00000000e+00  7.75936336e+00  7.28493981e+00  7.90810172e-01  7.74718449e+00  5.87189477e-01  3.87404785e-01  2.59125024e-05  1.46756064e-02 
 7.47111898e-01  7.47111898e-01  0.00000000e+00  9.00000000e+00  7.67839715e+00  7.28816934e+00  9.06028560e-01  7.62120797e+00  4.61213313e-01  5.02623290e-01  1.21679092e-04  1.44373320e-02 
 7.47111900e-01  7.47111900e-01  0.00000000e+00  9.00000000e+00  7.51876582e+00  7.31010684e+00  1.67531906e+00  6.62976096e+00 -5.30231374e-01  1.27191465e+00  1.89149970e-03  1.28472174e-02 
 7.47111901e-01  7.47111901e-01  0.00000000e+00  9.00000000e+00  7.40088084e+00  7.31282475e+00  1.76890875e+00  4.13491329e+00 -3.02507403e+00  1.36550571e+00  6.94886713e-03  1.26538703e-02 
 7.47111903e-01  7.47111903e-01  0.00000000e+00  9.00000000e+00  7.28348477e+00  7.30655614e+00  1.55245488e+00  3.35338021e-01 -6.82464154e+00  1.14905344e+00  1.47832910e-02  1.31010696e-02 
 7.47111905e-01  7.47111905e-01  0.00000000e+00  9.00000000e+00  7.27791945e+00  7.32180557e+00  2.07526801e+00  1.35313252e-01 -7.02466246e+00  1.67186867e+00  1.51970345e-02  1.20211423e-02 
 7.47111907e-01  7.47111907e-01  0.00000000e+00  9.00000000e+00  7.27732177e+00  7.31801823e+00  1.94661861e+00  1.13750350e-01 -7.04622553e+00  1.54322155e+00  1.52416413e-02  1.22868015e-02 
 7.47111909e-01  7.47111909e-01  0.00000000e+00  9.00000000e+00  7.27714599e+00  7.32016344e+00  2.01958384e+00  1.07405795e-01 -7.05256987e+00  1.61618939e+00  1.52547664e-02  1.21361150e-02 
 7.47111911e-01  7.47111911e-01  0.00000000e+00  9.00000000e+00  7.27689909e+00  7.31854580e+00  1.96458176e+00  9.84917279e-02 -7.06148376e+00  1.56119027e+00  1.52732071e-02  1.22496926e-02 
 7.47111914e-01  7.47111914e-01  0.00000000e+00  9.00000000e+00  7.27674923e+00  7.31992623e+00  2.01152156e+00  9.30802007e-02 -7.06689507e+00  1.60813349e+00  1.52844023e-02  1.21527505e-02 
 7.47111919e-01  7.47111919e-01  0.00000000e+00  9.00000000e+00  7.27653384e+00  7.31873550e+00  1.97102999e+00  8.53003885e-02 -7.07467451e+00  1.56764796e+00  1.53004970e-02  1.22363565e-02 
 7.47111928e-01  7.47111928e-01  0.00000000e+00  9.00000000e+00  7.27633122e+00  7.31989804e+00  2.01054784e+00  7.79799441e-02 -7.08199433e+00  1.60717599e+00  1.53156410e-02  1.21547278e-02 
 7.47111944e-01  7.47111944e-01  0.00000000e+00  9.00000000e+00  7.27610400e+00  7.31884334e+00  1.97466910e+00  6.97683536e-02 -7.09020469e+00  1.57131762e+00  1.53326290e-02  1.22287781e-02 
 7.47111978e-01  7.47111978e-01  0.00000000e+00  9.00000000e+00  7.27592594e+00  7.31996365e+00  2.01271542e+00  6.33321981e-02 -7.09663840e+00  1.60940468e+00  1.53459444e-02  1.21501255e-02 
 7.47112032e-01  7.47112032e-01  0.00000000e+00  9.00000000e+00  7.27582452e+00  7.31893024e+00  1.97751844e+00  5.96654088e-02 -7.10030119e+00  1.57427446e+00  1.53535300e-02  1.22226719e-02 
 7.47112098e-01  7.47112098e-01  0.00000000e+00  9.00000000e+00  7.27580351e+00  7.31999797e+00  2.01376627e+00  5.89059603e-02 -7.10105585e+00  1.61060246e+00  1.53551013e-02  1.21478798e-02 
 7.47112187e-01  7.47112187e-01  0.00000000e+00  9.00000000e+00  7.27579167e+00  7.31895079e+00  1.97806076e+00  5.84776888e-02 -7.10147767e+00  1.57500467e+00  1.53559872e-02  1.22213834e-02 
 7.47112310e-01  7.47112310e-01  0.00000000e+00  9.00000000e+00  7.27579785e+00  7.32000246e+00  2.01365982e+00  5.87010009e-02 -7.10124537e+00  1.61075412e+00  1.53555252e-02  1.21475607e-02 
 7.47112549e-01  7.47112549e-01  0.00000000e+00  9.00000000e+00  7.27579218e+00  7.31896392e+00  1.97806552e+00  5.84962487e-02 -7.10143270e+00  1.57545099e+00  1.53559488e-02  1.22204581e-02 
 7.47113022e-01  7.47113022e-01  0.00000000e+00  9.00000000e+00  7.27579784e+00  7.32002228e+00  2.01346551e+00  5.87008626e-02 -7.10119359e+00  1.61142757e+00  1.53555255e-02  1.21461729e-02 
 7.47113969e-01  7.47113969e-01  0.00000000e+00  9.00000000e+00  7.27579223e+00  7.31900665e+00  1.97778817e+00  5.84980471e-02 -7.10132741e+00  1.57690325e+00  1.53559451e-02  1.22174496e-02 
 7.47115862e-01  7.47115862e-01  0.00000000e+00  9.00000000e+00  7.27579791e+00  7.32010608e+00  2.01285554e+00  5.87034208e-02 -7.10098405e+00  1.61427611e+00  1.53555202e-02  1.21403083e-02 
 7.47119648e-01  7.47119648e-01  0.00000000e+00  9.00000000e+00  7.27579239e+00  7.31917502e+00  1.97659638e+00  5.85036807e-02 -7.10090783e+00  1.58262571e+00  1.53559334e-02  1.22055990e-02 
 7.47127220e-01  7.47127220e-01  0.00000000e+00  9.00000000e+00  7.27579822e+00  7.32044221e+00  2.01046005e+00  5.87144419e-02 -7.10014516e+00  1.62569795e+00  1.53554974e-02  1.21168017e-02 
 7.47142365e-01  7.47142365e-01  0.00000000e+00  9.00000000e+00  7.27579300e+00  7.31984662e+00  1.97182005e+00  5.85258883e-02 -7.09922994e+00  1.60543941e+00  1.53558875e-02  1.21583844e-02 
 7.47172654e-01  7.47172654e-01  0.00000000e+00  9.00000000e+00  7.27579945e+00  7.32178192e+00  2.00093477e+00  5.87589443e-02 -7.09678958e+00  1.67117484e+00  1.53554053e-02  1.20233240e-02 
 7.47233232e-01  7.47233232e-01  0.00000000e+00  9.00000000e+00  7.27579548e+00  7.32251261e+00  1.95289377e+00  5.86155228e-02 -7.09251931e+00  1.69581006e+00  1.53557020e-02  1.19718182e-02 
 7.47354388e-01  7.47354388e-01  0.00000000e+00  9.00000000e+00  7.27580447e+00  7.32706060e+00  1.96356601e+00  5.89405717e-02 -7.08337056e+00  1.84960301e+00  1.53550296e-02  1.16583423e-02 
 7.47596700e-01  7.47596700e-01  0.00000000e+00  9.00000000e+00  7.27580578e+00  7.33286096e+00  1.88005081e+00  5.89880557e-02 -7.06569039e+00  2.04362996e+00  1.53549313e-02  1.12606253e-02 
 7.48081323e-01  7.48081323e-01  0.00000000e+00  9.00000000e+00  7.27582765e+00  7.34715660e+00  1.82512689e+00  5.97785873e-02 -7.02969338e+00  2.51074095e+00  1.53532959e-02  1.02903245e-02 
 7.49050571e-01  7.49050571e-01  0.00000000e+00  9.00000000e+00  7.27585893e+00  7.37033400e+00  1.62960751e+00  6.09095744e-02 -6.95838488e+00  3.23981497e+00  1.53509561e-02  8.78893840e-03 
 7.50050571e-01  7.50050571e-01  0.00000000e+00  9.00000000e+00  7.27591013e+00  7.39406253e+00  1.52555097e+00  6.27605153e-02 -6.88445859e+00  3.94237595e+00  1.53471268e-02  7.34484162e-03 
 7.51050571e-01  7.51050571e-01  0.00000000e+00  9.00000000e+00  7.27595644e+00  7.41311584e+00  1.37245110e+00  6.44347196e-02 -6.81104258e+00  4.46961509e+00  1.53436632e-02  6.26320942e-03 
 7.52050571e-01  7.52050571e-01  0.00000000e+00  9.00000000e+00  7.27602091e+00  7.43298493e+00  1.30887370e+00  6.67652353e-02 -6.73730337e+00  4.98011918e+00  1.53388419e-02  5.21948335e-03 
 7.53050571e-01  7.53050571e-01  0.00000000e+00  9.00000000e+00  7.27607918e+00  7.44840569e+00  1.18980777e+00  6.88714824e-02 -6.66412100e+00  5.34568957e+00  1.53344845e-02  4.47413884e-03 
 7.54050571e-01  7.54050571e-01  0.00000000e+00  9.00000000e+00  7.27615474e+00  7.46563968e+00  1.15499398e+00  7.16024199e-02 -6.59064591e+00  5.72024882e+00  1.53288347e-02  3.71407172e-03 
 7.55050571e-01  7.55050571e-01  0.00000000e+00  9.00000000e+00  7.27622274e+00  7.47831323e+00  1.06006907e+00  7.40596684e-02 -6.51777578e+00  5.97132199e+00  1.53237512e-02  3.20652597e-03 
 7.56050571e-01  7.56050571e-01  0.00000000e+00  9.00000000e+00  7.27630687e+00  7.49381423e+00  1.04571247e+00  7.70999871e-02 -6.44465304e+00  6.24964229e+00  1.53174615e-02  2.64754656e-03 
