time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0555713343,11.9870461,-20.8802045,0.0192124408,-20.8724073,11.9869557,-20.8701074,1.2636619,0.641192394,11.999987,12.0,0.0,1.39285821,2.27235703e-05,9.04281224e-07,-0.000104540712,0.000283012116
0.0556713343,11.9870701,-20.7353445,0.0171026554,-20.7431509,11.9871621,-20.7454504,1.26299083,0.639820975,11.9999872,12.0,0.0,1.39219771,-2.27358821e-05,-9.19889566e-07,0.000104523349,0.000290780017
0.0557713343,11.9870461,-20.6012199,0.0192123694,-20.5934236,11.9869557,-20.5911237,1.26366188,0.64119235,11.999987,12.0,0.0,1.39285819,2.27220146e-05,9.03386154e-07,-0.000104538094,0.000283012402
0.0558713343,11.9870707,-20.41557,0.0171029402,-20.423373,11.9871622,-20.4256725,1.26299093,0.639821165,11.9999872,12.0,0.0,1.39219781,-2.27298211e-05,-9.15414436e-07,0.000104524303,0.000290779003
0.0559713343,11.9870461,-20.2409626,0.0192122975,-20.233167,11.9869558,-20.2308672,1.26366186,0.641192306,11.999987,12.0,0.0,1.39285817,2.27204478e-05,9.02477481e-07,-0.000104535473,0.000283012697
0.0560713343,11.9870712,-20.0151939,0.0171032274,-20.0229933,11.9871623,-20.0252929,1.26299103,0.639821357,11.9999872,12.0,0.0,1.39219791,-2.27237102e-05,-9.10927394e-07,0.000104525252,0.000290777988
0.0561713343,11.9870461,-19.8008541,0.0192122248,-19.7930594,11.9869559,-19.7907596,1.26366185,0.641192263,11.999987,12.0,0.0,1.39285816,2.27188671e-05,9.01551426e-07,-0.00010453285,0.000283013002
0.0562713343,11.9870718,-19.5357961,0.0171035177,-19.543592,11.9871624,-19.5458916,1.26299113,0.639821551,11.9999872,12.0,0.0,1.39219802,-2.27175356e-05,-9.06425166e-07,0.000104526192,0.000290776969
0.0563713343,11.9870461,-19.2826315,0.0192121514,-19.2748376,11.9869561,-19.2725379,1.26366183,0.64119222,11.999987,12.0,0.0,1.39285815,2.27172702e-05,9.00604196e-07,-0.000104530222,0.000283013317
0.0564713343,11.9870724,-18.9792688,0.0171038117,-18.9870611,11.9871626,-18.9893607,1.26299124,0.639821749,11.9999872,12.0,0.0,1.39219812,-2.27112818e-05,-9.01904228e-07,0.000104527124,0.000290775945
0.0565713343,11.9870462,-18.6883398,0.0192120772,-18.6805468,11.9869562,-18.6782472,1.26366182,0.641192177,11.999987,12.0,0.0,1.39285814,2.27156552e-05,8.99631984e-07,-0.00010452759,0.000283013643
0.0566713343,11.987073,-18.3478082,0.0171041102,-18.355597,11.9871627,-18.3578966,1.26299135,0.639821951,11.9999872,12.0,0.0,1.39219823,-2.27049312e-05,-8.9736075e-07,0.000104528046,0.000290774911
0.0567713343,11.9870462,-18.0203246,0.019212002,-18.0125324,11.9869564,-18.0102329,1.26366181,0.641192133,11.999987,12.0,0.0,1.39285813,2.27140208e-05,8.98630966e-07,-0.000104524951,0.000283013979
0.0568713343,11.9870736,-17.6439065,0.0171044143,-17.6516917,11.9871629,-17.6539913,1.26299146,0.639822156,11.9999872,12.0,0.0,1.39219835,-2.26984636e-05,-8.92790524e-07,0.000104528956,0.000290773863
0.0569713343,11.9870463,-17.2812221,0.0192119259,-17.2734308,11.9869566,-17.2711313,1.26366179,0.64119209,11.999987,12.0,0.0,1.39285812,2.27123668e-05,8.97597303e-07,-0.000104522304,0.000283014326
0.0570713343,11.9870743,-16.8703418,0.0171047251,-16.8781232,11.9871631,-16.8804228,1.26299158,0.639822367,11.9999872,12.0,0.0,1.39219846,-2.26918552e-05,-8.88188881e-07,0.000104529855,0.000290772798
0.0571713343,11.9870464,-16.4739493,0.019211849,-16.4661589,11.9869568,-16.4638594,1.26366178,0.641192048,11.999987,12.0,0.0,1.39285811,2.27106941e-05,8.96527144e-07,-0.000104519647,0.000283014682
0.0572713343,11.987075,-16.0301668,0.0171050438,-16.0379445,11.9871633,-16.0402441,1.2629917,0.639822583,11.9999872,12.0,0.0,1.39219859,-2.26850777e-05,-8.83550599e-07,0.00010453074,0.000290771711
0.0573713343,11.9870465,-15.601692,0.0192117712,-15.5939025,11.986957,-15.5916032,1.26366177,0.641192005,11.999987,12.0,0.0,1.3928581,2.27090055e-05,8.95416635e-07,-0.000104516977,0.000283015047
0.0574713343,11.9870756,-15.1266975,0.017105372,-15.1344713,11.9871635,-15.136771,1.26299182,0.639822807,11.9999872,12.0,0.0,1.39219871,-2.26780967e-05,-8.78869791e-07,0.000104531612,0.000290770594
0.0575713343,11.9870466,-14.6678927,0.019211693,-14.6601042,11.9869572,-14.6578049,1.26366177,0.641191962,11.999987,12.0,0.0,1.3928581,2.27073067e-05,8.94261926e-07,-0.000104514293,0.00028301542
0.0576713343,11.9870764,-14.1634994,0.0171057119,-14.1712693,11.9871638,-14.173569,1.26299195,0.639823038,11.9999872,12.0,0.0,1.39219884,-2.26708697e-05,-8.74139763e-07,0.000104532471,0.00029076944
0.0577713343,11.9870468,-13.6762367,0.0192116148,-13.6684491,11.9869575,-13.6661498,1.26366176,0.64119192,11.999987,12.0,0.0,1.39285809,2.27056068e-05,8.93059194e-07,-0.00010451159,0.000283015798
0.0578713343,11.9870771,-13.144374,0.0171060658,-13.1521398,11.987164,-13.1544395,1.26299209,0.639823279,11.9999872,12.0,0.0,1.39219898,-2.2663343e-05,-8.69352853e-07,0.000104533316,0.000290768241
