 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 3.77500000e-02  3.77500000e-02  3.10987735e+00  1.00000000e+01  1.22961776e+01  3.10987144e+00  5.00000007e+00 
 3.82500000e-02  3.82500000e-02  3.14424204e+00  1.00000000e+01  1.23232769e+01  3.14423750e+00  5.00000005e+00 
 3.87500000e-02  3.87500000e-02  3.17843534e+00  1.00000000e+01  1.23501897e+01  3.17842944e+00  5.00000007e+00 
 3.92500000e-02  3.92500000e-02  3.21245809e+00  1.00000000e+01  1.23769221e+01  3.21245356e+00  5.00000005e+00 
 3.97500000e-02  3.97500000e-02  3.24631116e+00  1.00000000e+01  1.24034697e+01  3.24630527e+00  5.00000007e+00 
 4.02500000e-02  4.02500000e-02  3.27999538e+00  1.00000000e+01  1.24298388e+01  3.27999086e+00  5.00000005e+00 
 4.07500000e-02  4.07500000e-02  3.31351160e+00  1.00000000e+01  1.24560247e+01  3.31350573e+00  5.00000007e+00 
 4.12500000e-02  4.12500000e-02  3.34686066e+00  1.00000000e+01  1.24820344e+01  3.34685615e+00  5.00000005e+00 
 4.17500000e-02  4.17500000e-02  3.38004338e+00  1.00000000e+01  1.25078634e+01  3.38003752e+00  5.00000007e+00 
 4.22500000e-02  4.22500000e-02  3.41306061e+00  1.00000000e+01  1.25335177e+01  3.41305611e+00  5.00000005e+00 
 4.27500000e-02  4.27500000e-02  3.44591317e+00  1.00000000e+01  1.25589927e+01  3.44590732e+00  5.00000007e+00 
 4.32500000e-02  4.32500000e-02  3.47860187e+00  1.00000000e+01  1.25842954e+01  3.47859738e+00  5.00000005e+00 
 4.37500000e-02  4.37500000e-02  3.51112753e+00  1.00000000e+01  1.26094211e+01  3.51112169e+00  5.00000007e+00 
 4.42500000e-02  4.42500000e-02  3.54349097e+00  1.00000000e+01  1.26343759e+01  3.54348649e+00  5.00000005e+00 
 4.47500000e-02  4.47500000e-02  3.57569300e+00  1.00000000e+01  1.26591555e+01  3.57568717e+00  5.00000007e+00 
 4.52500000e-02  4.52500000e-02  3.60773442e+00  1.00000000e+01  1.26837659e+01  3.60772995e+00  5.00000005e+00 
 4.57500000e-02  4.57500000e-02  3.63961604e+00  1.00000000e+01  1.27082029e+01  3.63961021e+00  5.00000007e+00 
 4.62500000e-02  4.62500000e-02  3.67133864e+00  1.00000000e+01  1.27324728e+01  3.67133417e+00  5.00000005e+00 
 4.67500000e-02  4.67500000e-02  3.70290302e+00  1.00000000e+01  1.27565713e+01  3.70289721e+00  5.00000007e+00 
 4.72500000e-02  4.72500000e-02  3.73430998e+00  1.00000000e+01  1.27805043e+01  3.73430551e+00  5.00000005e+00 
