 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)       
 9.45365648e+00  9.45365648e+00  8.17394094e-02  6.49941029e-01  4.93242656e-02  5.30302800e-01 
 9.45565648e+00  9.45565648e+00  8.37022099e-02  7.48247380e-01  4.68700748e-02  6.27178525e-01 
 9.45765648e+00  9.45765648e+00  8.57891096e-02  8.81292871e-01  4.95535797e-02  7.67615388e-01 
 9.45965648e+00  9.45965648e+00  8.79932218e-02  1.07169477e+00  4.71090934e-02  9.89655007e-01 
 9.46165648e+00  9.46165648e+00  9.03429828e-02  1.36580893e+00  4.98245381e-02  1.39264072e+00 
 9.46365648e+00  9.46365648e+00  9.28332219e-02  1.87996909e+00  4.73874838e-02  2.34855748e+00 
 9.46565648e+00  9.46565648e+00  9.54962591e-02  3.00294741e+00  5.01368952e-02  7.41355323e+00 
 9.46765648e+00  9.46765648e+00  9.83294104e-02  7.33427470e+00  4.77051275e-02  1.15000220e+01 
 9.46869896e+00  9.46869896e+00  9.98894482e-02  1.14998868e+01  5.04015072e-02  1.15000052e+01 
 9.46948724e+00  9.46948724e+00  1.01099102e-01  1.15001404e+01  4.78653258e-02  1.15000220e+01 
 9.47025685e+00  9.47025685e+00  1.02323003e-01  1.14998868e+01  5.05445584e-02  1.15000052e+01 
 9.47099211e+00  9.47099211e+00  1.03512627e-01  1.15001404e+01  4.80040157e-02  1.15000220e+01 
 9.47246263e+00  9.47246263e+00  1.06003123e-01  1.14998868e+01  5.07594009e-02  1.15000052e+01 
 9.47446263e+00  9.47446263e+00  1.09599333e-01  1.15001404e+01  4.83404540e-02  1.15000220e+01 
 9.47646263e+00  9.47646263e+00  1.13487988e-01  1.14998869e+01  5.11840855e-02  1.15000052e+01 
 9.47846263e+00  9.47846263e+00  1.17680755e-01  1.15001404e+01  4.87652177e-02  1.15000220e+01 
 9.48046263e+00  9.48046263e+00  1.22239410e-01  1.14998869e+01  5.16511773e-02  1.15000052e+01 
 9.48246263e+00  9.48246263e+00  1.27186327e-01  1.15001404e+01  4.92306020e-02  1.15000220e+01 
 9.48446263e+00  9.48446263e+00  1.32600074e-01  1.14998869e+01  5.21614559e-02  1.15000053e+01 
 9.48646263e+00  9.48646263e+00  1.38519648e-01  1.15001404e+01  4.97374566e-02  1.15000220e+01 
 9.48846263e+00  9.48846263e+00  1.45048697e-01  1.14998869e+01  5.27159193e-02  1.15000053e+01 
 9.49046263e+00  9.49046263e+00  1.52252821e-01  1.15001404e+01  5.02868418e-02  1.15000220e+01 
 9.49246263e+00  9.49246263e+00  1.60274784e-01  1.14998870e+01  5.33157912e-02  1.15000053e+01 
