 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)        v(OUT_4)       
 1.36560000e-01  1.36560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.38560000e-01  1.38560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.40560000e-01  1.40560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.42560000e-01  1.42560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.44560000e-01  1.44560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.46560000e-01  1.46560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.48560000e-01  1.48560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.50560000e-01  1.50560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.52560000e-01  1.52560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.54560000e-01  1.54560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.56560000e-01  1.56560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.58560000e-01  1.58560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.60560000e-01  1.60560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.62560000e-01  1.62560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.64560000e-01  1.64560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.66560000e-01  1.66560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.68560000e-01  1.68560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.70560000e-01  1.70560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.72560000e-01  1.72560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.74560000e-01  1.74560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.76560000e-01  1.76560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.78560000e-01  1.78560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.80560000e-01  1.80560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.82560000e-01  1.82560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.84560000e-01  1.84560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.86560000e-01  1.86560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.88560000e-01  1.88560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.90560000e-01  1.90560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.92560000e-01  1.92560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.94560000e-01  1.94560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.96560000e-01  1.96560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.98560000e-01  1.98560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.00560000e-01  2.00560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.02560000e-01  2.02560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.04560000e-01  2.04560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.06560000e-01  2.06560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.08560000e-01  2.08560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.10560000e-01  2.10560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.12560000e-01  2.12560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.14560000e-01  2.14560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.16560000e-01  2.16560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.18560000e-01  2.18560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.20560000e-01  2.20560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.22560000e-01  2.22560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.24560000e-01  2.24560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.26560000e-01  2.26560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.28560000e-01  2.28560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.30560000e-01  2.30560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.32560000e-01  2.32560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.34560000e-01  2.34560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.36560000e-01  2.36560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.38560000e-01  2.38560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.40560000e-01  2.40560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.42560000e-01  2.42560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.44560000e-01  2.44560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.46560000e-01  2.46560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.48560000e-01  2.48560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.50560000e-01  2.50560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.52560000e-01  2.52560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.54560000e-01  2.54560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.56560000e-01  2.56560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.58560000e-01  2.58560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 2.60560000e-01  2.60560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
