 time            time            v(N003)        
 4.06560000e-01  4.06560000e-01  1.25849669e+00 
 4.08560000e-01  4.08560000e-01  1.25849669e+00 
 4.10560000e-01  4.10560000e-01  1.25849669e+00 
 4.12560000e-01  4.12560000e-01  1.25849669e+00 
 4.14560000e-01  4.14560000e-01  1.25849669e+00 
 4.16560000e-01  4.16560000e-01  1.25849669e+00 
 4.18560000e-01  4.18560000e-01  1.25849669e+00 
 4.20560000e-01  4.20560000e-01  1.25849669e+00 
 4.22560000e-01  4.22560000e-01  1.25849669e+00 
 4.24560000e-01  4.24560000e-01  1.25849669e+00 
 4.26560000e-01  4.26560000e-01  1.25849669e+00 
 4.28560000e-01  4.28560000e-01  1.25849669e+00 
 4.30560000e-01  4.30560000e-01  1.25849669e+00 
 4.32560000e-01  4.32560000e-01  1.25849669e+00 
 4.34560000e-01  4.34560000e-01  1.25849669e+00 
 4.36560000e-01  4.36560000e-01  1.25849669e+00 
 4.38560000e-01  4.38560000e-01  1.25849669e+00 
 4.40560000e-01  4.40560000e-01  1.25849669e+00 
 4.42560000e-01  4.42560000e-01  1.25849669e+00 
 4.44560000e-01  4.44560000e-01  1.25849669e+00 
 4.46560000e-01  4.46560000e-01  1.25849669e+00 
 4.48560000e-01  4.48560000e-01  1.25849669e+00 
 4.50560000e-01  4.50560000e-01  1.25849669e+00 
 4.52560000e-01  4.52560000e-01  1.25849669e+00 
 4.54560000e-01  4.54560000e-01  1.25849669e+00 
 4.56560000e-01  4.56560000e-01  1.25849669e+00 
 4.58560000e-01  4.58560000e-01  1.25849669e+00 
 4.60560000e-01  4.60560000e-01  1.25849669e+00 
 4.62560000e-01  4.62560000e-01  1.25849669e+00 
 4.64560000e-01  4.64560000e-01  1.25849669e+00 
 4.66560000e-01  4.66560000e-01  1.25849669e+00 
 4.68560000e-01  4.68560000e-01  1.25849669e+00 
 4.70560000e-01  4.70560000e-01  1.25849669e+00 
 4.72560000e-01  4.72560000e-01  1.25849669e+00 
 4.74560000e-01  4.74560000e-01  1.25849669e+00 
 4.76560000e-01  4.76560000e-01  1.25849669e+00 
 4.78560000e-01  4.78560000e-01  1.25849669e+00 
 4.80560000e-01  4.80560000e-01  1.25849669e+00 
 4.82560000e-01  4.82560000e-01  1.25849669e+00 
 4.84560000e-01  4.84560000e-01  1.25849669e+00 
 4.86560000e-01  4.86560000e-01  1.25849669e+00 
 4.88560000e-01  4.88560000e-01  1.25849669e+00 
 4.90560000e-01  4.90560000e-01  1.25849669e+00 
 4.92560000e-01  4.92560000e-01  1.25849669e+00 
 4.94560000e-01  4.94560000e-01  1.25849669e+00 
 4.96560000e-01  4.96560000e-01  1.25849669e+00 
 4.98560000e-01  4.98560000e-01  1.25849669e+00 
 5.00560000e-01  5.00560000e-01  1.25849669e+00 
 5.02560000e-01  5.02560000e-01  1.25849669e+00 
 5.04560000e-01  5.04560000e-01  1.25849669e+00 
 5.06560000e-01  5.06560000e-01  1.25849669e+00 
