 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 5.92710351e-04  5.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -6.35275201e-03 -6.45899506e-03 -4.51417164e-01 -1.05031754e-02  4.21888576e-03 -4.50551054e-01 -1.10025400e-02 
 6.02710351e-04  6.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -7.32926949e-03 -7.43921927e-03 -4.89895732e-01 -1.14848034e-02  4.21780574e-03 -4.89067135e-01 -1.20295324e-02 
 6.12710351e-04  6.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -8.26000521e-03 -8.37414915e-03 -5.26590750e-01 -1.24210830e-02  4.21663321e-03 -5.25802970e-01 -1.30090498e-02 
 6.22710351e-04  6.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -9.14128573e-03 -9.26009807e-03 -5.61357456e-01 -1.33083193e-02  4.21537275e-03 -5.60613570e-01 -1.39372263e-02 
 6.32710351e-04  6.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -9.96963285e-03 -1.00935661e-02 -5.94058564e-01 -1.41430106e-02  4.21402928e-03 -5.93361540e-01 -1.48103990e-02 
 6.42710351e-04  6.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.07417772e-02 -1.08712669e-02 -6.24565074e-01 -1.49218629e-02  4.21260803e-03 -6.23917630e-01 -1.56251218e-02 
 6.52710351e-04  6.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.14546713e-02 -1.15901278e-02 -6.52756512e-01 -1.56418024e-02  4.21111455e-03 -6.52161237e-01 -1.63781794e-02 
 6.62710351e-04  6.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.21055015e-02 -1.22473148e-02 -6.78521675e-01 -1.62999877e-02  4.20955468e-03 -6.77980886e-01 -1.70665998e-02 
 6.72710351e-04  6.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.26916989e-02 -1.28402309e-02 -7.01758804e-01 -1.68938215e-02  4.20793451e-03 -7.01274667e-01 -1.76876662e-02 
 6.82710351e-04  6.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.32109500e-02 -1.33665390e-02 -7.22376246e-01 -1.74209600e-02  4.20626039e-03 -7.21950639e-01 -1.82389273e-02 
 6.92710351e-04  6.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.36612052e-02 -1.38241587e-02 -7.40292557e-01 -1.78793230e-02  4.20453884e-03 -7.39927195e-01 -1.87182078e-02 
