 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 3.02500000e-02  3.02500000e-02  1.28629105e+00  5.00000000e+00  4.39977950e+00  1.20313152e+00  5.92424862e-01  1.19736029e-04 
 3.07500000e-02  3.07500000e-02  1.30474923e+00  5.00000000e+00  4.39688932e+00  1.21321725e+00  5.99601290e-01  1.33891649e-04 
 3.12500000e-02  3.12500000e-02  1.32310920e+00  5.00000000e+00  4.39423639e+00  1.22321039e+00  6.06923003e-01  1.48353751e-04 
 3.17500000e-02  3.17500000e-02  1.34137146e+00  5.00000000e+00  4.39180357e+00  1.23307024e+00  6.14331901e-01  1.62985033e-04 
 3.22500000e-02  3.22500000e-02  1.35953648e+00  5.00000000e+00  4.38954638e+00  1.24286272e+00  6.21849550e-01  1.77847548e-04 
 3.27500000e-02  3.27500000e-02  1.37760475e+00  5.00000000e+00  4.38745634e+00  1.25254269e+00  6.29422113e-01  1.92815327e-04 
 3.32500000e-02  3.32500000e-02  1.39557677e+00  5.00000000e+00  4.38550050e+00  1.26217107e+00  6.37077672e-01  2.07960928e-04 
 3.37500000e-02  3.37500000e-02  1.41345303e+00  5.00000000e+00  4.38367536e+00  1.27170022e+00  6.44764925e-01  2.23165733e-04 
 3.42500000e-02  3.42500000e-02  1.43123404e+00  5.00000000e+00  4.38195550e+00  1.28118802e+00  6.52516428e-01  2.38509320e-04 
 3.47500000e-02  3.47500000e-02  1.44892028e+00  5.00000000e+00  4.38034036e+00  1.29058539e+00  6.60282413e-01  2.53877978e-04 
 3.52500000e-02  3.52500000e-02  1.46651225e+00  5.00000000e+00  4.37880966e+00  1.29994830e+00  6.68098625e-01  2.69356137e-04 
 3.57500000e-02  3.57500000e-02  1.48401045e+00  5.00000000e+00  4.37736458e+00  1.30922680e+00  6.75916238e-01  2.84833453e-04 
 3.62500000e-02  3.62500000e-02  1.50141536e+00  5.00000000e+00  4.37598849e+00  1.31847560e+00  6.83773343e-01  3.00397808e-04 
 3.67500000e-02  3.67500000e-02  1.51872750e+00  5.00000000e+00  4.37468364e+00  1.32764425e+00  6.91621695e-01  3.15941238e-04 
 3.72500000e-02  3.72500000e-02  1.53594734e+00  5.00000000e+00  4.37343605e+00  1.33678656e+00  6.99501160e-01  3.31554147e-04 
 3.77500000e-02  3.77500000e-02  1.55307538e+00  5.00000000e+00  4.37224861e+00  1.34585180e+00  7.07363847e-01  3.47130291e-04 
 3.82500000e-02  3.82500000e-02  1.57011210e+00  5.00000000e+00  4.37110935e+00  1.35489317e+00  7.15250999e-01  3.62761957e-04 
 3.87500000e-02  3.87500000e-02  1.58705799e+00  5.00000000e+00  4.37002154e+00  1.36385974e+00  7.23114936e-01  3.78344180e-04 
 3.92500000e-02  3.92500000e-02  1.60391354e+00  5.00000000e+00  4.36897473e+00  1.37280428e+00  7.30997991e-01  3.93970680e-04 
 3.97500000e-02  3.97500000e-02  1.62067922e+00  5.00000000e+00  4.36797241e+00  1.38167576e+00  7.38852601e-01  4.09537460e-04 
 4.02500000e-02  4.02500000e-02  1.63735552e+00  5.00000000e+00  4.36700536e+00  1.39052661e+00  7.46721977e-01  4.25139348e-04 
 4.07500000e-02  4.07500000e-02  1.65394291e+00  5.00000000e+00  4.36607716e+00  1.39930575e+00  7.54558617e-01  4.40673098e-04 
 4.12500000e-02  4.12500000e-02  1.67044187e+00  5.00000000e+00  4.36517956e+00  1.40806537e+00  7.62406443e-01  4.56234406e-04 
 4.17500000e-02  4.17500000e-02  1.68685287e+00  5.00000000e+00  4.36431619e+00  1.41675435e+00  7.70217978e-01  4.71720620e-04 
 4.22500000e-02  4.22500000e-02  1.70317638e+00  5.00000000e+00  4.36347957e+00  1.42542469e+00  7.78037734e-01  4.87228121e-04 
 4.27500000e-02  4.27500000e-02  1.71941287e+00  5.00000000e+00  4.36267333e+00  1.43402529e+00  7.85818234e-01  5.02654739e-04 
 4.32500000e-02  4.32500000e-02  1.73556281e+00  5.00000000e+00  4.36189067e+00  1.44260795e+00  7.93604480e-01  5.18097398e-04 
 4.37500000e-02  4.37500000e-02  1.75162665e+00  5.00000000e+00  4.36113515e+00  1.45112163e+00  8.01348979e-01  5.33454326e-04 
 4.42500000e-02  4.42500000e-02  1.76760486e+00  5.00000000e+00  4.36040052e+00  1.45961798e+00  8.09097149e-01  5.48822884e-04 
 4.47500000e-02  4.47500000e-02  1.78349790e+00  5.00000000e+00  4.35969031e+00  1.46804598e+00  8.16801473e-01  5.64101631e-04 
 4.52500000e-02  4.52500000e-02  1.79930622e+00  5.00000000e+00  4.35899872e+00  1.47645718e+00  8.24507716e-01  5.79388278e-04 
 4.57500000e-02  4.57500000e-02  1.81503027e+00  5.00000000e+00  4.35832920e+00  1.48480059e+00  8.32168336e-01  5.94581671e-04 
 4.62500000e-02  4.62500000e-02  1.83067052e+00  5.00000000e+00  4.35767638e+00  1.49312766e+00  8.39829396e-01  6.09779799e-04 
 4.67500000e-02  4.67500000e-02  1.84622740e+00  5.00000000e+00  4.35704360e+00  1.50138746e+00  8.47443323e-01  6.24881758e-04 
